	1.530	1.540	1.550	1.560	1.570
0.0	0.9997093504	0.9997183599	0.9994209329	0.9996685090	0.9997798292
0.1	0.9997093504	0.9997183599	0.9994209329	0.9996685090	0.9997798292
0.2	0.9994896719	0.9994916483	0.9991940283	0.9994509099	0.9995842283
0.3	0.9991691295	0.9991638331	0.9988666272	0.9991346717	0.9992936319
0.4	0.9987477584	0.9987349812	0.9984388061	0.9987198584	0.9989080710
0.5	0.9982256193	0.9982051861	0.9979106682	0.9982065593	0.9984275989
0.6	0.9976027986	0.9975745680	0.9972823442	0.9975948897	0.9978522917
0.7	0.9968794086	0.9968432749	0.9965539920	0.9968849917	0.9971822488
0.8	0.9960555886	0.9960114823	0.9957257982	0.9960770340	0.9964175939
0.9	0.9951315047	0.9950793942	0.9947979776	0.9951712130	0.9955584748
1.0	0.9941073505	0.9940472433	0.9937707742	0.9941677532	0.9946050648
1.1	0.9929833475	0.9929152913	0.9926444616	0.9930669075	0.9935575629
1.2	0.9917597455	0.9916838296	0.9914193431	0.9918689577	0.9924161942
1.3	0.9904368228	0.9903531792	0.9900957524	0.9905742154	0.9911812113
1.4	0.9890148869	0.9889236917	0.9886740540	0.9891830219	0.9898528937
1.5	0.9874942745	0.9873957489	0.9871546435	0.9876957491	0.9884315496
1.6	0.9858753518	0.9857697636	0.9855379477	0.9861127997	0.9869175157
1.7	0.9841585150	0.9840461799	0.9838244254	0.9844346076	0.9853111579
1.8	0.9823441905	0.9822254730	0.9820145674	0.9826616385	0.9836128722
1.9	0.9804328349	0.9803081499	0.9801088968	0.9807943902	0.9818230849
2.0	0.9784249351	0.9782947491	0.9781079693	0.9788333928	0.9799422529
2.1	0.9763210091	0.9761858414	0.9760123731	0.9767792092	0.9779708649
2.2	0.9741216051	0.9739820293	0.9738227297	0.9746324351	0.9759094412
2.3	0.9718273025	0.9716839475	0.9715396933	0.9723936995	0.9737585341
2.4	0.9694387113	0.9692922627	0.9691639513	0.9700636650	0.9715187288
2.5	0.9669564723	0.9668076738	0.9666962244	0.9676430274	0.9691906432
2.6	0.9643812569	0.9642309116	0.9641372660	0.9651325164	0.9667749286
2.7	0.9617137675	0.9615627388	0.9614878630	0.9625328952	0.9642722696
2.8	0.9589547364	0.9588039498	0.9587488349	0.9598449609	0.9616833843
2.9	0.9561049266	0.9559553705	0.9559210342	0.9570695442	0.9590090249
3.0	0.9531651308	0.9530178581	0.9530053458	0.9542075093	0.9562499773
3.1	0.9501361715	0.9499923008	0.9500026870	0.9512597539	0.9534070611
3.2	0.9470189007	0.9468796172	0.9469140069	0.9482272089	0.9504811301
3.3	0.9438141991	0.9436807561	0.9437402865	0.9451108381	0.9474730716
3.4	0.9405229761	0.9403966961	0.9404825376	0.9419116377	0.9443838066
3.5	0.9371461691	0.9370284447	0.9371418028	0.9386306364	0.9412142896
3.6	0.9336847431	0.9335770384	0.9337191549	0.9352688945	0.9379655082
3.7	0.9301396899	0.9300435414	0.9302156960	0.9318275036	0.9346384825
3.8	0.9265120276	0.9264290451	0.9266325573	0.9283075857	0.9312342653
3.9	0.9228028000	0.9227346677	0.9229708978	0.9247102931	0.9277539410
4.0	0.9190130758	0.9189615530	0.9192319040	0.9210368073	0.9241986254
4.1	0.9151439478	0.9151108700	0.9154167890	0.9172883383	0.9205694651
4.2	0.9111965322	0.9111838115	0.9115267913	0.9134661237	0.9168676365
4.3	0.9071719676	0.9071815937	0.9075631743	0.9095714282	0.9130943453
4.4	0.9030714144	0.9031054548	0.9035272248	0.9056055420	0.9092508255
4.5	0.8988960535	0.8989566542	0.8994202524	0.9015697804	0.9053383387
4.6	0.8946470856	0.8947364716	0.8952435882	0.8974654822	0.9013581728
4.7	0.8903257301	0.8904462056	0.8909985837	0.8932940092	0.8973116415
4.8	0.8859332240	0.8860871726	0.8866866095	0.8890567442	0.8932000824
4.9	0.8814708212	0.8816607058	0.8823090541	0.8847550906	0.8890248567
5.0	0.8769397908	0.8771681539	0.8778673228	0.8803904705	0.8847873474
5.1	0.8723414165	0.8726108798	0.8733628362	0.8759643235	0.8804889580
5.2	0.8676769954	0.8679902595	0.8687970287	0.8714781056	0.8761311116
5.3	0.8629478365	0.8633076806	0.8641713475	0.8669332873	0.8717152490
5.4	0.8581552599	0.8585645410	0.8594872509	0.8623313526	0.8672428275
5.5	0.8533005953	0.8537622477	0.8547462067	0.8576737971	0.8627153193
5.6	0.8483851810	0.8489022154	0.8499496912	0.8529621266	0.8581342100
5.7	0.8434103627	0.8439858651	0.8450991873	0.8481978555	0.8535009970
5.8	0.8383774920	0.8390146225	0.8401961829	0.8433825052	0.8488171878
5.9	0.8332879256	0.8339899171	0.8352421699	0.8385176026	0.8440842983
6.0	0.8281430235	0.8289131801	0.8302386419	0.8336046782	0.8393038511
6.1	0.8229441485	0.8237858437	0.8251870934	0.8286452645	0.8344773740
6.2	0.8176926641	0.8186093393	0.8200890176	0.8236408943	0.8296063978
6.3	0.8123899341	0.8133850962	0.8149459051	0.8185930990	0.8246924548
6.4	0.8070373208	0.8081145399	0.8097592426	0.8135034072	0.8197370768
6.5	0.8016361842	0.8027990916	0.8045305107	0.8083733423	0.8147417937
6.6	0.7961878804	0.7974401656	0.7992611831	0.8032044214	0.8097081311
6.7	0.7906937611	0.7920391690	0.7939527243	0.7979981536	0.8046376089
6.8	0.7851551717	0.7865974998	0.7886065888	0.7927560376	0.7995317391
6.9	0.7795734506	0.7811165459	0.7832242192	0.7874795609	0.7943920245
7.0	0.7739499283	0.7755976835	0.7778070446	0.7821701978	0.7892199562
7.1	0.7682859257	0.7700422763	0.7723564797	0.7768294075	0.7840170125
7.2	0.7625827540	0.7644516739	0.7668739227	0.7714586329	0.7787846567
7.3	0.7568417127	0.7588272107	0.7613607547	0.7660592988	0.7735243353
7.4	0.7510640896	0.7531702051	0.7558183376	0.7606328105	0.7682374765
7.5	0.7452511592	0.7474819581	0.7502480135	0.7551805520	0.7629254886
7.6	0.7394041824	0.7417637522	0.7446511028	0.7497038852	0.7575897580
7.7	0.7335244050	0.7360168508	0.7390289036	0.7442041476	0.7522316477
7.8	0.7276130577	0.7302424970	0.7333826904	0.7386826517	0.7468524959
7.9	0.7216713550	0.7244419126	0.7277137126	0.7331406835	0.7414536145
8.0	0.7157004945	0.7186162976	0.7220231943	0.7275795010	0.7360362875
8.1	0.7097016564	0.7127668293	0.7163123326	0.7220003333	0.7306017696
8.2	0.7036760030	0.7068946617	0.7105822971	0.7164043796	0.7251512849
8.3	0.6976246782	0.7010009246	0.7048342289	0.7107928078	0.7196860259
8.4	0.6915488068	0.6950867233	0.6990692402	0.7051667538	0.7142071519
8.5	0.6854494946	0.6891531381	0.6932884130	0.6995273206	0.7087157882
8.6	0.6793278279	0.6832012236	0.6874927992	0.6938755773	0.7032130249
8.7	0.6731848728	0.6772320089	0.6816834198	0.6882125589	0.6976999163
8.8	0.6670216760	0.6712464966	0.6758612641	0.6825392650	0.6921774794
8.9	0.6608392636	0.6652456631	0.6700272901	0.6768566596	0.6866466937
9.0	0.6546386418	0.6592304584	0.6641824235	0.6711656706	0.6811085003
9.1	0.6484207965	0.6532018058	0.6583275578	0.6654671895	0.6755638015
9.2	0.6421866936	0.6471606022	0.6524635544	0.6597620708	0.6700134599
9.3	0.6359372790	0.6411077180	0.6465912422	0.6540511323	0.6644582985
9.4	0.6296734788	0.6350439971	0.6407114179	0.6483351546	0.6588991001
9.5	0.6233961996	0.6289702577	0.6348248460	0.6426148812	0.6533366071
9.6	0.6171063287	0.6228872919	0.6289322591	0.6368910186	0.6477715215
9.7	0.6108047347	0.6167958665	0.6230343581	0.6311642366	0.6422045053
9.8	0.6044922678	0.6106967234	0.6171318130	0.6254351685	0.6366361796
9.9	0.5981697599	0.6045905801	0.6112252626	0.6197044111	0.6310671260
10.0	0.5918380261	0.5984781301	0.6053153159	0.6139725258	0.6254978860
10.1	0.5854978641	0.5923600437	0.5994025521	0.6082400389	0.6199289620
10.2	0.5791500560	0.5862369688	0.5934875216	0.6025074420	0.6143608175
10.3	0.5727953680	0.5801095316	0.5875707469	0.5967751929	0.6087938780
10.4	0.5664345519	0.5739783374	0.5816527232	0.5910437166	0.6032285313
10.5	0.5600683454	0.5678439713	0.5757339193	0.5853134059	0.5976651287
10.6	0.5536974733	0.5617069996	0.5698147790	0.5795846227	0.5921039860
10.7	0.5473226479	0.5555679707	0.5638957217	0.5738576988	0.5865453841
10.8	0.5409445705	0.5494274157	0.5579771440	0.5681329371	0.5809895702
10.9	0.5345639319	0.5432858500	0.5520594204	0.5624106130	0.5754367594
11.0	0.5281814136	0.5371437744	0.5461429050	0.5566909755	0.5698871355
11.1	0.5217976887	0.5310016760	0.5402279327	0.5509742488	0.5643408526
11.2	0.5154134229	0.5248600298	0.5343148202	0.5452606334	0.5587980365
11.3	0.5090292758	0.5187192996	0.5284038680	0.5395503079	0.5532587863
11.4	0.5026459016	0.5125799395	0.5224953615	0.5338434304	0.5477231756
11.5	0.4962639505	0.5064423954	0.5165895727	0.5281401401	0.5421912548
11.6	0.4898840698	0.5003071060	0.5106867612	0.5224405593	0.5366630523
11.7	0.4835069047	0.4941745043	0.5047871768	0.5167447943	0.5311385765
11.8	0.4771330999	0.4880450190	0.4988910599	0.5110529383	0.5256178176
11.9	0.4707633003	0.4819190761	0.4929986443	0.5053650720	0.5201007495
12.0	0.4643981522	0.4757970999	0.4871101577	0.4996812664	0.5145873317
12.1	0.4580383049	0.4696795146	0.4812258242	0.4940015840	0.5090775115
12.2	0.4516844110	0.4635667460	0.4753458659	0.4883260811	0.5035712255
12.3	0.4453371283	0.4574592225	0.4694705039	0.4826548093	0.4980684021
12.4	0.4389971201	0.4513573765	0.4635999607	0.4769878177	0.4925689636
12.5	0.4326650572	0.4452616462	0.4577344618	0.4713251549	0.4870728278
12.6	0.4263416180	0.4391724765	0.4518742368	0.4656668704	0.4815799108
12.7	0.4200274903	0.4330903208	0.4460195219	0.4600130172	0.4760901283
12.8	0.4137233718	0.4270156420	0.4401705608	0.4543636531	0.4706033984
