	1.530	1.540	1.550	1.560	1.570
0.1	0.0000199062	0.0000231379	0.0000268722	0.0000311836	0.0000361570
0.2	0.0000795792	0.0000924986	0.0001074274	0.0001246634	0.0001445456
0.3	0.0001789452	0.0002079961	0.0002415653	0.0002803223	0.0003250293
0.4	0.0003178704	0.0003694749	0.0004291051	0.0004979497	0.0005773623
0.5	0.0004961683	0.0005767178	0.0006697937	0.0007772509	0.0009012013
0.6	0.0007135994	0.0008294462	0.0009633068	0.0011178480	0.0012961055
0.7	0.0009698715	0.0011273201	0.0013092488	0.0015192803	0.0017615380
0.8	0.0012646407	0.0014699393	0.0017071537	0.0019810051	0.0022968662
0.9	0.0015975113	0.0018568436	0.0021564858	0.0025023984	0.0029013630
1.0	0.0019680367	0.0022875133	0.0026566406	0.0030827564	0.0035742080
1.1	0.0023757202	0.0027613706	0.0032069455	0.0037212960	0.0043144889
1.2	0.0028200155	0.0032777800	0.0038066611	0.0044171563	0.0051212027
1.3	0.0033003274	0.0038360495	0.0044549823	0.0051694002	0.0059932579
1.4	0.0038160131	0.0044354314	0.0051510394	0.0059770156	0.0069294755
1.5	0.0043663830	0.0050751239	0.0058938996	0.0068389169	0.0079285917
1.6	0.0049507014	0.0057542717	0.0066825683	0.0077539471	0.0089892595
1.7	0.0055681882	0.0064719677	0.0075159910	0.0087208792	0.0101100507
1.8	0.0062180195	0.0072272544	0.0083930541	0.0097384185	0.0112894586
1.9	0.0068993290	0.0080191251	0.0093125877	0.0108052043	0.0125259003
2.0	0.0076112095	0.0088465255	0.0102733664	0.0119198121	0.0138177189
2.1	0.0083527138	0.0097083552	0.0112741117	0.0130807560	0.0151631865
2.2	0.0091228566	0.0106034695	0.0123134936	0.0142864906	0.0165605068
2.3	0.0099206154	0.0115306811	0.0133901331	0.0155354136	0.0180078176
2.4	0.0107449324	0.0124887614	0.0145026037	0.0168258684	0.0195031942
2.5	0.0115947159	0.0134764431	0.0156494337	0.0181561462	0.0210446519
2.6	0.0124688417	0.0144924211	0.0168291085	0.0195244887	0.0226301495
2.7	0.0133661549	0.0155353551	0.0180400727	0.0209290911	0.0242575919
2.8	0.0142854716	0.0166038715	0.0192807326	0.0223681042	0.0259248337
2.9	0.0152255804	0.0176965647	0.0205494580	0.0238396375	0.0276296821
3.0	0.0161852442	0.0188120001	0.0218445852	0.0253417619	0.0293699004
3.1	0.0171632019	0.0199487151	0.0231644188	0.0268725124	0.0311432112
3.2	0.0181581703	0.0211052222	0.0245072346	0.0284298910	0.0329472997
3.3	0.0191688458	0.0222800102	0.0258712817	0.0300118696	0.0347798171
3.4	0.0201939060	0.0234715468	0.0272547851	0.0316163929	0.0366383842
3.5	0.0212320120	0.0246782806	0.0286559482	0.0332413812	0.0385205942
3.6	0.0222818098	0.0258986431	0.0300729553	0.0348847333	0.0404240168
3.7	0.0233419323	0.0271310513	0.0315039740	0.0365443296	0.0423462012
3.8	0.0244110011	0.0283739091	0.0329471576	0.0382180348	0.0442846795
3.9	0.0254876286	0.0296256104	0.0344006482	0.0399037009	0.0462369704
4.0	0.0265704195	0.0308845402	0.0358625782	0.0415991701	0.0482005822
4.1	0.0276579728	0.0321490777	0.0373310738	0.0433022777	0.0501730162
4.2	0.0287488838	0.0334175977	0.0388042568	0.0450108549	0.0521517702
