	1.530	1.540	1.550	1.560	1.570
0.0	0.9997271118	0.9997916933	0.9992431804	0.9995497545	0.9999838601
0.1	0.9995912785	0.9996491165	0.9990891922	0.9993786315	0.9997893478
0.2	0.9990506361	0.9991039640	0.9985366273	0.9988150464	0.9992115871
0.3	0.9981056524	0.9981567059	0.9975859585	0.9978594749	0.9982510561
0.4	0.9967571380	0.9968081509	0.9962379908	0.9965127154	0.9969085426
0.5	0.9950062450	0.9950594455	0.9944938606	0.9947758886	0.9951851433
0.6	0.9928544659	0.9929120728	0.9923550348	0.9926504364	0.9930822630
0.7	0.9903036327	0.9903678515	0.9898233095	0.9901381203	0.9906016130
0.8	0.9873559152	0.9874289343	0.9869008084	0.9872410204	0.9877452101
0.9	0.9840138187	0.9840978056	0.9835899811	0.9839615333	0.9845153743
1.0	0.9802801822	0.9803772798	0.9798936005	0.9803023698	0.9809147273
1.1	0.9761581760	0.9762704985	0.9758147610	0.9762665530	0.9769461896
1.2	0.9716512982	0.9717809280	0.9713568752	0.9718574151	0.9726129785
1.3	0.9667633726	0.9669123559	0.9665236713	0.9670785949	0.9679186049
1.4	0.9614985446	0.9616688883	0.9613191895	0.9619340345	0.9628668704
1.5	0.9558612779	0.9560549455	0.9557477787	0.9564279755	0.9574618639
1.6	0.9498563503	0.9500752589	0.9498140928	0.9505649560	0.9517079579
1.7	0.9434888500	0.9437348661	0.9435230861	0.9443498057	0.9456098049
1.8	0.9367641704	0.9370391071	0.9368800095	0.9377876425	0.9391723332
1.9	0.9296880063	0.9299936191	0.9298904056	0.9308838675	0.9324007424
2.0	0.9222663478	0.9226043318	0.9225601038	0.9236441604	0.9253004992
2.1	0.9145054760	0.9148774625	0.9148952155	0.9160744745	0.9178773323
2.2	0.9064119569	0.9068195098	0.9069021282	0.9081810316	0.9101372275
2.3	0.8979926358	0.8984372488	0.8985875005	0.8999703163	0.9020864224
2.4	0.8892546314	0.8897377246	0.8899582559	0.8914490707	0.8937314010
2.5	0.8802053294	0.8807282464	0.8810215768	0.8826242879	0.8850788879
2.6	0.8708523760	0.8714163809	0.8717848982	0.8735032064	0.8761358426
2.7	0.8612036712	0.8618099456	0.8622559010	0.8640933037	0.8669094532
2.8	0.8512673621	0.8519170023	0.8524425058	0.8544022894	0.8574071302
2.9	0.8410518353	0.8417458497	0.8423528653	0.8444380986	0.8476364999
3.0	0.8305657100	0.8313050162	0.8319953577	0.8342088854	0.8376053980
3.1	0.8198178300	0.8206032524	0.8213785788	0.8237230148	0.8273218624
3.2	0.8088172563	0.8096495235	0.8105113352	0.8129890564	0.8167941263
3.3	0.7975732589	0.7984530016	0.7994026358	0.8020157762	0.8060306110
3.4	0.7860953088	0.7870230571	0.7880616844	0.7908121291	0.7950399187
3.5	0.7743930697	0.7753692510	0.7764978715	0.7793872513	0.7838308247
3.6	0.7624763892	0.7635013266	0.7647207661	0.7677504521	0.7724122697
3.7	0.7503552907	0.7514292004	0.7527401075	0.7559112056	0.7607933523
3.8	0.7380399643	0.7391629538	0.7405657961	0.7438791426	0.7489833208
3.9	0.7255407578	0.7267128244	0.7282078857	0.7316640424	0.7369915652
4.0	0.7128681677	0.7140891967	0.7156765739	0.7192758238	0.7248276090
4.1	0.7000328300	0.7013025932	0.7029821937	0.7067245366	0.7125011008
4.2	0.6870455109	0.6883636649	0.6901352042	0.6940203530	0.7000218060
4.3	0.6739170975	0.6752831826	0.6771461813	0.6811735585	0.6873995982
4.4	0.6606585879	0.6620720268	0.6640258089	0.6681945431	0.6746444506
4.5	0.6472810817	0.6487411785	0.6507848693	0.6550937918	0.6617664273
4.6	0.6337957707	0.6353017096	0.6374342337	0.6418818761	0.6487756746
4.7	0.6202139282	0.6217647732	0.6239848529	0.6285694443	0.6356824121
4.8	0.6065469002	0.6081415937	0.6104477474	0.6151672123	0.6224969238
4.9	0.5928060945	0.5944434571	0.5968339983	0.6016859543	0.6092295490
5.0	0.5790029713	0.5806817013	0.5831547373	0.5881364936	0.5958906738
5.1	0.5651490331	0.5668677057	0.5694211367	0.5745296928	0.5824907214
5.2	0.5512558143	0.5530128819	0.5556444003	0.5608764446	0.5690401436
5.3	0.5373348716	0.5391286633	0.5418357533	0.5471876620	0.5555494114
5.4	0.5233977735	0.5252264950	0.5280064322	0.5334742695	0.5420290059
5.5	0.5094560903	0.5113178244	0.5141676757	0.5197471927	0.5284894095
5.6	0.4955213840	0.4974140906	0.5003307142	0.5060173495	0.5149410966
