	1.530	1.540	1.550	1.560	1.570
0.0	0.0000258308	0.0000224596	0.0000048096	0.0000110252	0.0001619325
0.1	0.0000258308	0.0000224596	0.0000048096	0.0000110252	0.0001619325
0.2	0.0000257983	0.0000224318	0.0000047975	0.0000110487	0.0001620355
0.3	0.0000258173	0.0000224556	0.0000048183	0.0000110756	0.0001621381
0.4	0.0000259500	0.0000225977	0.0000049307	0.0000111367	0.0001622134
0.5	0.0000262820	0.0000229517	0.0000052238	0.0000112972	0.0001622742
0.6	0.0000269221	0.0000236375	0.0000058169	0.0000116570	0.0001623722
0.7	0.0000280021	0.0000248013	0.0000068594	0.0000123502	0.0001625987
0.8	0.0000296770	0.0000266156	0.0000085304	0.0000135453	0.0001630839
0.9	0.0000321242	0.0000292787	0.0000110390	0.0000154447	0.0001639973
1.0	0.0000355439	0.0000330149	0.0000146237	0.0000182847	0.0001655469
1.1	0.0000401586	0.0000380737	0.0000195522	0.0000223350	0.0001679795
1.2	0.0000462129	0.0000447302	0.0000261209	0.0000278988	0.0001715802
1.3	0.0000539731	0.0000532841	0.0000346551	0.0000353119	0.0001766719
1.4	0.0000637274	0.0000640598	0.0000455081	0.0000449428	0.0001836153
1.5	0.0000757847	0.0000774059	0.0000590612	0.0000571921	0.0001928083
1.6	0.0000904750	0.0000936950	0.0000757229	0.0000724921	0.0002046854
1.7	0.0001081490	0.0001133228	0.0000959286	0.0000913060	0.0002197174
1.8	0.0001291770	0.0001367083	0.0001201405	0.0001141279	0.0002384111
1.9	0.0001539495	0.0001642928	0.0001488462	0.0001414820	0.0002613080
2.0	0.0001828758	0.0001965396	0.0001825591	0.0001739219	0.0002889845
2.1	0.0002163843	0.0002339336	0.0002218172	0.0002120300	0.0003220507
2.2	0.0002549216	0.0002769805	0.0002671828	0.0002564170	0.0003611500
2.3	0.0002989520	0.0003262065	0.0003192415	0.0003077212	0.0004069581
2.4	0.0003489572	0.0003821575	0.0003786020	0.0003666074	0.0004601824
2.5	0.0004054354	0.0004453986	0.0004458952	0.0004337668	0.0005215613
2.6	0.0004689013	0.0005165133	0.0005217734	0.0005099155	0.0005918631
2.7	0.0005398850	0.0005961031	0.0006069097	0.0005957943	0.0006718853
2.8	0.0006189315	0.0006847865	0.0007019970	0.0006921675	0.0007624536
2.9	0.0007066002	0.0007831986	0.0008077477	0.0007998219	0.0008644210
3.0	0.0008034642	0.0008919902	0.0009248922	0.0009195663	0.0009786667
3.1	0.0009101099	0.0010118271	0.0010541787	0.0010522304	0.0011060952
3.2	0.0010271357	0.0011433892	0.0011963719	0.0011986638	0.0012476354
3.3	0.0011551520	0.0012873702	0.0013522524	0.0013597349	0.0014042391
3.4	0.0012947800	0.0014444760	0.0015226157	0.0015363301	0.0015768802
3.5	0.0014466513	0.0016154245	0.0017082712	0.0017293529	0.0017665538
3.6	0.0016114071	0.0018009449	0.0019100413	0.0019397222	0.0019742743
3.7	0.0017896972	0.0020017761	0.0021287605	0.0021683722	0.0022010750
3.8	0.0019821795	0.0022186666	0.0023652745	0.0024162505	0.0024480065
3.9	0.0021895195	0.0024523732	0.0026204390	0.0026843173	0.0027161353
4.0	0.0024123888	0.0027036602	0.0028951189	0.0029735443	0.0030065431
4.1	0.0026514649	0.0029732987	0.0031901871	0.0032849136	0.0033203250
4.2	0.0029074302	0.0032620655	0.0035065237	0.0036194162	0.0036585883
4.3	0.0031809712	0.0035707420	0.0038450146	0.0039780514	0.0040224514
4.4	0.0034727777	0.0039001137	0.0042065509	0.0043618250	0.0044130424
4.5	0.0037835420	0.0042509690	0.0045920276	0.0047717485	0.0048314976
4.6	0.0041139580	0.0046240983	0.0050023423	0.0052088379	0.0052789602
4.7	0.0044647204	0.0050202931	0.0054383947	0.0056741122	0.0057565790
4.8	0.0048365240	0.0054403448	0.0059010848	0.0061685923	0.0062655069
4.9	0.0052300626	0.0058850443	0.0063913124	0.0066932999	0.0068068996
5.0	0.0056460283	0.0063551803	0.0069099759	0.0072492560	0.0073819141
5.1	0.0060851106	0.0068515390	0.0074579708	0.0078374798	0.0079917074
5.2	0.0065479958	0.0073749026	0.0080361891	0.0084589876	0.0086374348
5.3	0.0070353656	0.0079260488	0.0086455177	0.0091147911	0.0093202490
5.4	0.0075478969	0.0085057494	0.0092868379	0.0098058966	0.0100412981
5.5	0.0080862605	0.0091147698	0.0099610238	0.0105333035	0.0108017243
5.6	0.0086511203	0.0097538674	0.0106689413	0.0112980030	0.0116026628
5.7	0.0092431327	0.0104237912	0.0114114472	0.0121009770	0.0124452400
5.8	0.0098629455	0.0111252807	0.0121893877	0.0129431968	0.0133305721
5.9	0.0105111971	0.0118590649	0.0130035979	0.0138256217	0.0142597638
6.0	0.0111885160	0.0126258610	0.0138549001	0.0147491980	0.0152339069
6.1	0.0118955194	0.0134263742	0.0147441032	0.0157148574	0.0162540788
6.2	0.0126328128	0.0142612962	0.0156720012	0.0167235164	0.0173213407
6.3	0.0134009891	0.0151313043	0.0166393725	0.0177760743	0.0184367371
6.4	0.0142006277	0.0160370607	0.0176469788	0.0188734125	0.0196012934
6.5	0.0150322937	0.0169792116	0.0186955636	0.0200163931	0.0208160154
6.6	0.0158965374	0.0179583859	0.0197858520	0.0212058578	0.0220818870
6.7	0.0167938930	0.0189751949	0.0209185489	0.0224426269	0.0233998698
6.8	0.0177248784	0.0200302310	0.0220943383	0.0237274975	0.0247709009
6.9	0.0186899940	0.0211240669	0.0233138824	0.0250612433	0.0261958924
7.0	0.0196897222	0.0222572549	0.0245778206	0.0264446124	0.0276757292
7.1	0.0207245265	0.0234303261	0.0258867683	0.0278783273	0.0292112684
7.2	0.0217948512	0.0246437892	0.0272413163	0.0293630829	0.0308033377
