	1.530	1.540	1.550	1.560	1.570
0.0	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
0.1	0.0000285922	0.0000321201	0.0000360678	0.0000404825	0.0000454166
0.2	0.0001143653	0.0001284765	0.0001442659	0.0001619234	0.0001816581
0.3	0.0002573097	0.0002890566	0.0003245788	0.0003643031	0.0004086999
0.4	0.0004574090	0.0005138399	0.0005769803	0.0006475887	0.0007265006
0.5	0.0007146403	0.0008027974	0.0009014342	0.0010117345	0.0011350025
0.6	0.0010289741	0.0011558921	0.0012978936	0.0014566814	0.0016341314
0.7	0.0014003746	0.0015730786	0.0017663013	0.0019823574	0.0022237967
0.8	0.0018287992	0.0020543033	0.0023065898	0.0025886774	0.0029038911
0.9	0.0023141990	0.0025995044	0.0029186810	0.0032755432	0.0036742912
1.0	0.0028565183	0.0032086118	0.0036024866	0.0040428435	0.0045348570
1.1	0.0034556953	0.0038815472	0.0043579081	0.0048904542	0.0054854322
1.2	0.0041116614	0.0046182242	0.0051848364	0.0058182379	0.0065258441
1.3	0.0048243415	0.0054185482	0.0060831523	0.0068260444	0.0076559036
1.4	0.0055936542	0.0062824163	0.0070527260	0.0079137106	0.0088754055
1.5	0.0064195114	0.0072097175	0.0080934179	0.0090810603	0.0101841283
1.6	0.0073018188	0.0082003327	0.0092050776	0.0103279045	0.0115818341
1.7	0.0082404754	0.0092541346	0.0103875448	0.0116540413	0.0130682691
1.8	0.0092353738	0.0103709879	0.0116406490	0.0130592559	0.0146431632
1.9	0.0102864002	0.0115507490	0.0129642093	0.0145433208	0.0163062304
2.0	0.0113934346	0.0127932663	0.0143580348	0.0161059956	0.0180571685
2.1	0.0125563502	0.0140983802	0.0158219244	0.0177470275	0.0198956593
2.2	0.0137750140	0.0154659231	0.0173556670	0.0194661505	0.0218213691
2.3	0.0150492867	0.0168957192	0.0189590411	0.0212630863	0.0238339477
2.4	0.0163790226	0.0183875849	0.0206318156	0.0231375440	0.0259330298
2.5	0.0177640695	0.0199413284	0.0223737490	0.0250892200	0.0281182339
2.6	0.0192042690	0.0215567501	0.0241845901	0.0271177982	0.0303891631
2.7	0.0206994565	0.0232336425	0.0260640776	0.0292229503	0.0327454047
2.8	0.0222494609	0.0249717901	0.0280119404	0.0314043353	0.0351865309
2.9	0.0238541050	0.0267709696	0.0300278974	0.0336615999	0.0377120980
3.0	0.0255132053	0.0286309499	0.0321116578	0.0359943787	0.0403216473
3.1	0.0272265719	0.0305514919	0.0342629209	0.0384022939	0.0430147047
3.2	0.0289940089	0.0325323490	0.0364813765	0.0408849556	0.0457907809
3.3	0.0308153143	0.0345732666	0.0387667044	0.0434419618	0.0486493718
3.4	0.0326902797	0.0366739825	0.0411185750	0.0460728984	0.0515899578
3.5	0.0346186906	0.0388342268	0.0435366488	0.0487773394	0.0546120049
3.6	0.0366003265	0.0410537220	0.0460205772	0.0515548469	0.0577149641
3.7	0.0386349608	0.0433321829	0.0485700017	0.0544049710	0.0608982715
3.8	0.0407223608	0.0456693167	0.0511845544	0.0573272504	0.0641613490
3.9	0.0428622877	0.0480648232	0.0538638583	0.0603212117	0.0675036038
4.0	0.0450544969	0.0505183946	0.0566075267	0.0633863702	0.0709244285
4.1	0.0472987375	0.0530297156	0.0594151638	0.0665222295	0.0744232019
4.2	0.0495947529	0.0555984637	0.0622863646	0.0697282819	0.0779992884
4.3	0.0519422805	0.0582243087	0.0652207148	0.0730040081	0.0816520381
4.4	0.0543410519	0.0609069134	0.0682177912	0.0763488778	0.0853807876
4.5	0.0567907927	0.0636459330	0.0712771612	0.0797623493	0.0891848595
4.6	0.0592912227	0.0664410156	0.0743983835	0.0832438698	0.0930635627
4.7	0.0618420559	0.0692918022	0.0775810078	0.0867928757	0.0970161926
4.8	0.0644430007	0.0721979264	0.0808245750	0.0904087921	0.1010420311
4.9	0.0670937595	0.0751590148	0.0841286171	0.0940910337	0.1051403468
5.0	0.0697940292	0.0781746871	0.0874926574	0.0978390040	0.1093103953
5.1	0.0725435009	0.0812445558	0.0909162106	0.1016520963	0.1135514190
5.2	0.0753418603	0.0843682264	0.0943987828	0.1055296930	0.1178626474
5.3	0.0781887872	0.0875452976	0.0979398715	0.1094711663	0.1222432972
5.4	0.0810839560	0.0907753613	0.1015389659	0.1134758779	0.1266925728
5.5	0.0840270357	0.0940580023	0.1051955466	0.1175431793	0.1312096658
5.6	0.0870176897	0.0973927991	0.1089090863	0.1216724120	0.1357937557
5.7	0.0900555758	0.1007793230	0.1126790490	0.1258629072	0.1404440095
5.8	0.0931403468	0.1042171391	0.1165048910	0.1301139864	0.1451595826
5.9	0.0962716497	0.1077058056	0.1203860603	0.1344249613	0.1499396183
6.0	0.0994491264	0.1112448743	0.1243219969	0.1387951337	0.1547832481
