	1.530	1.540	1.550	1.560	1.570
0.0	0.9999987517	0.9999705040	0.9998306574	0.9997814224	0.9999955519
0.1	0.9997955684	0.9997693041	0.9996312376	0.9995845425	0.9998033509
0.2	0.9991858037	0.9991671879	0.9990366193	0.9989981624	0.9992272713
0.3	0.9981699538	0.9981646384	0.9980472729	0.9980227392	0.9982677556
0.4	0.9967488451	0.9967624597	0.9966639809	0.9966590332	0.9969255406
0.5	0.9949236336	0.9949617768	0.9948878370	0.9949081074	0.9952016574
0.6	0.9926958042	0.9927640340	0.9927202462	0.9927713268	0.9930974301
0.7	0.9900671692	0.9901709944	0.9901629225	0.9902503567	0.9906144747
0.8	0.9870398670	0.9871847381	0.9872178886	0.9873471625	0.9877546985
0.9	0.9836163603	0.9838076607	0.9838874734	0.9840640069	0.9845202979
1.0	0.9797994342	0.9800424711	0.9801743109	0.9804034493	0.9809137572
1.1	0.9755921936	0.9758921897	0.9760813376	0.9763683430	0.9769378465
1.2	0.9709980613	0.9713601459	0.9716117904	0.9719618333	0.9725956195
1.3	0.9660207745	0.9664499752	0.9667692042	0.9671873550	0.9678904113
1.4	0.9606643822	0.9611656165	0.9615574087	0.9620486298	0.9628258359
1.5	0.9549332419	0.9555113087	0.9559805256	0.9565496632	0.9574057832
1.6	0.9488320159	0.9494915878	0.9500429655	0.9506947415	0.9516344162
1.7	0.9423656674	0.9431112825	0.9437494241	0.9444884288	0.9455161676
1.8	0.9355394569	0.9363755112	0.9371048786	0.9379355625	0.9390557368
1.9	0.9283589374	0.9292896770	0.9301145839	0.9310412507	0.9322580857
2.0	0.9208299504	0.9218594643	0.9227840684	0.9238108673	0.9251284353
2.1	0.9129586206	0.9140908333	0.9151191292	0.9162500483	0.9176722618
2.2	0.9047513513	0.9059900160	0.9071258284	0.9083646873	0.9098952919
2.3	0.8962148193	0.8975635106	0.8988104874	0.9001609308	0.9018034989
2.4	0.8873559688	0.8888180769	0.8901796823	0.8916451734	0.8934030978
2.5	0.8781820066	0.8797607302	0.8812402390	0.8828240532	0.8847005407
2.6	0.8687003957	0.8703987363	0.8719992271	0.8737044459	0.8757025117
2.7	0.8589188494	0.8607396051	0.8624639550	0.8642934603	0.8664159219
2.8	0.8488453249	0.8507910850	0.8526419636	0.8545984320	0.8568479039
2.9	0.8384880171	0.8405611567	0.8425410207	0.8446269182	0.8470058067
3.0	0.8278553516	0.8300580263	0.8321691145	0.8343866915	0.8368971897
3.1	0.8169559780	0.8192901194	0.8215344479	0.8238857339	0.8265298168
3.2	0.8057987630	0.8082660738	0.8106454311	0.8131322309	0.8159116509
3.3	0.7943927829	0.7969947327	0.7995106758	0.8021345647	0.8050508474
3.4	0.7827473166	0.7854851379	0.7881389880	0.7909013076	0.7939557483
3.5	0.7708718375	0.7737465222	0.7765393609	0.7794412160	0.7826348751
3.6	0.7587760064	0.7617883020	0.7647209682	0.7677632227	0.7710969231
3.7	0.7464696631	0.7496200702	0.7526931563	0.7558764305	0.7593507542
3.8	0.7339628190	0.7372515879	0.7404654376	0.7437901051	0.7474053901
3.9	0.7212656483	0.7246927767	0.7280474824	0.7315136675	0.7352700058
4.0	0.7083884800	0.7119537114	0.7154491113	0.7190566870	0.7229539219
4.1	0.6953417899	0.6990446108	0.7026802879	0.7064288736	0.7104665980
4.2	0.6821361912	0.6859758305	0.6897511104	0.6936400706	0.6978176252
4.3	0.6687824269	0.6727578540	0.6766718038	0.6807002465	0.6850167186
4.4	0.6552913600	0.6594012846	0.6634527120	0.6676194878	0.6720737103
4.5	0.6416739657	0.6459168367	0.6501042892	0.6544079908	0.6589985413
4.6	0.6279413215	0.6323153272	0.6366370921	0.6410760535	0.6458012542
4.7	0.6141045991	0.6186076673	0.6230617712	0.6276340679	0.6324919852
4.8	0.6001750545	0.6048048527	0.6093890626	0.6140925120	0.6190809569
4.9	0.5861640195	0.5909179561	0.5956297794	0.6004619412	0.6055784697
5.0	0.5720828919	0.5769581171	0.5817948032	0.5867529802	0.5919948944
5.1	0.5579431267	0.5629365342	0.5678950752	0.5729763150	0.5783406640
5.2	0.5437562267	0.5488644553	0.5539415882	0.5591426842	0.5646262660
5.3	0.5295337327	0.5347531686	0.5399453773	0.5452628710	0.5508622338
5.4	0.5152872149	0.5206139942	0.5259175114	0.5313476944	0.5370591391
5.5	0.5010282628	0.5064582742	0.5118690844	0.5174080011	0.5232275835
5.6	0.4867684758	0.4922973640	0.4978112066	0.5034546569	0.5093781906
5.7	0.4725194545	0.4781426233	0.4837549957	0.4894985382	0.4955215977
5.8	0.4582927902	0.4640054069	0.4697115680	0.4755505235	0.4816684473
5.9	0.4441000565	0.4498970554	0.4556920298	0.4616214852	0.4678293798
6.0	0.4299527990	0.4358288862	0.4417074685	0.4477222806	0.4540150242
6.1	0.4158625265	0.4218121846	0.4277689437	0.4338637439	0.4402359911
6.2	0.4018407015	0.4078581947	0.4138874788	0.4200566778	0.4265028635
6.3	0.3878987306	0.3939781099	0.4000740520	0.4063118445	0.4128261893
6.4	0.3740479557	0.3801830648	0.3863395876	0.3926399579	0.3992164732
6.5	0.3602996443	0.3664841254	0.3726949475	0.3790516751	0.3856841682
6.6	0.3466649806	0.3528922809	0.3591509226	0.3655575880	0.3722396680
6.7	0.3331550564	0.3394184344	0.3457182242	0.3521682148	0.3588932990
6.8	0.3197808621	0.3260733944	0.3324074756	0.3388939925	0.3456553118
6.9	0.3065532774	0.3128678660	0.3192292036	0.3257452680	0.3325358743
7.0	0.2934830631	0.2998124426	0.3061938303	0.3127322906	0.3195450628
7.1	0.2805808516	0.2869175970	0.2933116646	0.2998652038	0.3066928553
7.2	0.2678571390	0.2741936731	0.2805928946	0.2871540371	0.2939891229
7.3	0.2553222759	0.2616508780	0.2680475788	0.2746086987	0.2814436231
7.4	0.2429864595	0.2492992732	0.2556856387	0.2622389676	0.2690659915
7.5	0.2308597249	0.2371487670	0.2435168507	0.2500544857	0.2568657349
7.6	0.2189519371	0.2252091064	0.2315508387	0.2380647506	0.2448522240
7.7	0.2072727832	0.2134898690	0.2197970658	0.2262791082	0.2330346859
7.8	0.1958317642	0.2020004561	0.2082648276	0.2147067452	0.2214221971
7.9	0.1846381871	0.1907500840	0.1969632444	0.2033566819	0.2100236769
8.0	0.1737011581	0.1797477778	0.1859012541	0.1922377658	0.1988478800
8.1	0.1630295744	0.1690023632	0.1750876049	0.1813586636	0.1879033902
8.2	0.1526321172	0.1585224601	0.1645308491	0.1707278556	0.1771986134
8.3	0.1425172449	0.1483164752	0.1542393352	0.1603536283	0.1667417718
8.4	0.1326931860	0.1383925957	0.1442212025	0.1502440681	0.1565408967
8.5	0.1231679322	0.1287587824	0.1344843737	0.1404070555	0.1466038231
8.6	0.1139492324	0.1194227632	0.1250365493	0.1308502581	0.1369381834
8.7	0.1050445859	0.1103920274	0.1158852011	0.1215811253	0.1275514013
