	1.530	1.540	1.550	1.560	1.570
0.0	0.0159959695	0.0319432309	0.0450324694	0.0450416135	0.0311657432
0.1	0.0160203949	0.0319786358	0.0450728288	0.0450769197	0.0311900109
0.2	0.0160567055	0.0320321402	0.0451373953	0.0451381516	0.0312362145
0.3	0.0161046875	0.0321034587	0.0452260102	0.0452254098	0.0313046475
0.4	0.0161641307	0.0321923025	0.0453385054	0.0453387848	0.0313956003
0.5	0.0162348281	0.0322983805	0.0454747041	0.0454783573	0.0315093598
0.6	0.0163165767	0.0324213993	0.0456344205	0.0456441977	0.0316462088
0.7	0.0164091770	0.0325610630	0.0458174602	0.0458363662	0.0318064260
0.8	0.0165124336	0.0327170740	0.0460236202	0.0460549128	0.0319902857
0.9	0.0166261554	0.0328891331	0.0462526890	0.0462998768	0.0321980574
1.0	0.0167501552	0.0330769394	0.0465044469	0.0465712872	0.0324300054
1.1	0.0168842505	0.0332801910	0.0467786663	0.0468691624	0.0326863890
1.2	0.0170282632	0.0334985848	0.0470751114	0.0471935103	0.0329674616
1.3	0.0171820200	0.0337318171	0.0473935386	0.0475443280	0.0332734709
1.4	0.0173453523	0.0339795836	0.0477336969	0.0479216018	0.0336046584
1.5	0.0175180966	0.0342415797	0.0480953278	0.0483253074	0.0339612593
1.6	0.0177000941	0.0345175008	0.0484781654	0.0487554097	0.0343435019
1.7	0.0178911916	0.0348070425	0.0488819370	0.0492118626	0.0347516078
1.8	0.0180912409	0.0351099006	0.0493063627	0.0496946095	0.0351857913
1.9	0.0183000994	0.0354257719	0.0497511563	0.0502035826	0.0356462593
2.0	0.0185176297	0.0357543537	0.0502160250	0.0507387036	0.0361332111
2.1	0.0187437004	0.0360953445	0.0507006695	0.0512998831	0.0366468378
2.2	0.0189781854	0.0364484444	0.0512047848	0.0518870210	0.0371873227
2.3	0.0192209647	0.0368133547	0.0517280599	0.0525000063	0.0377548405
2.4	0.0194719239	0.0371897786	0.0522701782	0.0531387175	0.0383495573
2.5	0.0197309547	0.0375774213	0.0528308176	0.0538030220	0.0389716306
2.6	0.0199979548	0.0379759902	0.0534096510	0.0544927768	0.0396212084
2.7	0.0202728279	0.0383851953	0.0540063463	0.0552078282	0.0402984299
2.8	0.0205554840	0.0388047490	0.0546205666	0.0559480117	0.0410034247
