wide[um]	neff
0.35	1.872615036
0.351	1.878370227
0.352	1.884084147
0.353	1.889755573
0.354	1.895381696
0.355	1.900971513
0.356	1.906513762
0.357	1.912015863
0.358	1.91747165
0.359	1.922895163
0.36	1.928267601
0.361	1.933602029
0.362	1.938894542
0.363	1.944149857
0.364	1.949354794
0.365	1.954520331
0.366	1.959651601
0.367	1.964734226
0.368	1.969783227
0.369	1.974789088
0.37	1.979751603
0.371	1.984681859
0.372	1.989568831
0.373	1.994413753
0.374	1.999226891
0.375	2.004000814
0.376	2.008729195
0.377	2.013426719
0.378	2.018081709
0.379	2.022700147
0.38	2.027286393
0.381	2.031827086
0.382	2.036336127
0.383	2.040808941
0.384	2.04524558
0.385	2.049646181
0.386	2.054011709
0.387	2.058343003
0.388	2.062638703
0.389	2.066898291
0.39	2.071123781
0.391	2.075318512
0.392	2.079476522
0.393	2.083604978
0.394	2.087695716
0.395	2.091758065
0.396	2.095785898
0.397	2.09977839
0.398	2.103740843
0.399	2.107676254
0.4	2.11157734
0.401	2.115446724
0.402	2.119285109
0.403	2.123094041
0.404	2.12687636
0.405	2.130623245
0.406	2.134344164
0.407	2.138032631
0.408	2.141695299
0.409	2.145328293
0.41	2.148932114
0.411	2.152508447
0.412	2.156055425
0.413	2.15957868
0.414	2.16307549
0.415	2.166537395
0.416	2.169977613
0.417	2.173390031
0.418	2.176778375
0.419	2.180137694
0.42	2.183473407
0.421	2.186785954
0.422	2.190067568
0.423	2.193324474
0.424	2.196559845
0.425	2.199768749
0.426	2.202953674
0.427	2.206116597
0.428	2.209253963
0.429	2.212363778
0.43	2.215454066
0.431	2.218523074
0.432	2.221568614
0.433	2.224590383
0.434	2.22758746
0.435	2.230564754
0.436	2.23351834
0.437	2.236450331
0.438	2.239361682
0.439	2.242251392
0.44	2.245118662
0.441	2.247964149
0.442	2.250793537
0.443	2.253598985
0.444	2.25638293
0.445	2.2591494
0.446	2.261893191
0.447	2.264618213
0.448	2.267325088
0.449	2.270007728
0.45	2.272674824
wide[um]	neff
0.34	1.856579592
0.341	1.863002628
0.342	1.869381986
0.343	1.87571114
0.344	1.88199363
0.345	1.888225249
0.346	1.894417694
0.347	1.900551701
0.348	1.906648176
0.349	1.912694147
0.35	1.918698547
0.351	1.924652656
0.352	1.930560952
0.353	1.936420989
0.354	1.942233489
0.355	1.948000344
0.356	1.953720417
0.357	1.959392009
0.358	1.965020751
0.359	1.970605804
0.36	1.976142834
0.361	1.981636321
0.362	1.987084018
0.363	1.992487184
0.364	1.997841583
0.365	2.003148362
0.366	2.008423929
0.367	2.013644465
0.368	2.018830006
0.369	2.023967891
0.37	2.02906247
0.371	2.034121474
0.372	2.039135503
0.373	2.044105003
0.374	2.049034631
0.375	2.053924263
0.376	2.058769889
0.377	2.063576248
0.378	2.068343489
0.379	2.073074753
0.38	2.0777605
0.381	2.082412557
0.382	2.087028501
0.383	2.091600425
0.384	2.096133149
0.385	2.100629706
0.386	2.105088927
0.387	2.109513251
0.388	2.113901069
0.389	2.118251184
0.39	2.122565363
0.391	2.126848901
0.392	2.131092019
0.393	2.135307089
0.394	2.139478221
0.395	2.143615716
0.396	2.147723921
0.397	2.151794573
0.398	2.155833758
0.399	2.159844408
0.4	2.163819185
0.401	2.167764813
0.402	2.171674798
0.403	2.17555475
0.404	2.17940473
0.405	2.183217057
0.406	2.187002216
0.407	2.190756933
0.408	2.194485689
0.409	2.198182673
0.41	2.201847713
0.411	2.205489033
0.412	2.209096606
0.413	2.212678028
0.414	2.216233836
0.415	2.219751237
0.416	2.223246869
0.417	2.226714853
0.418	2.230159156
0.419	2.233573101
0.42	2.236959796
0.421	2.240324233
0.422	2.243658885
0.423	2.246969457
0.424	2.250253382
0.425	2.253508697
0.426	2.256742844
0.427	2.259952233
0.428	2.263137417
0.429	2.266291796
0.43	2.269429727
0.431	2.272543407
0.432	2.275632659
0.433	2.278698901
0.434	2.281736566
0.435	2.284755328
0.436	2.287752306
0.437	2.290723956
0.438	2.2936752
0.439	2.296604043
0.44	2.299510606
0.441	2.30239579
0.442	2.305262461
0.443	2.308105798
0.444	2.310926627
0.445	2.313727491
0.446	2.316506771
0.447	2.319268191
0.448	2.322006453
0.449	2.324726506
0.45	2.327427949
0.451	2.330106942
0.452	2.332769157
0.453	2.335410585
0.454	2.338034844
0.455	2.340635578
0.456	2.343220718
0.457	2.345787661
0.458	2.348333968
0.459	2.350865353
0.46	2.353377137
0.461	2.355870895
0.462	2.358348374
0.463	2.360808183
0.464	2.363248373
0.465	2.365670403
0.466	2.368079037
0.467	2.370467854
0.468	2.372843057
0.469	2.37519993
0.47	2.377539555
0.471	2.379865271
0.472	2.382173663
0.473	2.384469082
0.474	2.386741334
0.475	2.389002238
0.476	2.391250195
0.477	2.393480468
0.478	2.395693843
0.479	2.397894648
0.48	2.400078973
0.481	2.402249333
0.482	2.404405228
0.483	2.406545396
0.484	2.408671801
0.485	2.410784507
0.486	2.412878957
0.487	2.414964215
0.488	2.417034002
0.489	2.419089915
0.49	2.421132711
0.491	2.423162732
0.492	2.425178184
0.493	2.427181504
0.494	2.429168959
0.495	2.431146994
0.496	2.433106582
0.497	2.435058063
0.498	2.436994858
0.499	2.438920253
0.5	2.440831882
