	1.530	1.540	1.550	1.560	1.570
0.0	0.0135825044	0.0121493204	0.0108160274	0.0096722344	0.0088077194
0.1	0.0136239560	0.0121898338	0.0108555173	0.0097108210	0.0088457942
0.2	0.0136681885	0.0122326932	0.0108969690	0.0097510499	0.0088852670
0.3	0.0137148920	0.0122775974	0.0109400919	0.0097926414	0.0089258670
0.4	0.0137637685	0.0123242591	0.0109846112	0.0098353335	0.0089673433
0.5	0.0138145328	0.0123724052	0.0110302681	0.0098788824	0.0090094650
0.6	0.0138669116	0.0124217767	0.0110768201	0.0099230623	0.0090520215
0.7	0.0139206446	0.0124721291	0.0111240408	0.0099676658	0.0090948226
0.8	0.0139754842	0.0125232324	0.0111717204	0.0100125039	0.0091376986
0.9	0.0140311959	0.0125748716	0.0112196656	0.0100574059	0.0091805003
1.0	0.0140875579	0.0126268463	0.0112676999	0.0101022201	0.0092230994
1.1	0.0141443621	0.0126789710	0.0113156635	0.0101468134	0.0092653882
1.2	0.0142014136	0.0127310757	0.0113634138	0.0101910716	0.0093072800
1.3	0.0142585308	0.0127830053	0.0114108247	0.0102348992	0.0093487089
1.4	0.0143155460	0.0128346201	0.0114577878	0.0102782200	0.0093896301
1.5	0.0143723050	0.0128857959	0.0115042115	0.0103209766	0.0094300197
1.6	0.0144286677	0.0129364237	0.0115500215	0.0103631307	0.0094698748
1.7	0.0144845075	0.0129864103	0.0115951608	0.0104046632	0.0095092135
1.8	0.0145397121	0.0130356782	0.0116395898	0.0104455741	0.0095480751
1.9	0.0145941831	0.0130841654	0.0116832861	0.0104858822	0.0095865195
2.0	0.0146478363	0.0131318255	0.0117262448	0.0105256257	0.0096246277
2.1	0.0147006018	0.0131786282	0.0117684782	0.0105648619	0.0096625017
2.2	0.0147524237	0.0132245586	0.0118100162	0.0106036670	0.0097002641
2.3	0.0148032604	0.0132696179	0.0118509058	0.0106421361	0.0097380583
2.4	0.0148530848	0.0133138228	0.0118912115	0.0106803833	0.0097760483
2.5	0.0149018841	0.0133572061	0.0119310151	0.0107185417	0.0098144185
2.6	0.0149496595	0.0133998161	0.0119704154	0.0107567630	0.0098533738
2.7	0.0149964270	0.0134417169	0.0120095287	0.0107952175	0.0098931394
2.8	0.0150422167	0.0134829885	0.0120484882	0.0108340943	0.0099339604
2.9	0.0150870731	0.0135237263	0.0120874441	0.0108736007	0.0099761020
3.0	0.0151310551	0.0135640415	0.0121265638	0.0109139624	0.0100198490
3.1	0.0151742356	0.0136040608	0.0121660312	0.0109554233	0.0100655057
3.2	0.0152167023	0.0136439264	0.0122060472	0.0109982453	0.0101133961
3.3	0.0152585565	0.0136837958	0.0122468291	0.0110427080	0.0101638628
3.4	0.0152999140	0.0137238421	0.0122886108	0.0110891088	0.0102172677
3.5	0.0153409047	0.0137642532	0.0123316424	0.0111377625	0.0102739911
3.6	0.0153816726	0.0138052324	0.0123761905	0.0111890011	0.0103344319
3.7	0.0154223753	0.0138469979	0.0124225372	0.0112431738	0.0103990070
3.8	0.0154631846	0.0138897828	0.0124709809	0.0113006464	0.0104681511
3.9	0.0155042860	0.0139338349	0.0125218353	0.0113618016	0.0105423165
4.0	0.0155458787	0.0139794165	0.0125754299	0.0114270381	0.0106219727
4.1	0.0155881753	0.0140268044	0.0126321091	0.0114967709	0.0107076062
4.2	0.0156314020	0.0140762897	0.0126922327	0.0115714307	0.0107997201
4.3	0.0156757983	0.0141281774	0.0127561750	0.0116514638	0.0108988335
4.4	0.0157216168	0.0141827868	0.0128243251	0.0117373317	0.0110054817
4.5	0.0157691233	0.0142404504	0.0128970864	0.0118295108	0.0111202154
4.6	0.0158185962	0.0143015147	0.0129748763	0.0119284922	0.0112436005
4.7	0.0158703270	0.0143663392	0.0130581262	0.0120347813	0.0113762176
4.8	0.0159246195	0.0144352967	0.0131472810	0.0121488976	0.0115186617
4.9	0.0159817901	0.0145087727	0.0132427988	0.0122713741	0.0116715420
5.0	0.0160421671	0.0145871655	0.0133451509	0.0124027570	0.0118354808
5.1	0.0161060912	0.0146708858	0.0134548213	0.0125436058	0.0120111141
5.2	0.0161739147	0.0147603564	0.0135723061	0.0126944923	0.0121990901
5.3	0.0162460016	0.0148560121	0.0136981139	0.0128560006	0.0124000695
5.4	0.0163227273	0.0149582992	0.0138327649	0.0130287266	0.0126147249
5.5	0.0164044785	0.0150676756	0.0139767909	0.0132132777	0.0128437401
5.6	0.0164916527	0.0151846102	0.0141307345	0.0134102723	0.0130878098
5.7	0.0165846584	0.0153095827	0.0142951495	0.0136203395	0.0133476391
5.8	0.0166839143	0.0154430834	0.0144705999	0.0138441185	0.0136239431
5.9	0.0167898497	0.0155856129	0.0146576598	0.0140822584	0.0139174463
6.0	0.0169029037	0.0157376816	0.0148569132	0.0143354178	0.0142288821
6.1	0.0170235253	0.0158998098	0.0150689532	0.0146042640	0.0145589924
6.2	0.0171521730	0.0160725267	0.0152943822	0.0148894731	0.0149085270
6.3	0.0172893145	0.0162563710	0.0155338108	0.0151917289	0.0152782430
6.4	0.0174354266	0.0164518897	0.0157878583	0.0155117232	0.0156689045
6.5	0.0175909945	0.0166596382	0.0160571515	0.0158501548	0.0160812820
