	1.530	1.540	1.550	1.560	1.570
0.0	0.9999956536	0.9999036941	0.9998084465	0.9998467354	0.9999089895
0.1	0.9999447675	0.9998536561	0.9997589913	0.9997978200	0.9998606872
0.2	0.9997922026	0.9997033633	0.9996107072	0.9996514924	0.9997163935
0.3	0.9995379900	0.9994528457	0.9993636235	0.9994077811	0.9994761363
0.4	0.9991821814	0.9991021537	0.9990177891	0.9990667338	0.9991399616
0.5	0.9987248491	0.9986513576	0.9985732723	0.9986284167	0.9987079340
0.6	0.9981660862	0.9981005479	0.9980301612	0.9980929155	0.9981801366
0.7	0.9975060063	0.9974498349	0.9973885631	0.9974603344	0.9975566706
0.8	0.9967447437	0.9966993493	0.9966486048	0.9967307968	0.9968376559
0.9	0.9958824532	0.9958492415	0.9958104328	0.9959044449	0.9960232305
1.0	0.9949193102	0.9948996821	0.9948742127	0.9949814397	0.9951135508
1.1	0.9938555106	0.9938508615	0.9938401296	0.9939619611	0.9941087916
1.2	0.9926912707	0.9927029900	0.9927083881	0.9928462078	0.9930091457
1.3	0.9914268273	0.9914562980	0.9914792120	0.9916343973	0.9918148244
1.4	0.9900624377	0.9901110354	0.9901528442	0.9903267657	0.9905260570
1.5	0.9885983793	0.9886674720	0.9887295471	0.9889235679	0.9891430911
1.6	0.9870349499	0.9871258974	0.9872096021	0.9874250774	0.9876661921
1.7	0.9853724674	0.9854866208	0.9855933097	0.9858315862	0.9860956439
1.8	0.9836112701	0.9837499709	0.9838809896	0.9841434049	0.9844317478
1.9	0.9817517160	0.9819162960	0.9820729803	0.9823608625	0.9826748235
2.0	0.9797941835	0.9799859640	0.9801696393	0.9804843064	0.9808252084
2.1	0.9777390706	0.9779593619	0.9781713430	0.9785141024	0.9788832577
2.2	0.9755867954	0.9758368962	0.9760784864	0.9764506343	0.9768493443
2.3	0.9733377956	0.9736189927	0.9738914835	0.9742943043	0.9747238587
2.4	0.9709925285	0.9713060960	0.9716107666	0.9720455328	0.9725072092
2.5	0.9685514713	0.9688986702	0.9692367867	0.9697047579	0.9701998213
2.6	0.9660151203	0.9663971980	0.9667700133	0.9672724359	0.9678021383
2.7	0.9633839914	0.9638021811	0.9642109340	0.9647490407	0.9653146206
2.8	0.9606586199	0.9611141400	0.9615600549	0.9621350642	0.9627377458
2.9	0.9578395599	0.9583336138	0.9588179001	0.9594310158	0.9600720087
3.0	0.9549273848	0.9554611602	0.9559850118	0.9566374224	0.9573179214
3.1	0.9519226870	0.9524973552	0.9530619502	0.9537548286	0.9544760126
3.2	0.9488260776	0.9494427933	0.9500492933	0.9507837960	0.9515468282
3.3	0.9456381862	0.9462980871	0.9469476367	0.9477249037	0.9485309305
3.4	0.9423596614	0.9430638673	0.9437575937	0.9445787479	0.9454288989
3.5	0.9389911700	0.9397407826	0.9404797951	0.9413459417	0.9422413288
3.6	0.9355333970	0.9363294993	0.9371148889	0.9380271151	0.9389688326
3.7	0.9319870457	0.9328307018	0.9336635406	0.9346229149	0.9356120385
3.8	0.9283528373	0.9292450917	0.9301264325	0.9311340045	0.9321715912
3.9	0.9246315112	0.9255733881	0.9265042640	0.9275610639	0.9286481514
4.0	0.9208238240	0.9218163274	0.9227977513	0.9239047894	0.9250423956
4.1	0.9169305502	0.9179746631	0.9190076273	0.9201658936	0.9213550164
4.2	0.9129524817	0.9140491657	0.9151346414	0.9163451050	0.9175867217
4.3	0.9088904275	0.9100406226	0.9111795594	0.9124431684	0.9137382353
4.4	0.9047452138	0.9059498375	0.9071431633	0.9084608441	0.9098102961
4.5	0.9005176838	0.9017776311	0.9030262512	0.9043989082	0.9058036584
4.6	0.8962086971	0.8975248400	0.8988296371	0.9002581524	0.9017190917
4.7	0.8918191303	0.8931923171	0.8945541508	0.8960393836	0.8975573802
4.8	0.8873498760	0.8887809315	0.8902006377	0.8917434240	0.8933193232
4.9	0.8828018432	0.8842915678	0.8857699586	0.8873711109	0.8890057345
5.0	0.8781759571	0.8797251264	0.8812629896	0.8829232962	0.8846174424
5.1	0.8734731583	0.8750825232	0.8766806217	0.8784008468	0.8801552897
5.2	0.8686944034	0.8703646892	0.8720237610	0.8738046441	0.8756201331
5.3	0.8638406643	0.8655725706	0.8672933283	0.8691355837	0.8710128436
5.4	0.8589129282	0.8607071286	0.8624902590	0.8643945757	0.8663343058
5.5	0.8539121974	0.8557693390	0.8576155026	0.8595825440	0.8615854183
5.6	0.8488394888	0.8507601920	0.8526700232	0.8547004263	0.8567670930
5.7	0.8436958342	0.8456806923	0.8476547985	0.8497491740	0.8518802550
5.8	0.8384822798	0.8405318586	0.8425708201	0.8447297522	0.8469258428
5.9	0.8331998860	0.8353147235	0.8374190933	0.8396431390	0.8419048079
6.0	0.8278497270	0.8300303334	0.8322006367	0.8344903257	0.8368181143
6.1	0.8224328910	0.8246797482	0.8269164821	0.8292723165	0.8316667390
6.2	0.8169504798	0.8192640408	0.8215676744	0.8239901283	0.8264516710
6.3	0.8114036084	0.8137842974	0.8161552710	0.8186447906	0.8211739118
6.4	0.8057934049	0.8082416171	0.8106803423	0.8132373449	0.8158344750
6.5	0.8001210104	0.8026371115	0.8051439706	0.8077688452	0.8104343858
6.6	0.7943875785	0.7969719046	0.7995472508	0.8022403572	0.8049746813
6.7	0.7885942753	0.7912471325	0.7938912893	0.7966529583	0.7994564097
6.8	0.7827422792	0.7854639435	0.7881772045	0.7910077373	0.7938806309
