	1.530	1.540	1.550	1.560	1.570
0.0	0.9999973512	0.9998935353	0.9997934653	0.9998334519	0.9998998247
0.1	0.9997941191	0.9996928592	0.9995959622	0.9996392190	0.9997087279
0.2	0.9991843182	0.9990913126	0.9990032920	0.9990554827	0.9991338066
0.3	0.9981684448	0.9980893779	0.9980159233	0.9980826980	0.9981755025
0.4	0.9967473253	0.9966878591	0.9966346371	0.9967216233	0.9968345516
0.5	0.9949221157	0.9948878803	0.9948605257	0.9949733194	0.9951119839
0.6	0.9926943009	0.9926908855	0.9926949923	0.9928391491	0.9930091224
0.7	0.9900656932	0.9900986371	0.9901397494	0.9903207761	0.9905275821
0.8	0.9870384310	0.9871132147	0.9871968179	0.9874201634	0.9876692692
0.9	0.9836149770	0.9837370129	0.9838685252	0.9841395718	0.9844363789
1.0	0.9797981162	0.9799727403	0.9801575035	0.9804815587	0.9808313944
1.1	0.9755909535	0.9758234164	0.9760666877	0.9764489753	0.9768570845
1.2	0.9709969116	0.9712923698	0.9715993130	0.9720449650	0.9725165016
1.3	0.9660197278	0.9663832352	0.9667589124	0.9672729607	0.9678129797
1.4	0.9606634508	0.9610999506	0.9615493140	0.9621366820	0.9627501313
1.5	0.9549324382	0.9554467543	0.9559746378	0.9566401326	0.9573318450
1.6	0.9488313520	0.9494281811	0.9500392925	0.9507875970	0.9515622824
1.7	0.9423651555	0.9430490590	0.9437479721	0.9445836370	0.9454458749
1.8	0.9355391090	0.9363145053	0.9371056521	0.9380330887	0.9389873202
1.9	0.9283587654	0.9292299224	0.9301175856	0.9311410579	0.9321915789
2.0	0.9208299660	0.9218009933	0.9227892990	0.9239129170	0.9250638706
2.1	0.9129588355	0.9140336774	0.9151265880	0.9163543001	0.9176096697
2.2	0.9047517769	0.9059342056	0.9071355127	0.9084710990	0.9098347016
2.3	0.8962154669	0.8975090751	0.8988223927	0.9002694586	0.9017449379
2.4	0.8873568495	0.8887650444	0.8901938024	0.8917557718	0.8933465919
2.5	0.8781831314	0.8797091278	0.8812565659	0.8829366749	0.8846461143
2.6	0.8687017754	0.8703485899	0.8720177511	0.8738190423	0.8756501874
2.7	0.8589204944	0.8606909395	0.8624846645	0.8644099810	0.8663657207
2.8	0.8488472457	0.8507439238	0.8526648454	0.8547168251	0.8567998451
2.9	0.8384902237	0.8405155221	0.8425660597	0.8447471303	0.8469599080
3.0	0.8278578539	0.8300139395	0.8321962941	0.8345086678	0.8368534669
3.1	0.8169587858	0.8192476002	0.8215637495	0.8240094182	0.8264882842
3.2	0.8058018857	0.8082251408	0.8106768346	0.8132575656	0.8158723210
3.3	0.7943962298	0.7969554033	0.7995441593	0.8022614907	0.8050137310
3.4	0.7827510965	0.7854474280	0.7881745279	0.7910297648	0.7939208542
3.5	0.7708759592	0.7737104465	0.7765769321	0.7795711429	0.7826022106
3.6	0.7587804782	0.7617538740	0.7647605438	0.7678945566	0.7710664937
3.7	0.7464744933	0.7495873018	0.7527347079	0.7560091078	0.7593225636
3.8	0.7339680154	0.7372204898	0.7405089352	0.7439240607	0.7473794402
