	1.530	1.540	1.550	1.560	1.570
0.0	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
0.1	0.0000367875	0.0000413341	0.0000464185	0.0000521001	0.0000584442
0.2	0.0001471444	0.0001653294	0.0001856652	0.0002083895	0.0002337630
0.3	0.0003310547	0.0003719656	0.0004177143	0.0004688357	0.0005259154
0.4	0.0005884911	0.0006612084	0.0007425228	0.0008333844	0.0009348332
0.5	0.0009194159	0.0010330099	0.0011600304	0.0013019595	0.0014604208
0.6	0.0013237803	0.0014873089	0.0016701594	0.0018744636	0.0021025553
0.7	0.0018015249	0.0020240300	0.0022728153	0.0025507772	0.0028610866
0.8	0.0023525792	0.0026430846	0.0029678860	0.0033307594	0.0037358373
0.9	0.0029768623	0.0033443704	0.0037552426	0.0042142476	0.0047266030
1.0	0.0036742823	0.0041277713	0.0046347388	0.0052010578	0.0058331520
1.1	0.0044447366	0.0049931579	0.0056062114	0.0062909843	0.0070552257
1.2	0.0052881117	0.0059403871	0.0066694799	0.0074837999	0.0083925383
1.3	0.0062042836	0.0069693023	0.0078243470	0.0087792560	0.0098447773
1.4	0.0071931175	0.0080797333	0.0090705983	0.0101770828	0.0114116031
1.5	0.0082544678	0.0092714965	0.0104080022	0.0116769888	0.0130926494
1.6	0.0093881784	0.0105443950	0.0118363106	0.0132786616	0.0148875233
1.7	0.0105940825	0.0118982182	0.0133552582	0.0149817672	0.0167958051
1.8	0.0118720025	0.0133327423	0.0149645629	0.0167859509	0.0188170488
1.9	0.0132217505	0.0148477302	0.0166639260	0.0186908365	0.0209507818
2.0	0.0146431279	0.0164429314	0.0184530320	0.0206960271	0.0231965053
2.1	0.0161359255	0.0181180820	0.0203315486	0.0228011049	0.0255536944
2.2	0.0176999236	0.0198729052	0.0222991271	0.0250056311	0.0280217978
2.3	0.0193348920	0.0217071109	0.0243554021	0.0273091463	0.0306002388
2.4	0.0210405903	0.0236203957	0.0264999919	0.0297111704	0.0332884144
2.5	0.0228167674	0.0256124433	0.0287324982	0.0322112029	0.0360856963
2.6	0.0246631619	0.0276829243	0.0310525066	0.0348087228	0.0389914305
2.7	0.0265795021	0.0298314965	0.0334595862	0.0375031887	0.0420049377
2.8	0.0285655061	0.0320578047	0.0359532901	0.0402940391	0.0451255135
2.9	0.0306208816	0.0343614806	0.0385331553	0.0431806925	0.0483524283
3.0	0.0327453262	0.0367421434	0.0411987029	0.0461625471	0.0516849277
3.1	0.0349385272	0.0391993996	0.0439494378	0.0492389816	0.0551222327
3.2	0.0372001620	0.0417328428	0.0467848494	0.0524093549	0.0586635397
3.3	0.0395298977	0.0443420542	0.0497044111	0.0556730063	0.0623080209
3.4	0.0419273915	0.0470266024	0.0527075810	0.0590292555	0.0660548242
3.5	0.0443922906	0.0497860435	0.0557938013	0.0624774033	0.0699030738
3.6	0.0469242323	0.0526199213	0.0589624991	0.0660167309	0.0738518699
3.7	0.0495228440	0.0555277672	0.0622130860	0.0696465008	0.0779002896
3.8	0.0521877434	0.0585091005	0.0655449584	0.0733659565	0.0820473862
3.9	0.0549185383	0.0615634283	0.0689574978	0.0771743229	0.0862921904
4.0	0.0577148269	0.0646902455	0.0724500705	0.0810708063	0.0906337099
4.1	0.0605761976	0.0678890352	0.0760220280	0.0850545948	0.0950709296
4.2	0.0635022295	0.0711592685	0.0796727071	0.0891248580	0.0996028122
4.3	0.0664924920	0.0745004048	0.0834014299	0.0932807477	0.1042282984
4.4	0.0695465451	0.0779118915	0.0872075042	0.0975213979	0.1089463067
4.5	0.0726639393	0.0813931647	0.0910902232	0.1018459248	0.1137557342
4.6	0.0758442159	0.0849436488	0.0950488661	0.1062534272	0.1186554566
4.7	0.0790869070	0.0885627568	0.0990826978	0.1107429865	0.1236443285
4.8	0.0823915354	0.0922498903	0.1031909694	0.1153136671	0.1287211835
4.9	0.0857576148	0.0960044396	0.1073729179	0.1199645164	0.1338848348
5.0	0.0891846499	0.0998257841	0.1116277671	0.1246945653	0.1391340752
5.1	0.0926721365	0.1037132918	0.1159547267	0.1295028280	0.1444676777
5.2	0.0962195612	0.1076663202	0.1203529936	0.1343883025	0.1498843953
5.3	0.0998264022	0.1116842155	0.1248217509	0.1393499706	0.1553829618
5.4	0.1034921287	0.1157663134	0.1293601690	0.1443867982	0.1609620917
5.5	0.1072162013	0.1199119392	0.1339674052	0.1494977358	0.1666204807
5.6	0.1109980719	0.1241204073	0.1386426041	0.1546817182	0.1723568060
5.7	0.1148371841	0.1283910219	0.1433848976	0.1599376651	0.1781697267
5.8	0.1187329730	0.1327230769	0.1481934051	0.1652644810	0.1840578838
5.9	0.1226848652	0.1371158561	0.1530672339	0.1706610560	0.1900199007
6.0	0.1266922793	0.1415686333	0.1580054791	0.1761262654	0.1960543837
6.1	0.1307546256	0.1460806721	0.1630072237	0.1816589701	0.2021599222
6.2	0.1348713063	0.1506512267	0.1680715390	0.1872580172	0.2083350886
6.3	0.1390417156	0.1552795412	0.1731974847	0.1929222399	0.2145784395
6.4	0.1432652398	0.1599648506	0.1783841091	0.1986504577	0.2208885153
6.5	0.1475412576	0.1647063800	0.1836304491	0.2044414769	0.2272638408
6.6	0.1518691395	0.1695033457	0.1889355306	0.2102940906	0.2337029257
6.7	0.1562482489	0.1743549545	0.1942983687	0.2162070791	0.2402042646
6.8	0.1606779413	0.1792604042	0.1997179676	0.2221792101	0.2467663376
6.9	0.1651575649	0.1842188837	0.2051933210	0.2282092391	0.2533876108
