	1.530	1.540	1.550	1.560	1.570
0.0	0.9675591878	0.9912693649	0.9999993872	0.9905102629	0.9598289971
0.1	0.9675098985	0.9912196020	0.9999499561	0.9904620941	0.9597831353
0.2	0.9673622259	0.9910704468	0.9998016738	0.9903174193	0.9596451267
0.3	0.9671162001	0.9908219292	0.9995545695	0.9900762667	0.9594149977
0.4	0.9667718713	0.9904740991	0.9992086921	0.9897386831	0.9590927924
0.5	0.9663293094	0.9900270264	0.9987641101	0.9893047344	0.9586785724
0.6	0.9657886047	0.9894808007	0.9982209112	0.9887745050	0.9581724172
0.7	0.9651498671	0.9888355315	0.9975792030	0.9881480982	0.9575744237
0.8	0.9644132266	0.9880913485	0.9968391123	0.9874256359	0.9568847068
0.9	0.9635788331	0.9872484008	0.9960007854	0.9866072590	0.9561033985
1.0	0.9626468564	0.9863068575	0.9950643881	0.9856931268	0.9552306489
1.1	0.9616174860	0.9852669076	0.9940301055	0.9846834174	0.9542666253
1.2	0.9604909315	0.9841287596	0.9928981422	0.9835783276	0.9532115128
1.3	0.9592674220	0.9828926419	0.9916687219	0.9823780726	0.9520655137
1.4	0.9579472064	0.9815588023	0.9903420877	0.9810828862	0.9508288480
1.5	0.9565305533	0.9801275085	0.9889185020	0.9796930209	0.9495017531
1.6	0.9550177508	0.9785990476	0.9873982461	0.9782087473	0.9480844835
1.7	0.9534091068	0.9769737260	0.9857816208	0.9766303548	0.9465773113
1.8	0.9517049485	0.9752518699	0.9840689456	0.9749581508	0.9449805258
1.9	0.9499056224	0.9734338246	0.9822605591	0.9731924611	0.9432944335
2.0	0.9480114948	0.9715199547	0.9803568190	0.9713336298	0.9415193579
2.1	0.9460229508	0.9695106442	0.9783581016	0.9693820192	0.9396556397
2.2	0.9439403949	0.9674062960	0.9762648022	0.9673380093	0.9377036368
2.3	0.9417642508	0.9652073322	0.9740773345	0.9652019986	0.9356637239
2.4	0.9394949611	0.9629141939	0.9717961312	0.9629744032	0.9335362924
2.5	0.9371329875	0.9605273410	0.9694216433	0.9606556572	0.9313217507
2.6	0.9346788103	0.9580472523	0.9669543402	0.9582462124	0.9290205240
2.7	0.9321329288	0.9554744251	0.9643947098	0.9557465383	0.9266330541
2.8	0.9294958609	0.9528093756	0.9617432583	0.9531571220	0.9241597992
2.9	0.9267681428	0.9500526382	0.9590005097	0.9504784681	0.9216012342
3.0	0.9239503296	0.9472047659	0.9561670066	0.9477110984	0.9189578501
3.1	0.9210429942	0.9442663298	0.9532433090	0.9448555524	0.9162301546
3.2	0.9180467281	0.9412379194	0.9502299951	0.9419123863	0.9134186712
3.3	0.9149621408	0.9381201419	0.9471276606	0.9388821738	0.9105239397
3.4	0.9117898596	0.9349136227	0.9439369191	0.9357655052	0.9075465158
3.5	0.9085305298	0.9316190050	0.9406584013	0.9325629879	0.9044869711
3.6	0.9051848143	0.9282369496	0.9372927554	0.9292752461	0.9013458931
3.7	0.9017533937	0.9247681347	0.9338406471	0.9259029202	0.8981238848
3.8	0.8982369659	0.9212132560	0.9303027587	0.9224466676	0.8948215647
3.9	0.8946362461	0.9175730266	0.9266797899	0.9189071617	0.8914395669
4.0	0.8909519668	0.9138481766	0.9229724569	0.9152850921	0.8879785407
4.1	0.8871848773	0.9100394530	0.9191814929	0.9115811649	0.8844391506
4.2	0.8833357437	0.9061476197	0.9153076473	0.9077961016	0.8808220761
4.3	0.8794053491	0.9021734573	0.9113516860	0.9039306400	0.8771280117
4.4	0.8753944928	0.8981177629	0.9073143914	0.8999855333	0.8733576667
4.5	0.8713039907	0.8939813498	0.9031965616	0.8959615502	0.8695117649
4.6	0.8671346747	0.8897650476	0.8989990108	0.8918594749	0.8655910448
4.7	0.8628873928	0.8854697021	0.8947225690	0.8876801069	0.8615962591
4.8	0.8585630089	0.8810961747	0.8903680818	0.8834242604	0.8575281748
4.9	0.8541624025	0.8766453424	0.8859364100	0.8790927649	0.8533875730
5.0	0.8496864688	0.8721180981	0.8814284299	0.8746864645	0.8491752488
5.1	0.8451361181	0.8675153497	0.8768450330	0.8702062178	0.8448920109
5.2	0.8405122758	0.8628380203	0.8721871253	0.8656528978	0.8405386818
5.3	0.8358158825	0.8580870480	0.8674556279	0.8610273920	0.8361160972
5.4	0.8310478933	0.8532633857	0.8626514764	0.8563306017	0.8316251064
5.5	0.8262092780	0.8483680007	0.8577756205	0.8515634422	0.8270665716
5.6	0.8213010208	0.8434018750	0.8528290243	0.8467268424	0.8224413682
5.7	0.8163241199	0.8383660045	0.8478126660	0.8418217449	0.8177503843
5.8	0.8112795876	0.8332613992	0.8427275373	0.8368491057	0.8129945204
5.9	0.8061684500	0.8280890828	0.8375746438	0.8318098936	0.8081746900
6.0	0.8009917464	0.8228500928	0.8323550041	0.8267050908	0.8032918183
6.1	0.7957505299	0.8175454798	0.8270696505	0.8215356921	0.7983468431
6.2	0.7904458664	0.8121763078	0.8217196278	0.8163027048	0.7933407137
6.3	0.7850788348	0.8067436535	0.8163059940	0.8110071487	0.7882743914
6.4	0.7796505268	0.8012486066	0.8108298194	0.8056500558	0.7831488492
6.5	0.7741620464	0.7956922690	0.8052921867	0.8002324701	0.7779650710
6.6	0.7686145098	0.7900757552	0.7996941910	0.7947554474	0.7727240524
6.7	0.7630090454	0.7844001916	0.7940369390	0.7892200549	0.7674267997
6.8	0.7573467933	0.7786667165	0.7883215493	0.7836273714	0.7620743300
6.9	0.7516289050	0.7728764798	0.7825491520	0.7779784869	0.7566676712
7.0	0.7458565435	0.7670306426	0.7767208884	0.7722745021	0.7512078614
7.1	0.7400308829	0.7611303776	0.7708379109	0.7665165286	0.7456959490
7.2	0.7341531079	0.7551768679	0.7649013826	0.7607056886	0.7401329925
7.3	0.7282244141	0.7491713076	0.7589124774	0.7548431144	0.7345200600
7.4	0.7222460072	0.7431149012	0.7528723794	0.7489299486	0.7288582293
7.5	0.7162191032	0.7370088632	0.7467822829	0.7429673435	0.7231485877
7.6	0.7101449278	0.7308544184	0.7406433919	0.7369564611	0.7173922316
7.7	0.7040247165	0.7246528009	0.7344569204	0.7308984728	0.7115902662
7.8	0.6978597139	0.7184052547	0.7282240914	0.7247945592	0.7057438058
7.9	0.6916511740	0.7121130326	0.7219461375	0.7186459098	0.6998539730
8.0	0.6854003594	0.7057773965	0.7156242998	0.7124537228	0.6939218987
8.1	0.6791085415	0.6993996172	0.7092598283	0.7062192051	0.6879487223
8.2	0.6727769999	0.6929809738	0.7028539815	0.6999435716	0.6819355905
8.3	0.6664070224	0.6865227534	0.6964080258	0.6936280453	0.6758836582
8.4	0.6599999044	0.6800262514	0.6899232359	0.6872738570	0.6697940875
8.5	0.6535569491	0.6734927706	0.6834008939	0.6808822450	0.6636680478
8.6	0.6470794669	0.6669236213	0.6768422894	0.6744544549	0.6575067154
8.7	0.6405687751	0.6603201211	0.6702487192	0.6679917394	0.6513112735
8.8	0.6340261979	0.6536835942	0.6636214870	0.6614953580	0.6450829118
8.9	0.6274530659	0.6470153717	0.6569619032	0.6549665767	0.6388228265
9.0	0.6208507161	0.6403167909	0.6502712844	0.6484066678	0.6325322195
9.1	0.6142204911	0.6335891952	0.6435509536	0.6418169098	0.6262122990
9.2	0.6075637394	0.6268339339	0.6368022396	0.6351985869	0.6198642786
9.3	0.6008818150	0.6200523616	0.6300264767	0.6285529890	0.6134893772
9.4	0.5941760767	0.6132458386	0.6232250045	0.6218814110	0.6070888192
9.5	0.5874478883	0.6064157298	0.6163991681	0.6151851533	0.6006638336
9.6	0.5806986183	0.5995634051	0.6095503168	0.6084655208	0.5942156543
9.7	0.5739296392	0.5926902387	0.6026798050	0.6017238231	0.5877455196
9.8	0.5671423279	0.5857976091	0.5957889911	0.5949613741	0.5812546720
9.9	0.5603380645	0.5788868984	0.5888792375	0.5881794915	0.5747443579
10.0	0.5535182331	0.5719594929	0.5819519104	0.5813794973	0.5682158277
10.1	0.5466842205	0.5650167816	0.5750083796	0.5745627164	0.5616703349
10.2	0.5398374167	0.5580601570	0.5680500179	0.5677304776	0.5551091367
10.3	0.5329792142	0.5510910143	0.5610782012	0.5608841122	0.5485334931
10.4	0.5261110077	0.5441107511	0.5540943079	0.5540249545	0.5419446668
10.5	0.5192341941	0.5371207673	0.5470997189	0.5471543414	0.5353439232
10.6	0.5123501720	0.5301224648	0.5400958172	0.5402736117	0.5287325299
10.7	0.5054603414	0.5231172470	0.5330839876	0.5333841065	0.5221117565
10.8	0.4985661035	0.5161065189	0.5260656166	0.5264871685	0.5154828746
10.9	0.4916688605	0.5090916866	0.5190420917	0.5195841417	0.5088471572
11.0	0.4847700151	0.5020741567	0.5120148017	0.5126763715	0.5022058786
11.1	0.4778709703	0.4950553366	0.5049851361	0.5057652042	0.4955603143
11.2	0.4709731293	0.4880366341	0.4979544848	0.4988519865	0.4889117405
11.3	0.4640778948	0.4810194567	0.4909242379	0.4919380660	0.4822614341
11.4	0.4571866692	0.4740052116	0.4838957854	0.4850247900	0.4756106722
11.5	0.4503008541	0.4669953056	0.4768705170	0.4781135058	0.4689607321
11.6	0.4434218496	0.4599911446	0.4698498218	0.4712055603	0.4623128909
11.7	0.4365510550	0.4529941331	0.4628350879	0.4643023000	0.4556684253
11.8	0.4296898675	0.4460056744	0.4558277023	0.4574050700	0.4490286115
11.9	0.4228396825	0.4390271701	0.4488290505	0.4505152148	0.4423947245
12.0	0.4160018931	0.4320600197	0.4418405163	0.4436340769	0.4357680384
12.1	0.4091778900	0.4251056204	0.4348634814	0.4367629975	0.4291498259
12.2	0.4023690609	0.4181653670	0.4278993255	0.4299033158	0.4225413581
