	1.530	1.540	1.550	1.560	1.570
0.0	0.9999992637	0.9990395856	0.9980338846	0.9986235946	0.9999620523
0.1	0.9999438677	0.9989849956	0.9979802682	0.9985711930	0.9999113892
0.2	0.9997901190	0.9988336211	0.9978314450	0.9984250186	0.9997683297
0.3	0.9995380477	0.9985854915	0.9975874433	0.9981850987	0.9995329003
0.4	0.9991877035	0.9982406548	0.9972483098	0.9978514786	0.9992051445
0.5	0.9987391553	0.9977991778	0.9968141091	0.9974242207	0.9987851229
0.6	0.9981924913	0.9972611461	0.9962849241	0.9969034055	0.9982729130
0.7	0.9975478191	0.9966266639	0.9956608557	0.9962891306	0.9976686097
0.8	0.9968052655	0.9958958542	0.9949420230	0.9955815116	0.9969723245
0.9	0.9959649765	0.9950688586	0.9941285632	0.9947806812	0.9961841861
1.0	0.9950271176	0.9941458374	0.9932206315	0.9938867899	0.9953043403
1.1	0.9939918731	0.9931269693	0.9922184011	0.9929000055	0.9943329495
1.2	0.9928594468	0.9920124518	0.9911220633	0.9918205135	0.9932701934
1.3	0.9916300614	0.9908025009	0.9899318272	0.9906485166	0.9921162684
1.4	0.9903039588	0.9894973511	0.9886479199	0.9893842349	0.9908713877
1.5	0.9888813998	0.9880972551	0.9872705864	0.9880279058	0.9895357814
1.6	0.9873626644	0.9866024845	0.9858000896	0.9865797841	0.9881096964
1.7	0.9857480513	0.9850133287	0.9842367100	0.9850401418	0.9865933962
1.8	0.9840378781	0.9833300957	0.9825807458	0.9834092681	0.9849871611
1.9	0.9822324813	0.9815531117	0.9808325131	0.9816874693	0.9832912878
2.0	0.9803322160	0.9796827210	0.9789923455	0.9798750688	0.9815060900
2.1	0.9783374561	0.9777192861	0.9770605940	0.9779724070	0.9796318974
2.2	0.9762485940	0.9756631874	0.9750376272	0.9759798412	0.9776690565
2.3	0.9740660407	0.9735148234	0.9729238312	0.9738977457	0.9756179300
2.4	0.9717902255	0.9712746102	0.9707196093	0.9717265116	0.9734788971
2.5	0.9694215960	0.9689429821	0.9684253821	0.9694665467	0.9712523531
2.6	0.9669606184	0.9665203909	0.9660415872	0.9671182755	0.9689387094
2.7	0.9644077768	0.9640073059	0.9635686796	0.9646821389	0.9665383937
2.8	0.9617635733	0.9614042142	0.9610071311	0.9621585946	0.9640518496
2.9	0.9590285281	0.9587116201	0.9583574304	0.9595481166	0.9614795367
3.0	0.9562031793	0.9559300454	0.9556200833	0.9568511952	0.9588219303
3.1	0.9532880828	0.9530600292	0.9527956118	0.9540683368	0.9560795217
3.2	0.9502838120	0.9501021275	0.9498845551	0.9512000642	0.9532528177
3.3	0.9471909579	0.9470569136	0.9468874685	0.9482469162	0.9503423407
3.4	0.9440101290	0.9439249775	0.9438049239	0.9452094474	0.9473486286
3.5	0.9407419510	0.9407069260	0.9406375095	0.9420882282	0.9442722348
3.6	0.9373870669	0.9374033829	0.9373858296	0.9388838450	0.9411137278
3.7	0.9339461367	0.9340149882	0.9340505048	0.9355968996	0.9378736913
3.8	0.9304198373	0.9305423985	0.9306321713	0.9322280093	0.9345527242
3.9	0.9268088623	0.9269862867	0.9271314815	0.9287778070	0.9311514403
4.0	0.9231139223	0.9233473419	0.9235491033	0.9252469406	0.9276704681
4.1	0.9193357441	0.9196262692	0.9198857203	0.9216360734	0.9241104511
4.2	0.9154750710	0.9158237898	0.9161420314	0.9179458834	0.9204720472
4.3	0.9115326624	0.9119406404	0.9123187511	0.9141770639	0.9167559287
4.4	0.9075092940	0.9079775734	0.9084166087	0.9103303228	0.9129627826
4.5	0.9034057573	0.9039353569	0.9044363489	0.9064063824	0.9090933099
4.6	0.8992228594	0.8998147741	0.9003787312	0.9024059799	0.9051482257
4.7	0.8949614235	0.8956166235	0.8962445297	0.8983298665	0.9011282592
4.8	0.8906222876	0.8913417186	0.8920345333	0.8941788080	0.8970341533
4.9	0.8862063056	0.8869908877	0.8877495453	0.8899535839	0.8928666647
5.0	0.8817143461	0.8825649739	0.8833903833	0.8856549879	0.8886265636
5.1	0.8771472929	0.8780648349	0.8789578792	0.8812838273	0.8843146336
5.2	0.8725060443	0.8734913427	0.8744528786	0.8768409231	0.8799316718
5.3	0.8677915136	0.8688453836	0.8698762411	0.8723271099	0.8754784881
5.4	0.8630046280	0.8641278577	0.8652288400	0.8677432354	0.8709559056
5.5	0.8581463294	0.8593396793	0.8605115621	0.8630901605	0.8663647601
5.6	0.8532175736	0.8544817761	0.8557253075	0.8583687594	0.8617059002
5.7	0.8482193300	0.8495550896	0.8508709894	0.8535799186	0.8569801869
5.8	0.8431525821	0.8445605744	0.8459495341	0.8487245378	0.8521884936
5.9	0.8380183266	0.8394991982	0.8409618806	0.8438035288	0.8473317059
6.0	0.8328175736	0.8343719420	0.8359089807	0.8388178159	0.8424107215
6.1	0.8275513461	0.8291797992	0.8307917984	0.8337683356	0.8374264497
6.2	0.8222206802	0.8239237759	0.8256113101	0.8286560363	0.8323798119
6.3	0.8168266246	0.8186048906	0.8203685045	0.8234818782	0.8272717407
