	1.530	1.540	1.550	1.560	1.570
11.1	0.7036854952	0.7569955469	0.8090360095	0.8583596078	0.9032833987
11.2	0.7095749465	0.7628174140	0.8146367897	0.8635585000	0.9078758871
11.3	0.7153640521	0.7685236413	0.8201059777	0.8686100622	0.9123068567
11.4	0.7210523203	0.7741141164	0.8254440075	0.8735154872	0.9165785199
11.5	0.7266393341	0.7795888145	0.8306514150	0.8782760835	0.9206932159
11.6	0.7321247487	0.7849477959	0.8357288345	0.8828932701	0.9246534039
11.7	0.7375082905	0.7901912042	0.8406769955	0.8873685723	0.9284616571
11.8	0.7427897555	0.7953192637	0.8454967196	0.8917036169	0.9321206559
11.9	0.7479690072	0.8003322770	0.8501889165	0.8959001274	0.9356331809
12.0	0.7530459753	0.8052306223	0.8547545810	0.8999599189	0.9390021069
12.1	0.7580206534	0.8100147513	0.8591947892	0.9038848932	0.9422303951
12.2	0.7628930977	0.8146851858	0.8635106944	0.9076770337	0.9453210868
12.3	0.7676634243	0.8192425158	0.8677035240	0.9113384001	0.9482772962
12.4	0.7723318079	0.8236873958	0.8717745751	0.9148711232	0.9511022030
12.5	0.7768984795	0.8280205430	0.8757252107	0.9182773997	0.9537990459
12.6	0.7813637241	0.8322427333	0.8795568558	0.9215594865	0.9563711146
12.7	0.7857278788	0.8363547993	0.8832709936	0.9247196956	0.9588217432
12.8	0.7899913306	0.8403576265	0.8868691610	0.9277603886	0.9611543029
12.9	0.7941545140	0.8442521511	0.8903529448	0.9306839709	0.9633721944
13.0	0.7982179089	0.8480393560	0.8937239773	0.9334928867	0.9654788412
13.1	0.8021820384	0.8517202686	0.8969839325	0.9361896131	0.9674776820
13.2	0.8060474663	0.8552959570	0.9001345216	0.9387766548	0.9693721636
13.3	0.8098147947	0.8587675271	0.9031774890	0.9412565385	0.9711657339
13.4	0.8134846619	0.8621361195	0.9061146081	0.9436318073	0.9728618348
13.5	0.8170577397	0.8654029063	0.9089476769	0.9459050154	0.9744638950
13.6	0.8205347314	0.8685690876	0.9116785139	0.9480787227	0.9759753233
13.7	0.8239163690	0.8716358888	0.9143089541	0.9501554890	0.9773995015
13.8	0.8272034110	0.8746045571	0.9168408446	0.9521378693	0.9787397776
13.9	0.8303966399	0.8774763584	0.9192760405	0.9540284077	0.9799994596
14.0	0.8334968597	0.8802525739	0.9216164008	0.9558296328	0.9811818084
14.1	0.8365048937	0.8829344973	0.9238637844	0.9575440523	0.9822900314
14.2	0.8394215820	0.8855234315	0.9260200458	0.9591741477	0.9833272768
14.3	0.8422477789	0.8880206853	0.9280870317	0.9607223697	0.9842966266
14.4	0.8449843508	0.8904275705	0.9300665762	0.9621911329	0.9852010913
14.5	0.8476321735	0.8927453990	0.9319604976	0.9635828110	0.9860436036
14.6	0.8501921302	0.8949754791	0.9337705942	0.9648997324	0.9868270131
14.7	0.8526651088	0.8971191135	0.9354986409	0.9661441754	0.9875540805
14.8	0.8550519999	0.8991775954	0.9371463852	0.9673183635	0.9882274723
14.9	0.8573536943	0.9011522063	0.9387155436	0.9684244613	0.9888497561
15.0	0.8595710808	0.9030442128	0.9402077983	0.9694645704	0.9894233953
15.1	0.8617050441	0.9048548639	0.9416247938	0.9704407249	0.9899507444
15.2	0.8637564624	0.9065853882	0.9429681333	0.9713548878	0.9904340448
15.3	0.8657262055	0.9082369915	0.9442393757	0.9722089471	0.9908754202
15.4	0.8676151326	0.9098108538	0.9454400322	0.9730047121	0.9912768731
15.5	0.8694240900	0.9113081273	0.9465715639	0.9737439099	0.9916402804
15.6	0.8711539096	0.9127299333	0.9476353780	0.9744281824	0.9919673904
15.7	0.8728054066	0.9140773606	0.9486328259	0.9750590827	0.9922598190
15.8	0.8743793776	0.9153514624	0.9495651998	0.9756380726	0.9925190471
15.9	0.8758765991	0.9165532548	0.9504337307	0.9761665195	0.9927464177
16.0	0.8772978253	0.9176837143	0.9512395858	0.9766456937	0.9929431333
16.1	0.8786437867	0.9187437760	0.9519838660	0.9770767666	0.9931102536
16.2	0.8799151881	0.9197343312	0.9526676041	0.9774608077	0.9932486937
16.3	0.8811127074	0.9206562264	0.9532917626	0.9777987833	0.9933592222
16.4	0.8822369942	0.9215102608	0.9538572319	0.9780915540	0.9934424599
16.5	0.8832886676	0.9222971850	0.9543648285	0.9783398737	0.9934988787
16.6	0.8842683156	0.9230176995	0.9548152935	0.9785443878	0.9935288005
16.7	0.8851764937	0.9236724532	0.9552092912	0.9787056321	0.9935323967
16.8	0.8860137231	0.9242620421	0.9555474077	0.9788240316	0.9935096879
16.9	0.8867804904	0.9247870081	0.9558301498	0.9788999002	0.9934605440
17.0	0.8874772460	0.9252478381	0.9560579443	0.9789334397	0.9933846841
17.1	0.8881044031	0.9256449625	0.9562311365	0.9789247392	0.9932816774
17.2	0.8886623371	0.9259787550	0.9563499905	0.9788737758	0.9931509437
17.3	0.8891513848	0.9262495314	0.9564146877	0.9787804136	0.9929917547
17.4	0.8895718432	0.9264575490	0.9564253274	0.9786444048	0.9928032352
