	1.530	1.540	1.550	1.560	1.570
11.1	0.0857856461	0.0990466695	0.1140247794	0.1308447517	0.1496066649
11.2	0.0855648305	0.0987895183	0.1137201911	0.1304775401	0.1491562368
11.3	0.0853410573	0.0985283677	0.1134102410	0.1301031976	0.1486963985
11.4	0.0851143924	0.0982632971	0.1130950274	0.1297218481	0.1482273099
11.5	0.0848849043	0.0979943900	0.1127746536	0.1293336225	0.1477491398
11.6	0.0846526643	0.0977217334	0.1124492278	0.1289386581	0.1472620659
11.7	0.0844177466	0.0974454179	0.1121188634	0.1285370989	0.1467662743
11.8	0.0841802278	0.0971655380	0.1117836784	0.1281290952	0.1462619600
11.9	0.0839401874	0.0968821915	0.1114437955	0.1277148039	0.1457493262
12.0	0.0836977075	0.0965954799	0.1110993425	0.1272943880	0.1452285845
12.1	0.0834528726	0.0963055082	0.1107504513	0.1268680166	0.1446999548
12.2	0.0832057701	0.0960123846	0.1103972589	0.1264358650	0.1441636647
12.3	0.0829564895	0.0957162208	0.1100399065	0.1259981145	0.1436199500
12.4	0.0827051230	0.0954171317	0.1096785396	0.1255549521	0.1430690541
12.5	0.0824517649	0.0951152356	0.1093133081	0.1251065706	0.1425112280
12.6	0.0821965122	0.0948106537	0.1089443663	0.1246531685	0.1419467301
12.7	0.0819394638	0.0945035104	0.1085718722	0.1241949495	0.1413758260
12.8	0.0816807211	0.0941939330	0.1081959883	0.1237321229	0.1407987883
12.9	0.0814203875	0.0938820517	0.1078168804	0.1232649030	0.1402158966
13.0	0.0811585684	0.0935679997	0.1074347186	0.1227935091	0.1396274369
13.1	0.0808953715	0.0932519127	0.1070496765	0.1223181656	0.1390337018
13.2	0.0806309062	0.0929339292	0.1066619311	0.1218391014	0.1384349902
13.3	0.0803652839	0.0926141901	0.1062716630	0.1213565502	0.1378316067
13.4	0.0800986176	0.0922928390	0.1058790560	0.1208707498	0.1372238620
13.5	0.0798310224	0.0919700215	0.1054842972	0.1203819424	0.1366120723
13.6	0.0795626148	0.0916458859	0.1050875767	0.1198903743	0.1359965591
13.7	0.0792935129	0.0913205824	0.1046890874	0.1193962956	0.1353776488
13.8	0.0790238363	0.0909942632	0.1042890252	0.1188999601	0.1347556730
13.9	0.0787537062	0.0906670826	0.1038875885	0.1184016252	0.1341309677
14.0	0.0784832450	0.0903391968	0.1034849781	0.1179015514	0.1335038732
14.1	0.0782125763	0.0900107635	0.1030813974	0.1174000025	0.1328747339
14.2	0.0779418251	0.0896819423	0.1026770517	0.1168972453	0.1322438983
14.3	0.0776711171	0.0893528942	0.1022721487	0.1163935492	0.1316117181
14.4	0.0774005795	0.0890237815	0.1018668978	0.1158891862	0.1309785485
14.5	0.0771303401	0.0886947679	0.1014615101	0.1153844305	0.1303447476
14.6	0.0768605276	0.0883660183	0.1010561985	0.1148795586	0.1297106764
14.7	0.0765912713	0.0880376985	0.1006511771	0.1143748488	0.1290766982
14.8	0.0763227015	0.0877099754	0.1002466615	0.1138705813	0.1284431785
14.9	0.0760549488	0.0873830167	0.0998428684	0.1133670374	0.1278104850
15.0	0.0757881442	0.0870569907	0.0994400152	0.1128645001	0.1271789866
15.1	0.0755224193	0.0867320662	0.0990383205	0.1123632533	0.1265490538
15.2	0.0752579059	0.0864084126	0.0986380032	0.1118635816	0.1259210579
15.3	0.0749947358	0.0860861996	0.0982392829	0.1113657704	0.1252953713
15.4	0.0747330411	0.0857655971	0.0978423794	0.1108701055	0.1246723666
15.5	0.0744729538	0.0854467749	0.0974475125	0.1103768728	0.1240524166
15.6	0.0742146060	0.0851299029	0.0970549023	0.1098863583	0.1234358940
15.7	0.0739581292	0.0848151508	0.0966647684	0.1093988475	0.1228231710
15.8	0.0737036551	0.0845026880	0.0962773303	0.1089146257	0.1222146192
15.9	0.0734513145	0.0841926835	0.0958928068	0.1084339773	0.1216106092
16.0	0.0732012382	0.0838853055	0.0955114160	0.1079571859	0.1210115100
16.1	0.0729535562	0.0835807219	0.0951333752	0.1074845339	0.1204176894
16.2	0.0727083977	0.0832790994	0.0947589007	0.1070163024	0.1198295131
16.3	0.0724658913	0.0829806040	0.0943882075	0.1065527708	0.1192473445
16.4	0.0722261648	0.0826854007	0.0940215094	0.1060942168	0.1186715448
16.5	0.0719893448	0.0823936531	0.0936590186	0.1056409160	0.1181024721
16.6	0.0717555572	0.0821055235	0.0933009455	0.1051931418	0.1175404817
16.7	0.0715249265	0.0818211729	0.0929474987	0.1047511651	0.1169859255
16.8	0.0712975759	0.0815407608	0.0925988850	0.1043152543	0.1164391517
16.9	0.0710736276	0.0812644448	0.0922553088	0.1038856748	0.1159005047
17.0	0.0708532020	0.0809923809	0.0919169722	0.1034626888	0.1153703246
17.1	0.0706364183	0.0807247230	0.0915840748	0.1030465553	0.1148489471
17.2	0.0704233940	0.0804616231	0.0912568137	0.1026375300	0.1143367032
17.3	0.0702142448	0.0802032311	0.0909353831	0.1022358644	0.1138339188
17.4	0.0700090849	0.0799496944	0.0906199741	0.1018418067	0.1133409147
17.5	0.0698080263	0.0797011583	0.0903107751	0.1014556005	0.1128580061
17.6	0.0696111794	0.0794577654	0.0900079707	0.1010774853	0.1123855024
17.7	0.0694186522	0.0792196559	0.0897117427	0.1007076962	0.1119237069
17.8	0.0692305511	0.0789869670	0.0894222689	0.1003464634	0.1114729169
17.9	0.0690469798	0.0787598335	0.0891397237	0.0999940125	0.1110334228
18.0	0.0688680402	0.0785383869	0.0888642776	0.0996505639	0.1106055086
18.1	0.0686938314	0.0783227558	0.0885960972	0.0993163327	0.1101894511
