	1.530	1.540	1.550	1.560	1.570
0.0	0.9985049965	0.9999976808	0.9995104099	0.9997128358	0.9996040171
0.1	0.9982995538	0.9997972216	0.9993143536	0.9995192927	0.9994104624
0.2	0.9976833989	0.9991960094	0.9987263438	0.9989388194	0.9988299549
0.3	0.9966570509	0.9981945404	0.9977468579	0.9979718833	0.9978629639
0.4	0.9952213747	0.9967936413	0.9963766914	0.9966192632	0.9965102713
0.5	0.9933775798	0.9949944682	0.9946169567	0.9948820485	0.9947729705
0.6	0.9911272199	0.9927985059	0.9924690825	0.9927616380	0.9926524658
0.7	0.9884721906	0.9902075666	0.9899348124	0.9902597390	0.9901504713
0.8	0.9854147288	0.9872237882	0.9870162035	0.9873783657	0.9872690088
0.9	0.9819574098	0.9838496322	0.9837156244	0.9841198375	0.9840104066
1.0	0.9781031456	0.9800878822	0.9800357534	0.9804867768	0.9803772971
1.1	0.9738551823	0.9759416409	0.9759795761	0.9764821067	0.9763726148
1.2	0.9692170970	0.9714143276	0.9715503825	0.9721090489	0.9719995935
1.3	0.9641927948	0.9665096751	0.9667517646	0.9673711204	0.9672617633
1.4	0.9587865054	0.9612317266	0.9615876129	0.9622721306	0.9621629481
1.5	0.9530027793	0.9555848322	0.9560621134	0.9568161780	0.9567072615
1.6	0.9468464840	0.9495736449	0.9501797433	0.9510076465	0.9508991038
1.7	0.9403227995	0.9432031166	0.9439452678	0.9448512018	0.9447431577
1.8	0.9334372139	0.9364784938	0.9373637358	0.9383517873	0.9382443846
1.9	0.9261955184	0.9294053132	0.9304404750	0.9315146196	0.9314080199
2.0	0.9186038026	0.9219893966	0.9231810879	0.9243451840	0.9242395686
2.1	0.9106684486	0.9142368459	0.9155914467	0.9168492300	0.9167448003
2.2	0.9023961259	0.9061540378	0.9076776878	0.9090327658	0.9089297444
2.3	0.8937937855	0.8977476183	0.8994462073	0.9009020536	0.9008006846
2.4	0.8848686533	0.8890244968	0.8909036545	0.8924636038	0.8923641534
2.5	0.8756282244	0.8799918400	0.8820569269	0.8837241693	0.8836269267
2.6	0.8660802561	0.8706570660	0.8729131637	0.8746907400	0.8745960174
2.7	0.8562327614	0.8610278373	0.8634797397	0.8653705363	0.8652786693
2.8	0.8460940017	0.8511120547	0.8537642590	0.8557710029	0.8556823513
2.9	0.8356724797	0.8409178499	0.8437745485	0.8458998026	0.8458147502
3.0	0.8249769319	0.8304535787	0.8335186507	0.8357648093	0.8356837643
3.1	0.8140163210	0.8197278136	0.8230048169	0.8253741012	0.8252974965
3.2	0.8027998280	0.8087493364	0.8122415004	0.8147359541	0.8146642472
3.3	0.7913368443	0.7975271305	0.8012373485	0.8038588338	0.8037925067
3.4	0.7796369630	0.7860703733	0.7900011954	0.7927513889	0.7926909483
3.5	0.7677099711	0.7743884275	0.7785420546	0.7814224433	0.7813684204
3.6	0.7555658405	0.7624908340	0.7668691107	0.7698809885	0.7698339389
3.7	0.7432147196	0.7503873027	0.7549917117	0.7581361760	0.7580966791
3.8	0.7306669240	0.7380877043	0.7429193610	0.7461973090	0.7461659680
3.9	0.7179329279	0.7256020621	0.7306617089	0.7340738345	0.7340512758
4.0	0.7050233545	0.7129405428	0.7182285441	0.7217753350	0.7217622081
4.1	0.6919489671	0.7001134477	0.7056297859	0.7093115205	0.7093084970
4.2	0.6787206594	0.6871312041	0.6928754747	0.6966922198	0.6966999929
4.3	0.6653494461	0.6740043557	0.6799757640	0.6839273718	0.6839466559
4.4	0.6518464533	0.6607435539	0.6669409112	0.6710270176	0.6710585470
4.5	0.6382229085	0.6473595484	0.6537812689	0.6580012908	0.6580458195
4.6	0.6244901311	0.6338631777	0.6405072761	0.6448604097	0.6449187099
4.7	0.6106595224	0.6202653598	0.6271294486	0.6316146678	0.6316875294
4.8	0.5967425555	0.6065770828	0.6136583705	0.6182744250	0.6183626543
4.9	0.5827507654	0.5928093952	0.6001046848	0.6048500989	0.6049545177
5.0	0.5686957391	0.5789733964	0.5864790843	0.5913521557	0.5914735999
5.1	0.5545891049	0.5650802271	0.5727923021	0.5777911010	0.5779304193
5.2	0.5404425228	0.5511410595	0.5590551025	0.5641774709	0.5643355237
5.3	0.5262676743	0.5371670879	0.5452782720	0.5505218226	0.5506994807
5.4	0.5120762517	0.5231695186	0.5314726094	0.5368347259	0.5370328687
5.5	0.4978799484	0.5091595605	0.5176489169	0.5231267534	0.5233462678
5.6	0.4836904486	0.4951484152	0.5038179909	0.5094084719	0.5096502504
5.7	0.4695194169	0.4811472676	0.4899906122	0.4956904330	0.4959553724
5.8	0.4553784882	0.4671672757	0.4761775372	0.4819831642	0.4822721636
5.9	0.4412792578	0.4532195614	0.4623894883	0.4682971597	0.4686111191
6.0	0.4272332710	0.4393152010	0.4486371450	0.4546428716	0.4549826898
6.1	0.4132520133	0.4254652149	0.4349311345	0.4410307007	0.4413972737
6.2	0.3993468999	0.4116805590	0.4212820227	0.4274709875	0.4278652066
6.3	0.3855292666	0.3979721147	0.4077003048	0.4139740039	0.4143967536
6.4	0.3718103592	0.3843506793	0.3941963970	0.4005499437	0.4010020998
6.5	0.3582013239	0.3708269575	0.3807806268	0.3872089143	0.3876913419
6.6	0.3447131978	0.3574115515	0.3674632247	0.3739609278	0.3744744795
6.7	0.3313568994	0.3441149519	0.3542543152	0.3608158927	0.3613614062
6.8	0.3181432185	0.3309475292	0.3411639082	0.3477836055	0.3483619014
6.9	0.3050828077	0.3179195242	0.3282018904	0.3348737419	0.3354856220
7.0	0.2921861724	0.3050410397	0.3153780171	0.3220958490	0.3227420937
7.1	0.2794636622	0.2923220319	0.3027019035	0.3094593372	0.3101407034
7.2	0.2669254618	0.2797723011	0.2901830171	0.2969734718	0.2976906908
7.3	0.2545815819	0.2674014845	0.2778306690	0.2846473656	0.2854011408
7.4	0.2424418511	0.2552190468	0.2656540063	0.2724899708	0.2732809754
7.5	0.2305159068	0.2432342729	0.2536620045	0.2605100718	0.2613389467
7.6	0.2188131875	0.2314562596	0.2418634597	0.2487162776	0.2495836288
7.7	0.2073429239	0.2198939079	0.2302669811	0.2371170146	0.2380234111
7.8	0.1961141318	0.2085559156	0.2188809842	0.2257205193	0.2266664911
7.9	0.1851356036	0.1974507697	0.2077136830	0.2145348318	0.2155208671
8.0	0.1744159013	0.1865867393	0.1967730836	0.2035677888	0.2045943321
8.1	0.1639633488	0.1759718685	0.1860669775	0.1928270170	0.1938944668
8.2	0.1537860247	0.1656139697	0.1756029348	0.1823199271	0.1834286334
8.3	0.1438917557	0.1555206170	0.1653882980	0.1720537071	0.1732039695
8.4	0.1342881098	0.1456991397	0.1554301760	0.1620353170	0.1632273823
8.5	0.1249823897	0.1361566164	0.1457354381	0.1522714824	0.1535055424
8.6	0.1159816266	0.1268998687	0.1363107083	0.1427686895	0.1440448789
8.7	0.1072925744	0.1179354558	0.1271623598	0.1335331796	0.1348515738
8.8	0.0989217037	0.1092696688	0.1182965100	0.1245709438	0.1259315569
8.9	0.0908751965	0.1009085257	0.1097190152	0.1158877183	0.1172905012
9.0	0.0831589411	0.0928577664	0.1014354658	0.1074889802	0.1089338179
9.1	0.0757785267	0.0851228476	0.0934511823	0.0993799421	0.1008666527
9.2	0.0687392393	0.0777089388	0.0857712102	0.0915655490	0.0930938810
9.3	0.0620460566	0.0706209178	0.0784003166	0.0840504738	0.0856201046
9.4	0.0557036446	0.0638633668	0.0713429863	0.0768391135	0.0784496475
9.5	0.0497163531	0.0574405688	0.0646034179	0.0699355865	0.0715865532
9.6	0.0440882125	0.0513565039	0.0581855209	0.0633437284	0.0650345812
9.7	0.0388229302	0.0456148465	0.0520929126	0.0570670901	0.0587972041
9.8	0.0339238880	0.0402189621	0.0463289152	0.0511089344	0.0528776052
9.9	0.0293941390	0.0351719050	0.0408965534	0.0454722341	0.0472786761
10.0	0.0252364053	0.0304764156	0.0357985522	0.0401596696	0.0420030148
10.1	0.0214530759	0.0261349187	0.0310373350	0.0351736270	0.0370529234
10.2	0.0180462049	0.0221495216	0.0266150216	0.0305161965	0.0324304073
10.3	0.0150175098	0.0185220123	0.0225334272	0.0261891714	0.0281371735
10.4	0.0123683705	0.0152538590	0.0187940610	0.0221940465	0.0241746295
10.5	0.0100998281	0.0123462085	0.0153981254	0.0185320177	0.0205438831
10.6	0.0082125845	0.0097998859	0.0123465153	0.0152039814	0.0172457412
10.7	0.0067070020	0.0076153943	0.0096398179	0.0122105338	0.0142807106
10.8	0.0055831031	0.0057929146	0.0072783128	0.0095519717	0.0116489972
10.9	0.0048405710	0.0043323057	0.0052619719	0.0072282919	0.0093505069
11.0	0.0044787502	0.0032331052	0.0035904599	0.0052391926	0.0073848460
11.1	0.0044966471	0.0024945302	0.0022631355	0.0035840733	0.0057513223
11.2	0.0048929314	0.0021154780	0.0012790521	0.0022620366	0.0044489461
