	1.530	1.540	1.550	1.560	1.570
22.40	0.0848453142	0.1024147406	0.1215560169	0.1415295853	0.1618545686
22.50	0.0827624044	0.1004044234	0.1197214290	0.1399541795	0.1605650423
22.60	0.0840467930	0.1017278646	0.1210581693	0.1413012210	0.1619606624
22.70	0.0854320979	0.1031503114	0.1224919157	0.1427434940	0.1634497704
22.80	0.0832261574	0.1010111598	0.1205217392	0.1410246276	0.1620079849
22.90	0.0832261574	0.1010111598	0.1205217392	0.1410246276	0.1620079849
23.00	0.0823842582	0.1002654305	0.1199474168	0.1407003053	0.1619967755
23.10	0.0837748830	0.1016953200	0.1213885875	0.1421467423	0.1634820907
23.20	0.0815219639	0.0994915060	0.1193359250	0.1403287964	0.1619273265
23.30	0.0806401605	0.0986902394	0.1186880191	0.1399106848	0.1617999819
23.40	0.0806401605	0.0986902394	0.1186880191	0.1399106848	0.1617999819
23.50	0.0784400776	0.0965185697	0.1166475020	0.1380878046	0.1602281497
23.60	0.0797397499	0.0978625071	0.1180044859	0.1394465952	0.1616151379
23.70	0.0788216501	0.0970092081	0.1172861426	0.1389371928	0.1613732420
23.80	0.0788216501	0.0970092081	0.1172861426	0.1389371928	0.1613732420
23.90	0.0765786357	0.0947769353	0.1151668241	0.1370181379	0.1596902297
24.00	0.0778867932	0.0961312625	0.1165338364	0.1383831824	0.1610747924
24.10	0.0778867932	0.0961312625	0.1165338364	0.1383831824	0.1610747924
24.20	0.0769361256	0.0952296117	0.1157484438	0.1377853078	0.1607203381
24.30	0.0783507853	0.0966892641	0.1172184058	0.1392494379	0.1621976433
24.40	0.0759706064	0.0943052165	0.1149308694	0.1371443512	0.1603104777
24.50	0.0736676709	0.0919866289	0.1126976740	0.1350846916	0.1584633535
24.60	0.0749912069	0.0933590569	0.1140820453	0.1364611322	0.1598458591
24.70	0.0764166872	0.0948312883	0.1155640411	0.1379332672	0.1613221302
24.80	0.0739989095	0.0923921307	0.1132029300	0.1357365070	0.1593271789
24.90	0.0739989095	0.0923921307	0.1132029300	0.1357365070	0.1593271789
25.00	0.0729947069	0.0914054531	0.1122945079	0.1349713680	0.1587551815
25.10	0.0719796014	0.0904000553	0.1113577880	0.1341666425	0.1581306586
25.20	0.0719796014	0.0904000553	0.1113577880	0.1341666425	0.1581306586
25.30	0.0734240304	0.0918937961	0.1128603570	0.1356531151	0.1596074171
25.40	0.0709546035	0.0893769838	0.1103938031	0.1333232919	0.1574544481
25.50	0.0685643068	0.0869276484	0.1079835676	0.1310406561	0.1553429263
25.60	0.0699207314	0.0883372993	0.1094036086	0.1324423109	0.1567274336
25.70	0.0713796246	0.0898471871	0.1109216595	0.1339400313	0.1582060779
25.80	0.0688790098	0.0872820759	0.1083882821	0.1315247265	0.1559505436
25.90	0.0664583122	0.0847852999	0.1059120877	0.1291574108	0.1537371410
26.00	0.0678304692	0.0862123999	0.1073489218	0.1305715970	0.1551247501
26.10	0.0653955678	0.0836929852	0.1048408504	0.1281629940	0.1528613508
26.20	0.0667761448	0.0851293688	0.1062866456	0.1295840112	0.1542510681
26.30	0.0682594943	0.0866662462	0.1078306921	0.1311013485	0.1557352083
26.40	0.0657170756	0.0840340906	0.1052025904	0.1285630869	0.1533305546
26.50	0.0657170756	0.0840340906	0.1052025904	0.1285630869	0.1533305546
26.60	0.0646543033	0.0829276823	0.1040979107	0.1275099702	0.1523643073
26.70	0.0661557916	0.0844844192	0.1056611943	0.1290423253	0.1538540670
26.80	0.0635888719	0.0818112695	0.1029737775	0.1264258346	0.1513534638
26.90	0.0635888719	0.0818112695	0.1029737775	0.1264258346	0.1513534638
27.00	0.0625218258	0.0806859847	0.1018313775	0.1253118793	0.1502992006
27.10	0.0614542099	0.0795529666	0.1006719118	0.1241693287	0.1492027315
27.20	0.0614542099	0.0795529666	0.1006719118	0.1241693287	0.1492027315
27.30	0.0603870677	0.0784133591	0.0994965947	0.1229994309	0.1480653071
27.40	0.0603870677	0.0784133591	0.0994965947	0.1229994309	0.1480653071
27.50	0.0603870677	0.0784133591	0.0994965947	0.1229994309	0.1480653071
27.60	0.0593214413	0.0772683101	0.0983066528	0.1218034564	0.1468882129
27.70	0.0608745924	0.0788812470	0.0999249062	0.1233806065	0.1483996666
27.80	0.0582583694	0.0761189707	0.0971033238	0.1205826974	0.1456727688
27.90	0.0557261845	0.0734296650	0.0943437775	0.1178375241	0.1429923824
28.00	0.0571988873	0.0749664936	0.0958878552	0.1193384660	0.1444203273
28.10	0.0546593235	0.0722621831	0.0931045059	0.1165601016	0.1416977141
28.20	0.0561440254	0.0738120328	0.0946615034	0.1180720937	0.1431322725
28.30	0.0550948084	0.0726567418	0.0934255322	0.1167849293	0.1418100185
28.40	0.0550948084	0.0726567418	0.0934255322	0.1167849293	0.1418100185
28.50	0.0550948084	0.0726567418	0.0934255322	0.1167849293	0.1418100185
28.60	0.0540522545	0.0715017732	0.0921812121	0.1154783383	0.1404550086
28.70	0.0556657480	0.0731801225	0.0938644183	0.1171112318	0.1420002465
28.80	0.0530173743	0.0703482770	0.0909298187	0.1141537013	0.1390687133
28.90	0.0530173743	0.0703482770	0.0909298187	0.1141537013	0.1390687133
29.00	0.0519911699	0.0691974003	0.0896726316	0.1128124128	0.1376526294
29.10	0.0509746341	0.0680502855	0.0884109336	0.1114558801	0.1362082784
29.20	0.0509746341	0.0680502855	0.0884109336	0.1114558801	0.1362082784
29.30	0.0499687494	0.0669080698	0.0871460088	0.1100855216	0.1347372051
29.40	0.0499687494	0.0669080698	0.0871460088	0.1100855216	0.1347372051
29.50	0.0499687494	0.0669080698	0.0871460088	0.1100855216	0.1347372051
29.60	0.0489744873	0.0657718837	0.0858791423	0.1087027657	0.1332409759
29.70	0.0506563444	0.0675244194	0.0876372022	0.1104027888	0.1348332300
29.80	0.0479928070	0.0646428504	0.0846116182	0.1073090496	0.1317211779
29.90	0.0454175400	0.0618392388	0.0816535691	0.1042737783	0.1286613666
30.00	0.0470246549	0.0635220847	0.0833447189	0.1059058177	0.1301794168
30.10	0.0444487763	0.0607114162	0.0803717388	0.1028468390	0.1270872118
30.20	0.0460709637	0.0624106918	0.0820797240	0.1044945204	0.1286173159
30.30	0.0451326515	0.0613097661	0.0808179085	0.1030766127	0.1270365141
30.40	0.0451326515	0.0613097661	0.0808179085	0.1030766127	0.1270365141
30.50	0.0451326515	0.0613097661	0.0808179085	0.1030766127	0.1270365141
30.60	0.0442106208	0.0602203908	0.0795605425	0.1016535531	0.1254386648
30.70	0.0433057579	0.0591436366	0.0783088892	0.1002268017	0.1238254340
30.80	0.0433057579	0.0591436366	0.0783088892	0.1002268017	0.1238254340
30.90	0.0433057579	0.0591436366	0.0783088892	0.1002268017	0.1238254340
31.00	0.0424189321	0.0580805604	0.0770642044	0.0987978194	0.1221984991
31.10	0.0442081809	0.0599502443	0.0789428399	0.1006110088	0.1238801226
31.20	0.0415509948	0.0570322049	0.0758277349	0.0973680664	0.1205595470
31.30	0.0407027788	0.0559995974	0.0746007177	0.0959390006	0.1189102727
31.40	0.0407027788	0.0559995974	0.0746007177	0.0959390006	0.1189102727
31.50	0.0407027788	0.0559995974	0.0746007177	0.0959390006	0.1189102727
31.60	0.0398750973	0.0549837486	0.0733843784	0.0945120764	0.1172523776
31.70	0.0390687438	0.0539856523	0.0721799307	0.0930887437	0.1155875683
31.80	0.0390687438	0.0539856523	0.0721799307	0.0930887437	0.1155875683
31.90	0.0365160048	0.0511465373	0.0691133399	0.0898618927	0.1122531953
32.00	0.0382844906	0.0530062838	0.0709885748	0.0916704460	0.1139175544
32.10	0.0382844906	0.0530062838	0.0709885748	0.0916704460	0.1139175544
32.20	0.0375230885	0.0520465995	0.0698114963	0.0902586192	0.1122440472
32.30	0.0367852663	0.0511075359	0.0686498656	0.0888546907	0.1105687583
32.40	0.0367852663	0.0511075359	0.0686498656	0.0888546907	0.1105687583
32.50	0.0367852663	0.0511075359	0.0686498656	0.0888546907	0.1105687583
32.60	0.0360717297	0.0501900087	0.0675048363	0.0874600777	0.1088933978
32.70	0.0353831610	0.0492949119	0.0663775443	0.0860761856	0.1072196727
32.80	0.0353831610	0.0492949119	0.0663775443	0.0860761856	0.1072196727
32.90	0.0353831610	0.0492949119	0.0663775443	0.0860761856	0.1072196727
33.00	0.0347202182	0.0484231171	0.0652691068	0.0847044076	0.1055492852
33.10	0.0366802577	0.0504813690	0.0673474909	0.0867156768	0.1074067274
33.20	0.0340835348	0.0475754727	0.0641806215	0.0833461226	0.1038839315
33.30	0.0334737188	0.0467528032	0.0631131651	0.0820026942	0.1022252999
33.40	0.0334737188	0.0467528032	0.0631131651	0.0820026942	0.1022252999
