	1.530	1.540	1.550	1.560	1.570
0	0.9514738964	0.9851455568	0.9997654488	0.9902432124	0.9519295429
.10	0.9533414565	0.9862647145	0.9998949656	0.9891441070	0.9493976928
.20	0.9533414565	0.9862647145	0.9998949656	0.9891441070	0.9493976928
.30	0.9533414565	0.9862647145	0.9998949656	0.9891441070	0.9493976928
.40	0.9551737619	0.9873404205	0.9999731372	0.9879872617	0.9468049182
.50	0.9551737619	0.9873404205	0.9999731372	0.9879872617	0.9468049182
.60	0.9569703325	0.9883724030	0.9999999858	0.9867730905	0.9441521276
.70	0.9569703325	0.9883724030	0.9999999858	0.9867730905	0.9441521276
.80	0.9587307206	0.9893604292	0.9999755794	0.9855020594	0.9414402861
.90	0.9604545111	0.9903043055	0.9999000318	0.9841746863	0.9386704153
1.00	0.9604545111	0.9903043055	0.9999000318	0.9841746863	0.9386704153
1.10	0.9621413217	0.9912038772	0.9997735024	0.9827915404	0.9358435924
1.20	0.9621413217	0.9912038772	0.9997735024	0.9827915404	0.9358435924
1.30	0.9637908028	0.9920590290	0.9995961960	0.9813532425	0.9329609496
1.40	0.9637908028	0.9920590290	0.9995961960	0.9813532425	0.9329609496
1.50	0.9654026376	0.9928696845	0.9993683627	0.9798604635	0.9300236735
1.60	0.9654026376	0.9928696845	0.9993683627	0.9798604635	0.9300236735
1.70	0.9654026376	0.9928696845	0.9993683627	0.9798604635	0.9300236735
1.80	0.9669765422	0.9936358064	0.9990902976	0.9783139250	0.9270330043
1.90	0.9669765422	0.9936358064	0.9990902976	0.9783139250	0.9270330043
2.00	0.9685122657	0.9943573960	0.9987623406	0.9767143982	0.9239902350
2.10	0.9700095899	0.9950344936	0.9983848759	0.9750627034	0.9208967105
2.20	0.9700095899	0.9950344936	0.9983848759	0.9750627034	0.9208967105
2.30	0.9700095899	0.9950344936	0.9983848759	0.9750627034	0.9208967105
2.40	0.9714683294	0.9956671779	0.9979583318	0.9733597096	0.9177538267
2.50	0.9714683294	0.9956671779	0.9979583318	0.9733597096	0.9177538267
2.60	0.9728883314	0.9962555659	0.9974831803	0.9716063336	0.9145630298
2.70	0.9742694757	0.9967998126	0.9969599364	0.9698035396	0.9113258148
2.80	0.9742694757	0.9967998126	0.9969599364	0.9698035396	0.9113258148
2.90	0.9742694757	0.9967998126	0.9969599364	0.9698035396	0.9113258148
3.00	0.9756116746	0.9973001109	0.9963891581	0.9679523382	0.9080437250
3.10	0.9769148726	0.9977566909	0.9957714453	0.9660537860	0.9047183507
3.20	0.9769148726	0.9977566909	0.9957714453	0.9660537860	0.9047183507
3.30	0.9769148726	0.9977566909	0.9957714453	0.9660537860	0.9047183507
3.40	0.9781790463	0.9981698200	0.9951074399	0.9641089842	0.9013513278
3.50	0.9794042038	0.9985398020	0.9943978243	0.9621190782	0.8979443371
3.60	0.9794042038	0.9985398020	0.9943978243	0.9621190782	0.8979443371
3.70	0.9805903851	0.9988669774	0.9936433220	0.9600852569	0.8944991029
3.80	0.9805903851	0.9988669774	0.9936433220	0.9600852569	0.8944991029
3.90	0.9805903851	0.9988669774	0.9936433220	0.9600852569	0.8944991029
4.00	0.9817376612	0.9991517220	0.9928446957	0.9580087509	0.8910173916
4.10	0.9817376612	0.9991517220	0.9928446957	0.9580087509	0.8910173916
4.20	0.9828461343	0.9993944474	0.9920027473	0.9558908327	0.8875010106
4.30	0.9828461343	0.9993944474	0.9920027473	0.9558908327	0.8875010106
4.40	0.9839159370	0.9995955997	0.9911183173	0.9537328146	0.8839518069
4.50	0.9839159370	0.9995955997	0.9911183173	0.9537328146	0.8839518069
4.60	0.9849472320	0.9997556593	0.9901922833	0.9515360483	0.8803716657
4.70	0.9859402122	0.9998751404	0.9892255600	0.9493019238	0.8767625090
4.80	0.9859402122	0.9998751404	0.9892255600	0.9493019238	0.8767625090
4.90	0.9868950997	0.9999545903	0.9882190977	0.9470318679	0.8731262942
5.00	0.9868950997	0.9999545903	0.9882190977	0.9470318679	0.8731262942
5.10	0.9868950997	0.9999545903	0.9882190977	0.9470318679	0.8731262942
5.20	0.9878121455	0.9999945887	0.9871738820	0.9447273434	0.8694650127
5.30	0.9878121455	0.9999945887	0.9871738820	0.9447273434	0.8694650127
5.40	0.9886916293	0.9999957470	0.9860909325	0.9423898479	0.8657806882
5.50	0.9895338587	0.9999587078	0.9849713020	0.9400209122	0.8620753752
5.60	0.9895338587	0.9999587078	0.9849713020	0.9400209122	0.8620753752
5.70	0.9903391688	0.9998841441	0.9838160756	0.9376220996	0.8583511576
5.80	0.9903391688	0.9998841441	0.9838160756	0.9376220996	0.8583511576
5.90	0.9911079217	0.9997727585	0.9826263696	0.9351950042	0.8546101470
6.00	0.9911079217	0.9997727585	0.9826263696	0.9351950042	0.8546101470
6.10	0.9911079217	0.9997727585	0.9826263696	0.9351950042	0.8546101470
6.20	0.9918405058	0.9996252826	0.9814033306	0.9327412499	0.8508544810
6.30	0.9918405058	0.9996252826	0.9814033306	0.9327412499	0.8508544810
6.40	0.9925373355	0.9994424759	0.9801481343	0.9302624888	0.8470863216
6.50	0.9925373355	0.9994424759	0.9801481343	0.9302624888	0.8470863216
6.60	0.9931988500	0.9992251252	0.9788619846	0.9277604000	0.8433078537
6.70	0.9938255136	0.9989740440	0.9775461125	0.9252366882	0.8395212830
6.80	0.9938255136	0.9989740440	0.9775461125	0.9252366882	0.8395212830
6.90	0.9944178142	0.9986900709	0.9762017748	0.9226930822	0.8357288346
7.00	0.9944178142	0.9986900709	0.9762017748	0.9226930822	0.8357288346
7.10	0.9944178142	0.9986900709	0.9762017748	0.9226930822	0.8357288346
7.20	0.9949762630	0.9983740695	0.9748302531	0.9201313336	0.8319327513
7.30	0.9949762630	0.9983740695	0.9748302531	0.9201313336	0.8319327513
7.40	0.9955013938	0.9980269272	0.9734328526	0.9175532152	0.8281352916
7.50	0.9959937622	0.9976495540	0.9720109009	0.9149605196	0.8243387280
7.60	0.9959937622	0.9976495540	0.9720109009	0.9149605196	0.8243387280
7.70	0.9964539452	0.9972428821	0.9705657470	0.9123550579	0.8205453453
7.80	0.9964539452	0.9972428821	0.9705657470	0.9123550579	0.8205453453
7.90	0.9968825398	0.9968078644	0.9690987597	0.9097386578	0.8167574388
8.00	0.9968825398	0.9968078644	0.9690987597	0.9097386578	0.8167574388
8.10	0.9968825398	0.9968078644	0.9690987597	0.9097386578	0.8167574388
8.20	0.9972801631	0.9963454739	0.9676113265	0.9071131624	0.8129773123
8.30	0.9976474506	0.9958567025	0.9661048528	0.9044804284	0.8092072764
8.40	0.9976474506	0.9958567025	0.9661048528	0.9044804284	0.8092072764
8.50	0.9976474506	0.9958567025	0.9661048528	0.9044804284	0.8092072764
8.60	0.9979850562	0.9953425600	0.9645807597	0.9018423248	0.8054496467
8.70	0.9979850562	0.9953425600	0.9645807597	0.9018423248	0.8054496467
8.80	0.9982936512	0.9948040733	0.9630404837	0.8992007313	0.8017067419
8.90	0.9985739230	0.9942422849	0.9614854746	0.8965575363	0.7979808819
9.00	0.9985739230	0.9942422849	0.9614854746	0.8965575363	0.7979808819
9.10	0.9985739230	0.9942422849	0.9614854746	0.8965575363	0.7979808819
9.20	0.9988265749	0.9936582525	0.9599171947	0.8939146359	0.7942743860
9.30	0.9990523249	0.9930530472	0.9583371173	0.8912739322	0.7905895711
