	1.530	1.540	1.550	1.560	1.570
22.40	0.0011102443	0.0038153744	0.0095879253	0.0202756192	0.0381851761
22.50	0.0007669867	0.0031442695	0.0085223584	0.0187680314	0.0362217172
22.60	0.0012197119	0.0040267409	0.0099492794	0.0208437229	0.0390174097
22.70	0.0017787417	0.0050183412	0.0114856755	0.0230259422	0.0419125276
22.80	0.0013683515	0.0042829956	0.0103608726	0.0214661811	0.0399056287
22.90	0.0013683515	0.0042829956	0.0103608726	0.0214661811	0.0399056287
23.00	0.0015560371	0.0045839159	0.0108223381	0.0221424237	0.0408489930
23.10	0.0021559002	0.0056216326	0.0124087795	0.0243757816	0.0437915134
23.20	0.0017826099	0.0049292405	0.0113332650	0.0228718314	0.0418466105
23.30	0.0020478782	0.0053186696	0.0118931981	0.0236537359	0.0428975371
23.40	0.0020478782	0.0053186696	0.0118931981	0.0236537359	0.0428975371
23.50	0.0017968191	0.0047545787	0.0109507175	0.0222858271	0.0410895489
23.60	0.0023516172	0.0057518650	0.0125016385	0.0244874211	0.0440007785
23.70	0.0026935701	0.0062284508	0.0131580443	0.0253721232	0.0451552906
23.80	0.0026935701	0.0062284508	0.0131580443	0.0253721232	0.0451552906
23.90	0.0024773023	0.0057052257	0.0122629867	0.0240583334	0.0434076740
24.00	0.0030734472	0.0067480132	0.0138618308	0.0263070317	0.0463599804
24.10	0.0030734472	0.0067480132	0.0138618308	0.0263070317	0.0463599804
24.20	0.0034909273	0.0073101011	0.0146123711	0.0272912900	0.0476137072
24.30	0.0042151255	0.0084847837	0.0163432873	0.0296670011	0.0506809358
24.40	0.0039456569	0.0079142266	0.0154089965	0.0283239962	0.0489152837
24.50	0.0037789431	0.0074497571	0.0145825981	0.0270889117	0.0472556402
24.60	0.0044372514	0.0085598655	0.0162509975	0.0294042041	0.0502634768
24.70	0.0052030669	0.0097792351	0.0180276167	0.0318230680	0.0533658242
24.80	0.0049652949	0.0092464574	0.0171376240	0.0305309235	0.0516570091
24.90	0.0049652949	0.0092464574	0.0171376240	0.0305309235	0.0516570091
25.00	0.0055293408	0.0099734064	0.0180680864	0.0317031218	0.0530945598
25.10	0.0061289121	0.0107400819	0.0190415558	0.0329197246	0.0545747658
25.20	0.0061289121	0.0107400819	0.0190415558	0.0329197246	0.0545747658
25.30	0.0069568709	0.0120250671	0.0208838669	0.0353986952	0.0577231586
25.40	0.0067635017	0.0115458185	0.0200571651	0.0341796164	0.0560962234
25.50	0.0066713486	0.0111713108	0.0193372464	0.0330676154	0.0545747284
25.60	0.0074325733	0.0123899175	0.0211140098	0.0354816421	0.0576574891
25.70	0.0083015899	0.0137174968	0.0229979818	0.0379973689	0.0608319333
25.80	0.0081355612	0.0132716464	0.0222111485	0.0368246078	0.0592570813
25.90	0.0080700854	0.0129299416	0.0215305891	0.0357585149	0.0577873642
26.00	0.0088718715	0.0141902407	0.0233476039	0.0382072819	0.0608934814
26.10	0.0088190052	0.0138641915	0.0226859590	0.0371633511	0.0594488254
26.20	0.0096408821	0.0151449037	0.0245223641	0.0396283962	0.0625651352
26.30	0.0105706247	0.0165343097	0.0264652609	0.0421939111	0.0657713391
