	1.530	1.540	1.550	1.560	1.570
22.3	0.2665873715	0.2737237030	0.2800481214	0.2862116486	0.2928103717
22.4	0.2665874775	0.2737237256	0.2800480522	0.2862114985	0.2928101824
22.5	0.2665875834	0.2737237483	0.2800479830	0.2862113483	0.2928099931
22.6	0.2665876893	0.2737237710	0.2800479138	0.2862111982	0.2928098038
22.7	0.2665877953	0.2737237937	0.2800478446	0.2862110481	0.2928096145
22.8	0.2665879012	0.2737238163	0.2800477754	0.2862108979	0.2928094251
22.9	0.2665880071	0.2737238390	0.2800477061	0.2862107478	0.2928092358
23.0	0.2665881130	0.2737238617	0.2800476369	0.2862105977	0.2928090465
23.1	0.2665882189	0.2737238843	0.2800475677	0.2862104475	0.2928088572
23.2	0.2665883249	0.2737239070	0.2800474985	0.2862102974	0.2928086678
23.3	0.2665884308	0.2737239297	0.2800474293	0.2862101472	0.2928084785
23.4	0.2665885367	0.2737239523	0.2800473600	0.2862099971	0.2928082892
23.5	0.2665886426	0.2737239750	0.2800472908	0.2862098469	0.2928080998
23.6	0.2665887485	0.2737239976	0.2800472215	0.2862096968	0.2928079105
23.7	0.2665888544	0.2737240203	0.2800471523	0.2862095466	0.2928077212
23.8	0.2665889603	0.2737240429	0.2800470831	0.2862093964	0.2928075318
23.9	0.2665890662	0.2737240656	0.2800470138	0.2862092463	0.2928073425
24.0	0.2665891721	0.2737240882	0.2800469446	0.2862090961	0.2928071531
24.1	0.2665892780	0.2737241109	0.2800468753	0.2862089459	0.2928069638
24.2	0.2665893839	0.2737241335	0.2800468061	0.2862087957	0.2928067744
24.3	0.2665894898	0.2737241561	0.2800467368	0.2862086456	0.2928065851
24.4	0.2665895957	0.2737241788	0.2800466676	0.2862084954	0.2928063957
24.5	0.2665897016	0.2737242014	0.2800465983	0.2862083452	0.2928062064
24.6	0.2665898075	0.2737242240	0.2800465290	0.2862081950	0.2928060170
24.7	0.2665899134	0.2737242467	0.2800464598	0.2862080448	0.2928058277
24.8	0.2665900193	0.2737242693	0.2800463905	0.2862078946	0.2928056383
24.9	0.2665901252	0.2737242919	0.2800463212	0.2862077444	0.2928054490
25.0	0.2665902311	0.2737243145	0.2800462519	0.2862075942	0.2928052596
25.1	0.2665903369	0.2737243372	0.2800461827	0.2862074440	0.2928050702
25.2	0.2665904428	0.2737243598	0.2800461134	0.2862072938	0.2928048809
25.3	0.2665905487	0.2737243824	0.2800460441	0.2862071436	0.2928046915
25.4	0.2665906546	0.2737244050	0.2800459748	0.2862069934	0.2928045021
25.5	0.2665907605	0.2737244276	0.2800459055	0.2862068432	0.2928043128
25.6	0.2665908663	0.2737244502	0.2800458362	0.2862066930	0.2928041234
25.7	0.2665909722	0.2737244728	0.2800457669	0.2862065428	0.2928039340
25.8	0.2665910781	0.2737244954	0.2800456976	0.2862063926	0.2928037447
25.9	0.2665911839	0.2737245180	0.2800456283	0.2862062423	0.2928035553
26.0	0.2665912898	0.2737245406	0.2800455590	0.2862060921	0.2928033659
26.1	0.2665913957	0.2737245632	0.2800454897	0.2862059419	0.2928031765
26.2	0.2665915015	0.2737245858	0.2800454204	0.2862057917	0.2928029871
26.3	0.2665916074	0.2737246084	0.2800453511	0.2862056414	0.2928027978
26.4	0.2665917133	0.2737246310	0.2800452818	0.2862054912	0.2928026084
26.5	0.2665918191	0.2737246536	0.2800452125	0.2862053409	0.2928024190
26.6	0.2665919250	0.2737246762	0.2800451431	0.2862051907	0.2928022296
26.7	0.2665920308	0.2737246987	0.2800450738	0.2862050405	0.2928020402
26.8	0.2665921367	0.2737247213	0.2800450045	0.2862048902	0.2928018508
26.9	0.2665922426	0.2737247439	0.2800449352	0.2862047400	0.2928016614
27.0	0.2665923484	0.2737247665	0.2800448658	0.2862045897	0.2928014720
27.1	0.2665924543	0.2737247890	0.2800447965	0.2862044395	0.2928012826
27.2	0.2665925601	0.2737248116	0.2800447272	0.2862042892	0.2928010932
27.3	0.2665926659	0.2737248342	0.2800446578	0.2862041389	0.2928009038
27.4	0.2665927718	0.2737248567	0.2800445885	0.2862039887	0.2928007144
27.5	0.2665928776	0.2737248793	0.2800445191	0.2862038384	0.2928005250
27.6	0.2665929835	0.2737249019	0.2800444498	0.2862036881	0.2928003356
27.7	0.2665930893	0.2737249244	0.2800443804	0.2862035379	0.2928001462
27.8	0.2665931952	0.2737249470	0.2800443111	0.2862033876	0.2927999568
27.9	0.2665933010	0.2737249695	0.2800442417	0.2862032373	0.2927997674
28.0	0.2665934068	0.2737249921	0.2800441724	0.2862030870	0.2927995780
28.1	0.2665935127	0.2737250146	0.2800441030	0.2862029367	0.2927993885
28.2	0.2665936185	0.2737250372	0.2800440336	0.2862027865	0.2927991991
28.3	0.2665937243	0.2737250597	0.2800439643	0.2862026362	0.2927990097
28.4	0.2665938301	0.2737250823	0.2800438949	0.2862024859	0.2927988203
28.5	0.2665939360	0.2737251048	0.2800438255	0.2862023356	0.2927986309
28.6	0.2665940418	0.2737251273	0.2800437562	0.2862021853	0.2927984414
28.7	0.2665941476	0.2737251499	0.2800436868	0.2862020350	0.2927982520
28.8	0.2665942534	0.2737251724	0.2800436174	0.2862018847	0.2927980626
28.9	0.2665943592	0.2737251949	0.2800435480	0.2862017344	0.2927978732
29.0	0.2665944651	0.2737252175	0.2800434786	0.2862015841	0.2927976837
29.1	0.2665945709	0.2737252400	0.2800434092	0.2862014337	0.2927974943
29.2	0.2665946767	0.2737252625	0.2800433398	0.2862012834	0.2927973049
29.3	0.2665947825	0.2737252850	0.2800432704	0.2862011331	0.2927971154
29.4	0.2665948883	0.2737253076	0.2800432010	0.2862009828	0.2927969260
29.5	0.2665949941	0.2737253301	0.2800431316	0.2862008325	0.2927967365
29.6	0.2665950999	0.2737253526	0.2800430622	0.2862006821	0.2927965471
29.7	0.2665952057	0.2737253751	0.2800429928	0.2862005318	0.2927963576
29.8	0.2665953115	0.2737253976	0.2800429234	0.2862003815	0.2927961682
29.9	0.2665954173	0.2737254201	0.2800428540	0.2862002312	0.2927959788
30.0	0.2665955231	0.2737254426	0.2800427846	0.2862000808	0.2927957893
30.1	0.2665956289	0.2737254651	0.2800427152	0.2861999305	0.2927955999
30.2	0.2665957347	0.2737254876	0.2800426458	0.2861997801	0.2927954104
30.3	0.2665958405	0.2737255101	0.2800425763	0.2861996298	0.2927952209
30.4	0.2665959463	0.2737255326	0.2800425069	0.2861994794	0.2927950315
30.5	0.2665960521	0.2737255551	0.2800424375	0.2861993291	0.2927948420
30.6	0.2665961579	0.2737255776	0.2800423681	0.2861991787	0.2927946526
30.7	0.2665962637	0.2737256001	0.2800422986	0.2861990284	0.2927944631
30.8	0.2665963695	0.2737256226	0.2800422292	0.2861988780	0.2927942736
30.9	0.2665964753	0.2737256451	0.2800421597	0.2861987277	0.2927940842
31.0	0.2665965810	0.2737256676	0.2800420903	0.2861985773	0.2927938947
31.1	0.2665966868	0.2737256900	0.2800420209	0.2861984269	0.2927937052
31.2	0.2665967926	0.2737257125	0.2800419514	0.2861982766	0.2927935158
31.3	0.2665968984	0.2737257350	0.2800418820	0.2861981262	0.2927933263
31.4	0.2665970041	0.2737257575	0.2800418125	0.2861979758	0.2927931368
31.5	0.2665971099	0.2737257799	0.2800417430	0.2861978254	0.2927929473
31.6	0.2665972157	0.2737258024	0.2800416736	0.2861976750	0.2927927579
31.7	0.2665973215	0.2737258249	0.2800416041	0.2861975247	0.2927925684
31.8	0.2665974272	0.2737258473	0.2800415347	0.2861973743	0.2927923789
31.9	0.2665975330	0.2737258698	0.2800414652	0.2861972239	0.2927921894
32.0	0.2665976388	0.2737258922	0.2800413957	0.2861970735	0.2927919999
32.1	0.2665977445	0.2737259147	0.2800413262	0.2861969231	0.2927918105
32.2	0.2665978503	0.2737259372	0.2800412568	0.2861967727	0.2927916210
32.3	0.2665979560	0.2737259596	0.2800411873	0.2861966223	0.2927914315
32.4	0.2665980618	0.2737259821	0.2800411178	0.2861964719	0.2927912420
32.5	0.2665981676	0.2737260045	0.2800410483	0.2861963215	0.2927910525
32.6	0.2665982733	0.2737260270	0.2800409788	0.2861961711	0.2927908630
32.7	0.2665983791	0.2737260494	0.2800409093	0.2861960207	0.2927906735
32.8	0.2665984848	0.2737260718	0.2800408399	0.2861958702	0.2927904840
32.9	0.2665985906	0.2737260943	0.2800407704	0.2861957198	0.2927902945
33.0	0.2665986963	0.2737261167	0.2800407009	0.2861955694	0.2927901050
33.1	0.2665988021	0.2737261391	0.2800406314	0.2861954190	0.2927899155
33.2	0.2665989078	0.2737261616	0.2800405619	0.2861952686	0.2927897260
33.3	0.2665990136	0.2737261840	0.2800404924	0.2861951181	0.2927895365
33.4	0.2665991193	0.2737262064	0.2800404228	0.2861949677	0.2927893470
33.5	0.2665992250	0.2737262289	0.2800403533	0.2861948173	0.2927891575
33.6	0.2665993308	0.2737262513	0.2800402838	0.2861946668	0.2927889679
33.7	0.2665994365	0.2737262737	0.2800402143	0.2861945164	0.2927887784
33.8	0.2665995422	0.2737262961	0.2800401448	0.2861943659	0.2927885889
33.9	0.2665996480	0.2737263185	0.2800400753	0.2861942155	0.2927883994
34.0	0.2665997537	0.2737263409	0.2800400057	0.2861940650	0.2927882099
34.1	0.2665998594	0.2737263634	0.2800399362	0.2861939146	0.2927880203
34.2	0.2665999652	0.2737263858	0.2800398667	0.2861937641	0.2927878308
34.3	0.2666000709	0.2737264082	0.2800397971	0.2861936137	0.2927876413
34.4	0.2666001766	0.2737264306	0.2800397276	0.2861934632	0.2927874518
34.5	0.2666002823	0.2737264530	0.2800396581	0.2861933128	0.2927872622
34.6	0.2666003880	0.2737264754	0.2800395885	0.2861931623	0.2927870727
34.7	0.2666004938	0.2737264978	0.2800395190	0.2861930118	0.2927868832
34.8	0.2666005995	0.2737265202	0.2800394494	0.2861928614	0.2927866936
34.9	0.2666007052	0.2737265426	0.2800393799	0.2861927109	0.2927865041
