	1.530	1.540	1.550	1.560	1.570
0.0	0.9999620309	0.9905383228	0.9575663362	0.8984300880	0.8120358539
0.1	0.9999043815	0.9904820380	0.9575127684	0.8983806775	0.8119920560
0.2	0.9997314552	0.9903130401	0.9573516798	0.8982317517	0.8118595615
0.3	0.9994432918	0.9900313676	0.9570831064	0.8979833433	0.8116383989
0.4	0.9990399577	0.9896370844	0.9567071084	0.8976355070	0.8113286162
0.5	0.9985215460	0.9891302804	0.9562237700	0.8971883196	0.8109302805
0.6	0.9978881762	0.9885110707	0.9556331996	0.8966418798	0.8104434783
0.7	0.9971399943	0.9877795962	0.9549355297	0.8959963085	0.8098683157
0.8	0.9962771729	0.9869360234	0.9541309168	0.8952517484	0.8092049178
0.9	0.9952999110	0.9859805441	0.9532195415	0.8944083641	0.8084534290
1.0	0.9942084338	0.9849133759	0.9522016084	0.8934663423	0.8076140132
1.1	0.9930029931	0.9837347615	0.9510773458	0.8924258913	0.8066868533
1.2	0.9916838669	0.9824449691	0.9498470061	0.8912872413	0.8056721513
1.3	0.9902513592	0.9810442922	0.9485108655	0.8900506444	0.8045701286
1.4	0.9887058005	0.9795330495	0.9470692239	0.8887163743	0.8033810255
1.5	0.9870475471	0.9779115851	0.9455224050	0.8872847262	0.8021051012
1.6	0.9852769815	0.9761802677	0.9438707560	0.8857560171	0.8007426342
1.7	0.9833945118	0.9743394915	0.9421146477	0.8841305854	0.7992939217
1.8	0.9814005722	0.9723896754	0.9402544743	0.8824087910	0.7977592798
1.9	0.9792956224	0.9703312630	0.9382906536	0.8805910150	0.7961390432
2.0	0.9770801478	0.9681647229	0.9362236263	0.8786776600	0.7944335657
2.1	0.9747546594	0.9658905480	0.9340538567	0.8766691494	0.7926432193
2.2	0.9723196933	0.9635092559	0.9317818318	0.8745659282	0.7907683948
2.3	0.9697758110	0.9610213887	0.9294080619	0.8723684620	0.7888095015
2.4	0.9671235991	0.9584275123	0.9269330799	0.8700772374	0.7867669668
2.5	0.9643636691	0.9557282173	0.9243574415	0.8676927617	0.7846412366
2.6	0.9614966576	0.9529241178	0.9216817251	0.8652155631	0.7824327750
2.7	0.9585232256	0.9500158522	0.9189065314	0.8626461900	0.7801420640
2.8	0.9554440587	0.9470040821	0.9160324838	0.8599852116	0.7777696038
2.9	0.9522598670	0.9438894932	0.9130602274	0.8572332171	0.7753159123
3.0	0.9489713846	0.9406727941	0.9099904298	0.8543908160	0.7727815251
3.1	0.9455793700	0.9373547171	0.9068237802	0.8514586377	0.7701669957
3.2	0.9420846053	0.9339360173	0.9035609898	0.8484373318	0.7674728948
3.3	0.9384878963	0.9304174727	0.9002027912	0.8453275674	0.7646998108
3.4	0.9347900723	0.9267998841	0.8967499386	0.8421300332	0.7618483490
3.5	0.9309919861	0.9230840749	0.8932032073	0.8388454374	0.7589191323
3.6	0.9270945135	0.9192708907	0.8895633937	0.8354745076	0.7559128001
3.7	0.9230985532	0.9153611995	0.8858313153	0.8320179903	0.7528300090
3.8	0.9190050266	0.9113558909	0.8820078102	0.8284766512	0.7496714321
3.9	0.9148148777	0.9072558766	0.8780937369	0.8248512747	0.7464377593
4.0	0.9105290726	0.9030620898	0.8740899744	0.8211426638	0.7431296967
4.1	0.9061485996	0.8987754849	0.8699974220	0.8173516399	0.7397479666
4.2	0.9016744688	0.8943970376	0.8658169985	0.8134790428	0.7362933078
4.3	0.8971077119	0.8899277443	0.8615496429	0.8095257303	0.7327664746
4.4	0.8924493819	0.8853686222	0.8571963135	0.8054925782	0.7291682373
4.5	0.8877005530	0.8807207091	0.8527579878	0.8013804797	0.7254993817
4.6	0.8828623203	0.8759850627	0.8482356627	0.7971903458	0.7217607092
4.7	0.8779357993	0.8711627608	0.8436303538	0.7929231046	0.7179530362
4.8	0.8729221261	0.8662549011	0.8389430953	0.7885797015	0.7140771946
4.9	0.8678224568	0.8612626004	0.8341749398	0.7841610986	0.7101340307
5.0	0.8626379673	0.8561869952	0.8293269581	0.7796682747	0.7061244059
5.1	0.8573698532	0.8510292405	0.8244002392	0.7751022251	0.7020491959
5.2	0.8520193291	0.8457905103	0.8193958893	0.7704639612	0.6979092909
5.3	0.8465876288	0.8404719969	0.8143150324	0.7657545106	0.6937055952
5.4	0.8410760049	0.8350749109	0.8091588095	0.7609749166	0.6894390269
5.5	0.8354857283	0.8296004805	0.8039283787	0.7561262380	0.6851105180
5.6	0.8298180880	0.8240499518	0.7986249145	0.7512095489	0.6807210141
5.7	0.8240743909	0.8184245880	0.7932496082	0.7462259385	0.6762714740
5.8	0.8182559614	0.8127256696	0.7878036669	0.7411765109	0.6717628696
5.9	0.8123641413	0.8069544936	0.7822883137	0.7360623848	0.6671961859
6.0	0.8064002892	0.8011123735	0.7767047873	0.7308846930	0.6625724203
6.1	0.8003657801	0.7952006390	0.7710543417	0.7256445828	0.6578925831
6.2	0.7942620057	0.7892206357	0.7653382459	0.7203432149	0.6531576964
6.3	0.7880903733	0.7831737246	0.7595577837	0.7149817638	0.6483687948
6.4	0.7818523062	0.7770612819	0.7537142533	0.7095614175	0.6435269242
6.5	0.7755492427	0.7708846990	0.7478089671	0.7040833766	0.6386331426
6.6	0.7691826362	0.7646453817	0.7418432514	0.6985488550	0.6336885189
6.7	0.7627539549	0.7583447499	0.7358184461	0.6929590786	0.6286941335
6.8	0.7562646810	0.7519842379	0.7297359043	0.6873152860	0.6236510775
6.9	0.7497163110	0.7455652932	0.7235969921	0.6816187276	0.6185604525
7.0	0.7431103549	0.7390893768	0.7174030883	0.6758706654	0.6134233709
7.1	0.7364483359	0.7325579628	0.7111555840	0.6700723729	0.6082409548
7.2	0.7297317902	0.7259725376	0.7048558824	0.6642251348	0.6030143365
7.3	0.7229622665	0.7193346002	0.6985053983	0.6583302466	0.5977446579
7.4	0.7161413259	0.7126456614	0.6921055581	0.6523890144	0.5924330704
7.5	0.7092705412	0.7059072436	0.6856577991	0.6464027544	0.5870807345
7.6	0.7023514967	0.6991208806	0.6791635695	0.6403727931	0.5816888195
7.7	0.6953857879	0.6922881169	0.6726243280	0.6343004663	0.5762585035
7.8	0.6883750209	0.6854105078	0.6660415432	0.6281871196	0.5707909731
