	1.530	1.540	1.550	1.560	1.570
0.0	0.9977648013	0.9927012279	0.9876649387	0.9853323453	0.9873149793
0.1	0.9977142043	0.9926515126	0.9876161456	0.9852844362	0.9872679184
0.2	0.9975745135	0.9925143946	0.9874816232	0.9851522253	0.9871376127
0.3	0.9973457538	0.9922898980	0.9872613946	0.9849357352	0.9869240841
0.4	0.9970279661	0.9919780625	0.9869554983	0.9846350030	0.9866273686
0.5	0.9966212072	0.9915789429	0.9865639871	0.9842500801	0.9862475162
0.6	0.9961255496	0.9910926094	0.9860869293	0.9837810323	0.9857845911
0.7	0.9955410820	0.9905191477	0.9855244074	0.9832279400	0.9852386712
0.8	0.9948679086	0.9898586589	0.9848765193	0.9825908977	0.9846098487
0.9	0.9941061498	0.9891112592	0.9841433773	0.9818700145	0.9838982296
1.0	0.9932559416	0.9882770802	0.9833251087	0.9810654138	0.9831039339
1.1	0.9923174357	0.9873562688	0.9824218557	0.9801772332	0.9822270955
1.2	0.9912907999	0.9863489872	0.9814337750	0.9792056247	0.9812678623
1.3	0.9901762175	0.9852554127	0.9803610381	0.9781507545	0.9802263961
1.4	0.9889738876	0.9840757380	0.9792038313	0.9770128032	0.9791028726
1.5	0.9876840248	0.9828101708	0.9779623555	0.9757919656	0.9778974811
1.6	0.9863068596	0.9814589339	0.9766368262	0.9744884504	0.9766104250
1.7	0.9848426380	0.9800222653	0.9752274736	0.9731024809	0.9752419212
1.8	0.9832916213	0.9785004180	0.9737345423	0.9716342941	0.9737922007
1.9	0.9816540868	0.9768936600	0.9721582914	0.9700841413	0.9722615079
2.0	0.9799303268	0.9752022743	0.9704989948	0.9684522878	0.9706501010
2.1	0.9781206491	0.9734265587	0.9687569404	0.9667390128	0.9689582516
2.2	0.9762253771	0.9715668260	0.9669324307	0.9649446095	0.9671862451
2.3	0.9742448492	0.9696234035	0.9650257824	0.9630693850	0.9653343803
2.4	0.9721794191	0.9675966337	0.9630373266	0.9611136602	0.9634029696
2.5	0.9700294557	0.9654868733	0.9609674084	0.9590777697	0.9613923386
2.6	0.9677953430	0.9632944940	0.9588163873	0.9569620620	0.9593028265
2.7	0.9654774801	0.9610198819	0.9565846367	0.9547668991	0.9571347856
2.8	0.9630762809	0.9586634374	0.9542725440	0.9524926566	0.9548885815
2.9	0.9605921742	0.9562255756	0.9518805107	0.9501397238	0.9525645931
3.0	0.9580256038	0.9537067258	0.9494089521	0.9477085033	0.9501632123
3.1	0.9553770281	0.9511073316	0.9468582971	0.9451994111	0.9476848440
3.2	0.9526469200	0.9484278508	0.9442289888	0.9426128766	0.9451299063
3.3	0.9498357672	0.9456687552	0.9415214836	0.9399493424	0.9424988299
3.4	0.9469440718	0.9428305307	0.9387362514	0.9372092644	0.9397920587
3.5	0.9439723503	0.9399136771	0.9358737760	0.9343931115	0.9370100490
3.6	0.9409211333	0.9369187082	0.9329345541	0.9315013655	0.9341532701
3.7	0.9377909659	0.9338461513	0.9299190963	0.9285345213	0.9312222037
3.8	0.9345824071	0.9306965476	0.9268279259	0.9254930867	0.9282173442
3.9	0.9312960300	0.9274704517	0.9236615796	0.9223775820	0.9251391983
4.0	0.9279324216	0.9241684317	0.9204206072	0.9191885406	0.9219882851
4.1	0.9244921825	0.9207910692	0.9171055714	0.9159265080	0.9187651359
4.2	0.9209759273	0.9173389590	0.9137170476	0.9125920426	0.9154702944
4.3	0.9173842839	0.9138127089	0.9102556243	0.9091857149	0.9121043162
4.4	0.9137178938	0.9102129400	0.9067219023	0.9057081079	0.9086677690
4.5	0.9099774119	0.9065402861	0.9031164951	0.9021598166	0.9051612323
4.6	0.9061635063	0.9027953942	0.8994400288	0.8985414484	0.9015852975
4.7	0.9022768581	0.8989789237	0.8956931415	0.8948536223	0.8979405675
4.8	0.8983181614	0.8950915466	0.8918764839	0.8910969696	0.8942276572
4.9	0.8942881234	0.8911339477	0.8879907186	0.8872721330	0.8904471927
5.0	0.8901874637	0.8871068238	0.8840365201	0.8833797671	0.8865998114
5.1	0.8860169149	0.8830108842	0.8800145750	0.8794205381	0.8826861623
5.2	0.8817772217	0.8788468501	0.8759255816	0.8753951233	0.8787069054
5.3	0.8774691415	0.8746154549	0.8717702497	0.8713042118	0.8746627117
5.4	0.8730934436	0.8703174439	0.8675493009	0.8671485036	0.8705542633
5.5	0.8686509096	0.8659535738	0.8632634679	0.8629287098	0.8663822530
5.6	0.8641423328	0.8615246132	0.8589134949	0.8586455526	0.8621473845
5.7	0.8595685187	0.8570313421	0.8545001370	0.8542997649	0.8578503719
5.8	0.8549302841	0.8524745517	0.8500241605	0.8498920905	0.8534919398
5.9	0.8502284573	0.8478550446	0.8454863425	0.8454232835	0.8490728234
6.0	0.8454638782	0.8431736343	0.8408874708	0.8408941089	0.8445937678
6.1	0.8406373977	0.8384311452	0.8362283439	0.8363053416	0.8400555285
6.2	0.8357498779	0.8336284125	0.8315097707	0.8316577669	0.8354588708
6.3	0.8308021916	0.8287662820	0.8267325704	0.8269521802	0.8308045698
6.4	0.8257952227	0.8238456100	0.8218975723	0.8221893867	0.8260934106
6.5	0.8207298653	0.8188672629	0.8170056161	0.8173702014	0.8213261876
6.6	0.8156070241	0.8138321177	0.8120575508	0.8124954492	0.8165037048
6.7	0.8104276141	0.8087410609	0.8070542357	0.8075659641	0.8116267755
6.8	0.8051925604	0.8035949892	0.8019965394	0.8025825898	0.8066962221
6.9	0.7999027980	0.7983948088	0.7968853400	0.7975461790	0.8017128761
7.0	0.7945592717	0.7931414355	0.7917215248	0.7924575938	0.7966775781
7.1	0.7891629357	0.7878357945	0.7865059905	0.7873177048	0.7915911771
7.2	0.7837147541	0.7824788202	0.7812396425	0.7821273916	0.7864545310
7.3	0.7782156997	0.7770714559	0.7759233951	0.7768875426	0.7812685059
7.4	0.7726667548	0.7716146539	0.7705581713	0.7715990542	0.7760339766
7.5	0.7670689104	0.7661093752	0.7651449027	0.7662628317	0.7707518258
7.6	0.7614231664	0.7605565894	0.7596845290	0.7608797882	0.7654229443
7.7	0.7557305311	0.7549572743	0.7541779983	0.7554508448	0.7600482307
7.8	0.7499920213	0.7493124160	0.7486262667	0.7499769307	0.7546285916
7.9	0.7442086618	0.7436230087	0.7430302979	0.7444589825	0.7491649409
8.0	0.7383814856	0.7378900542	0.7373910635	0.7388979446	0.7436582000
8.1	0.7325115334	0.7321145622	0.7317095427	0.7332947687	0.7381092976
8.2	0.7265998538	0.7262975498	0.7259867218	0.7276504135	0.7325191694
8.3	0.7206475024	0.7204400415	0.7202235944	0.7219658451	0.7268887584
8.4	0.7146555425	0.7145430687	0.7144211611	0.7162420362	0.7212190139
8.5	0.7086250442	0.7086076701	0.7085804293	0.7104799663	0.7155108922
8.6	0.7025570846	0.7026348908	0.7027024130	0.7046806216	0.7097653558
8.7	0.6964527476	0.6966257827	0.6967881328	0.6988449944	0.7039833739
8.8	0.6903131232	0.6905814042	0.6908386155	0.6929740834	0.6981659214
8.9	0.6841393082	0.6845028196	0.6848548940	0.6870688933	0.6923139795
9.0	0.6779324052	0.6783910994	0.6788380073	0.6811304347	0.6864285350
9.1	0.6716935227	0.6722473200	0.6727889999	0.6751597237	0.6805105805
9.2	0.6654237752	0.6660725633	0.6667089221	0.6691577823	0.6745611141
9.3	0.6591242823	0.6598679169	0.6605988294	0.6631256374	0.6685811390
9.4	0.6527961692	0.6536344732	0.6544597828	0.6570643215	0.6625716638
9.5	0.6464405661	0.6473733302	0.6482928481	0.6509748716	0.6565337020
9.6	0.6400586083	0.6410855905	0.6420990958	0.6448583301	0.6504682718
9.7	0.6336514355	0.6347723614	0.6358796015	0.6387157435	0.6443763962
9.8	0.6272201920	0.6284347547	0.6296354449	0.6325481631	0.6382591024
9.9	0.6207660266	0.6220738865	0.6233677101	0.6263566443	0.6321174222
10.0	0.6142900921	0.6156908771	0.6170774853	0.6201422467	0.6259523913
10.1	0.6077935449	0.6092868505	0.6107658626	0.6139060337	0.6197650494
10.2	0.6012775455	0.6028629345	0.6044339378	0.6076490726	0.6135564400
