	1.530	1.540	1.550	1.560	1.570
0.0	0.9965824440	0.9994706936	0.9999970120	0.9998330113	0.9999333177
0.1	0.9965242173	0.9994130885	0.9999402306	0.9997772054	0.9998786564
0.2	0.9963622904	0.9992528052	0.9997820381	0.9996213253	0.9997252316
0.3	0.9960966968	0.9989898767	0.9995224668	0.9993654023	0.9994730737
0.4	0.9957274920	0.9986243570	0.9991615692	0.9990094875	0.9991222324
0.5	0.9952547527	0.9981563213	0.9986994186	0.9985536523	0.9986727771
0.6	0.9946785773	0.9975858657	0.9981361086	0.9979979879	0.9981247965
0.7	0.9939990858	0.9969131075	0.9974717537	0.9973426055	0.9974783990
0.8	0.9932164196	0.9961381849	0.9967064884	0.9965876364	0.9967337122
0.9	0.9923307416	0.9952612571	0.9958404681	0.9957332316	0.9958908832
1.0	0.9913422362	0.9942825043	0.9948738685	0.9947795624	0.9949500786
1.1	0.9902511091	0.9932021277	0.9938068855	0.9937268195	0.9939114842
1.2	0.9890575874	0.9920203493	0.9926397357	0.9925752137	0.9927753052
1.3	0.9877619195	0.9907374119	0.9913726558	0.9913249756	0.9915417661
1.4	0.9863643752	0.9893535791	0.9900059027	0.9899763556	0.9902111106
1.5	0.9848652453	0.9878691354	0.9885397538	0.9885296235	0.9887836015
1.6	0.9832648419	0.9862843857	0.9869745065	0.9869850691	0.9872595209
1.7	0.9815634980	0.9845996558	0.9853104782	0.9853430015	0.9856391699
1.8	0.9797615678	0.9828152917	0.9835480065	0.9836037495	0.9839228686
1.9	0.9778594263	0.9809316602	0.9816874489	0.9817676614	0.9821109560
2.0	0.9758574694	0.9789491484	0.9797291828	0.9798351046	0.9802037902
2.1	0.9737561139	0.9768681635	0.9776736054	0.9778064662	0.9782017480
2.2	0.9715557970	0.9746891334	0.9755211338	0.9756821522	0.9761052247
2.3	0.9692569768	0.9724125056	0.9732722044	0.9734625880	0.9739146348
2.4	0.9668601318	0.9700387481	0.9709272736	0.9711482179	0.9716304108
2.5	0.9643657608	0.9675683486	0.9684868169	0.9687395052	0.9692530041
2.6	0.9617743830	0.9650018148	0.9659513294	0.9662369323	0.9667828844
2.7	0.9590865378	0.9623396740	0.9633213254	0.9636410000	0.9642205397
2.8	0.9563027845	0.9595824734	0.9605973384	0.9609522282	0.9615664762
2.9	0.9534237027	0.9567307794	0.9577799210	0.9581711551	0.9588212182
3.0	0.9504498915	0.9537851781	0.9548696446	0.9552983376	0.9559853081
3.1	0.9473819700	0.9507462748	0.9518670996	0.9523343507	0.9530593062
3.2	0.9442205766	0.9476146939	0.9487728950	0.9492797878	0.9500437905
3.3	0.9409663695	0.9443910789	0.9455876585	0.9461352606	0.9469393568
3.4	0.9376200258	0.9410760923	0.9423120362	0.9429013985	0.9437466184
3.5	0.9341822421	0.9376704153	0.9389466926	0.9395788491	0.9404662061
3.6	0.9306537340	0.9341747476	0.9354923102	0.9361682773	0.9370987679
3.7	0.9270352358	0.9305898077	0.9319495899	0.9326703662	0.9336449692
3.8	0.9233275008	0.9269163321	0.9283192501	0.9290858159	0.9301054922
3.9	0.9195313005	0.9231550757	0.9246020274	0.9254153442	0.9264810362
4.0	0.9156474253	0.9193068115	0.9207986757	0.9216596858	0.9227723173
4.1	0.9116766833	0.9153723302	0.9169099665	0.9178195927	0.9189800683
4.2	0.9076199011	0.9113524403	0.9129366887	0.9138958336	0.9151050382
4.3	0.9034779232	0.9072479678	0.9088796482	0.9098891941	0.9111479926
4.4	0.8992516114	0.9030597563	0.9047396679	0.9058004764	0.9071097133
4.5	0.8949418456	0.8987886662	0.9005175877	0.9016304991	0.9029909982
4.6	0.8905495227	0.8944355753	0.8962142640	0.8973800969	0.8987926609
