	1.530	1.540	1.550	1.560	1.570
0.0	0.9639165258	0.9891984688	0.9998578000	0.9926657766	0.9646339485
0.1	0.9638674168	0.9891488029	0.9998083673	0.9926174922	0.9645878432
0.2	0.9637202950	0.9889999523	0.9996600973	0.9924724917	0.9644491297
0.3	0.9634751902	0.9887519469	0.9994130194	0.9922308033	0.9642178348
0.4	0.9631321524	0.9884048365	0.9990671825	0.9918924743	0.9638940025
0.5	0.9626912515	0.9879586908	0.9986226548	0.9914575703	0.9634776949
0.6	0.9621525772	0.9874135992	0.9980795243	0.9909261762	0.9629689919
0.7	0.9615162391	0.9867696712	0.9974378984	0.9902983953	0.9623679910
0.8	0.9607823668	0.9860270359	0.9966979040	0.9895743501	0.9616748074
0.9	0.9599511095	0.9851858424	0.9958596873	0.9887541815	0.9608895741
1.0	0.9590226363	0.9842462593	0.9949234142	0.9878380493	0.9600124417
1.1	0.9579971363	0.9832084752	0.9938892697	0.9868261321	0.9590435785
1.2	0.9568748180	0.9820726982	0.9927574584	0.9857186268	0.9579831705
1.3	0.9556559098	0.9808391562	0.9915282040	0.9845157494	0.9568314211
1.4	0.9543406596	0.9795080966	0.9902017495	0.9832177342	0.9555885513
1.5	0.9529293351	0.9780797865	0.9887783573	0.9818248341	0.9542547996
1.6	0.9514222233	0.9765545122	0.9872583088	0.9803373204	0.9528304221
1.7	0.9498196308	0.9749325798	0.9856419045	0.9787554830	0.9513156921
1.8	0.9481218836	0.9732143146	0.9839294641	0.9770796302	0.9497109003
1.9	0.9463293271	0.9714000613	0.9821213261	0.9753100884	0.9480163548
2.0	0.9444423260	0.9694901837	0.9802178480	0.9734472025	0.9462323807
2.1	0.9424612640	0.9674850649	0.9782194063	0.9714913354	0.9443593206
2.2	0.9403865442	0.9653851071	0.9761263961	0.9694428683	0.9423975340
2.3	0.9382185887	0.9631907316	0.9739392311	0.9673022003	0.9403473975
2.4	0.9359578383	0.9609023784	0.9716583439	0.9650697485	0.9382093046
2.5	0.9336047530	0.9585205065	0.9692841855	0.9627459479	0.9359836657
