	1.530	1.540	1.550	1.560	1.570
0.0	0.0540814263	0.0616219998	0.0701720837	0.0798567919	0.0908138197
0.1	0.0568578478	0.0647501855	0.0736925443	0.0838136766	0.0952549424
0.2	0.0596994776	0.0679503338	0.0772921590	0.0878572947	0.0997906850
0.3	0.0626058976	0.0712219156	0.0809702595	0.0919868034	0.1044199872
0.4	0.0655766800	0.0745643900	0.0847261628	0.0962013423	0.1091417668
0.5	0.0686113878	0.0779772042	0.0885591716	0.1005000330	0.1139549199
0.6	0.0717095743	0.0814597942	0.0924685741	0.1048819796	0.1188583213
0.7	0.0748707837	0.0850115840	0.0964536446	0.1093462689	0.1238508247
0.8	0.0780945508	0.0886319864	0.1005136430	0.1138919706	0.1289312629
0.9	0.0813804012	0.0923204029	0.1046478157	0.1185181374	0.1340984484
1.0	0.0847278514	0.0960762236	0.1088553948	0.1232238052	0.1393511731
1.1	0.0881364089	0.0998988276	0.1131355993	0.1280079932	0.1446882091
1.2	0.0916055720	0.1037875828	0.1174876343	0.1328697046	0.1501083086
1.3	0.0951348303	0.1077418462	0.1219106919	0.1378079260	0.1556102047
1.4	0.0987236644	0.1117609642	0.1264039507	0.1428216284	0.1611926110
1.5	0.1023715463	0.1158442721	0.1309665765	0.1479097669	0.1668542226
1.6	0.1060779392	0.1199910949	0.1355977222	0.1530712811	0.1725937158
1.7	0.1098422976	0.1242007470	0.1402965278	0.1583050954	0.1784097490
1.8	0.1136640677	0.1284725323	0.1450621210	0.1636101191	0.1843009625
1.9	0.1175426871	0.1328057446	0.1498936168	0.1689852465	0.1902659790
2.0	0.1214775850	0.1371996674	0.1547901182	0.1744293575	0.1963034041
2.1	0.1254681824	0.1416535742	0.1597507160	0.1799413176	0.2024118264
2.2	0.1295138921	0.1461667287	0.1647744892	0.1855199780	0.2085898178
2.3	0.1336141188	0.1507383847	0.1698605050	0.1911641762	0.2148359342
2.4	0.1377682591	0.1553677863	0.1750078190	0.1968727359	0.2211487152
2.5	0.1419757017	0.1600541680	0.1802154756	0.2026444674	0.2275266851
2.6	0.1462358276	0.1647967552	0.1854825078	0.2084781679	0.2339683529
2.7	0.1505480098	0.1695947636	0.1908079376	0.2143726217	0.2404722127
2.8	0.1549116138	0.1744473999	0.1961907764	0.2203266003	0.2470367440
2.9	0.1593259976	0.1793538619	0.2016300245	0.2263388630	0.2536604122
3.0	0.1637905114	0.1843133384	0.2071246721	0.2324081567	0.2603416688
3.1	0.1683044985	0.1893250093	0.2126736990	0.2385332167	0.2670789520
3.2	0.1728672944	0.1943880460	0.2182760748	0.2447127665	0.2738706866
3.3	0.1774782279	0.1995016115	0.2239307594	0.2509455182	0.2807152850
3.4	0.1821366204	0.2046648602	0.2296367029	0.2572301730	0.2876111470
3.5	0.1868417865	0.2098769386	0.2353928457	0.2635654211	0.2945566606
3.6	0.1915930338	0.2151369848	0.2411981191	0.2699499423	0.3015502021
3.7	0.1963896631	0.2204441292	0.2470514453	0.2763824059	0.3085901364
3.8	0.2012309686	0.2257974943	0.2529517373	0.2828614716	0.3156748179
3.9	0.2061162379	0.2311961951	0.2588978998	0.2893857890	0.3228025903
4.0	0.2110447522	0.2366393388	0.2648888286	0.2959539985	0.3299717874
4.1	0.2160157862	0.2421260256	0.2709234114	0.3025647313	0.3371807330
4.2	0.2210286084	0.2476553484	0.2770005277	0.3092166096	0.3444277420
4.3	0.2260824813	0.2532263928	0.2831190492	0.3159082473	0.3517111202
4.4	0.2311766610	0.2588382379	0.2892778398	0.3226382497	0.3590291648
4.5	0.2363103981	0.2644899558	0.2954757559	0.3294052145	0.3663801651
4.6	0.2414829370	0.2701806120	0.3017116469	0.3362077312	0.3737624026
4.7	0.2466935167	0.2759092657	0.3079843548	0.3430443823	0.3811741515
4.8	0.2519413704	0.2816749697	0.3142927150	0.3499137430	0.3886136791
4.9	0.2572257259	0.2874767707	0.3206355561	0.3568143818	0.3960792462
5.0	0.2625458056	0.2933137096	0.3270117006	0.3637448604	0.4035691076
5.1	0.2679008267	0.2991848212	0.3334199644	0.3707037348	0.4110815122
5.2	0.2732900011	0.3050891348	0.3398591578	0.3776895545	0.4186147039
5.3	0.2787125358	0.3110256743	0.3463280852	0.3847008637	0.4261669216
5.4	0.2841676330	0.3169934580	0.3528255453	0.3917362013	0.4337363997
5.5	0.2896544898	0.3229914994	0.3593503320	0.3987941012	0.4413213688
5.6	0.2951722990	0.3290188067	0.3659012336	0.4058730923	0.4489200555
5.7	0.3007202485	0.3350743834	0.3724770338	0.4129716996	0.4565306835
5.8	0.3062975220	0.3411572283	0.3790765117	0.4200884436	0.4641514736
5.9	0.3119032988	0.3472663356	0.3856984419	0.4272218412	0.4717806443
6.0	0.3175367540	0.3534006954	0.3923415949	0.4343704058	0.4794164119
6.1	0.3231970587	0.3595592933	0.3990047373	0.4415326476	0.4870569916
6.2	0.3288833799	0.3657411112	0.4056866318	0.4487070741	0.4947005970
6.3	0.3345948808	0.3719451269	0.4123860379	0.4558921900	0.5023454413
6.4	0.3403307211	0.3781703148	0.4191017116	0.4630864980	0.5099897373
6.5	0.3460900567	0.3844156455	0.4258324059	0.4702884988	0.5176316979
6.6	0.3518720401	0.3906800865	0.4325768713	0.4774966914	0.5252695367
6.7	0.3576758206	0.3969626020	0.4393338553	0.4847095738	0.5329014680
6.8	0.3635005440	0.4032621534	0.4461021035	0.4919256427	0.5405257077
6.9	0.3693453533	0.4095776990	0.4528803591	0.4991433943	0.5481404735
7.0	0.3752093884	0.4159081947	0.4596673636	0.5063613244	0.5557439851
7.1	0.3810917864	0.4222525939	0.4664618568	0.5135779288	0.5633344651
7.2	0.3869916818	0.4286098475	0.4732625771	0.5207917036	0.5709101390
7.3	0.3929082063	0.4349789045	0.4800682619	0.5280011454	0.5784692358
7.4	0.3988404893	0.4413587118	0.4868776475	0.5352047517	0.5860099883
7.5	0.4047876580	0.4477482147	0.4936894696	0.5424010213	0.5935306336
7.6	0.4107488371	0.4541463567	0.5005024634	0.5495884546	0.6010294137
7.7	0.4167231495	0.4605520799	0.5073153638	0.5567655536	0.6085045755
7.8	0.4227097161	0.4669643254	0.5141269060	0.5639308226	0.6159543714
7.9	0.4287076560	0.4733820328	0.5209358252	0.5710827684	0.6233770599
8.0	0.4347160865	0.4798041411	0.5277408572	0.5782199006	0.6307709058
8.1	0.4407341235	0.4862295886	0.5345407384	0.5853407317	0.6381341804
8.2	0.4467608815	0.4926573127	0.5413342063	0.5924437777	0.6454651626
8.3	0.4527954736	0.4990862509	0.5481199996	0.5995275584	0.6527621383
8.4	0.4588370119	0.5055153402	0.5548968582	0.6065905976	0.6600234019
8.5	0.4648846073	0.5119435176	0.5616635239	0.6136314232	0.6672472557
8.6	0.4709373699	0.5183697203	0.5684187403	0.6206485680	0.6744320110
8.7	0.4769944091	0.5247928858	0.5751612531	0.6276405696	0.6815759882
8.8	0.4830548335	0.5312119522	0.5818898105	0.6346059709	0.6886775172
8.9	0.4891177515	0.5376258581	0.5886031630	0.6415433202	0.6957349378
9.0	0.4951822707	0.5440335430	0.5953000643	0.6484511718	0.7027466001
9.1	0.5012474989	0.5504339477	0.6019792709	0.6553280862	0.7097108650
9.2	0.5073125435	0.5568260137	0.6086395425	0.6621726301	0.7166261045
9.3	0.5133765121	0.5632086844	0.6152796427	0.6689833772	0.7234907018
9.4	0.5194385123	0.5695809044	0.6218983385	0.6757589081	0.7303030522
9.5	0.5254976521	0.5759416201	0.6284944009	0.6824978107	0.7370615631
9.6	0.5315530400	0.5822897799	0.6350666052	0.6891986808	0.7437646546
9.7	0.5376037848	0.5886243343	0.6416137313	0.6958601218	0.7504107596
9.8	0.5436489963	0.5949442358	0.6481345634	0.7024807454	0.7569983244
9.9	0.5496877848	0.6012484396	0.6546278908	0.7090591720	0.7635258091
10.0	0.5557192617	0.6075359034	0.6610925078	0.7155940306	0.7699916875
10.1	0.5617425396	0.6138055875	0.6675272142	0.7220839593	0.7763944483
10.2	0.5677567321	0.6200564555	0.6739308151	0.7285276056	0.7827325944
10.3	0.5737609541	0.6262874738	0.6803021217	0.7349236267	0.7890046443
10.4	0.5797543223	0.6324976122	0.6866399509	0.7412706896	0.7952091317
10.5	0.5857359546	0.6386858440	0.6929431259	0.7475674716	0.8013446060
10.6	0.5917049709	0.6448511459	0.6992104765	0.7538126605	0.8074096331
10.7	0.5976604929	0.6509924988	0.7054408389	0.7600049547	0.8134027949
10.8	0.6036016440	0.6571088870	0.7116330563	0.7661430637	0.8193226905
10.9	0.6095275503	0.6631992995	0.7177859789	0.7722257085	0.8251679360
11.0	0.6154373395	0.6692627292	0.7238984645	0.7782516213	0.8309371648
11.1	0.6213301422	0.6752981737	0.7299693780	0.7842195464	0.8366290282
11.2	0.6272050912	0.6813046350	0.7359975921	0.7901282400	0.8422421956
11.3	0.6330613219	0.6872811200	0.7419819877	0.7959764708	0.8477753547
11.4	0.6388979728	0.6932266407	0.7479214536	0.8017630200	0.8532272122
11.5	0.6447141847	0.6991402141	0.7538148870	0.8074866816	0.8585964934
11.6	0.6505091021	0.7050208623	0.7596611936	0.8131462629	0.8638819431
11.7	0.6562818720	0.7108676132	0.7654592879	0.8187405844	0.8690823257
11.8	0.6620316451	0.7166795000	0.7712080934	0.8242684803	0.8741964255
11.9	0.6677575752	0.7224555618	0.7769065426	0.8297287984	0.8792230469
12.0	0.6734588199	0.7281948437	0.7825535776	0.8351204010	0.8841610148
12.1	0.6791345401	0.7338963967	0.7881481497	0.8404421644	0.8890091749
12.2	0.6847839006	0.7395592781	0.7936892203	0.8456929794	0.8937663937
12.3	0.6904060703	0.7451825517	0.7991757605	0.8508717520	0.8984315592
12.4	0.6960002217	0.7507652877	0.8046067516	0.8559774027	0.9030035807
12.5	0.7015655318	0.7563065631	0.8099811852	0.8610088676	0.9074813893
12.6	0.7071011815	0.7618054618	0.8152980635	0.8659650981	0.9118639383
12.7	0.7126063562	0.7672610745	0.8205563991	0.8708450614	0.9161502032
12.8	0.7180802460	0.7726724993	0.8257552158	0.8756477404	0.9203391819
12.9	0.7235220454	0.7780388414	0.8308935483	0.8803721342	0.9244298951
13.0	0.7289309535	0.7833592136	0.8359704425	0.8850172584	0.9284213866
13.1	0.7343061744	0.7886327363	0.8409849559	0.8895821448	0.9323127231
13.2	0.7396469172	0.7938585375	0.8459361572	0.8940658422	0.9361029950
13.3	0.7449523960	0.7990357533	0.8508231273	0.8984674161	0.9397913162
13.4	0.7502218301	0.8041635276	0.8556449587	0.9027859493	0.9433768246
13.5	0.7554544441	0.8092410126	0.8604007562	0.9070205417	0.9468586817
13.6	0.7606494680	0.8142673689	0.8650896367	0.9111703108	0.9502360738
