	1.530	1.540	1.550	1.560	1.570
0.0	0.9997321507	0.9999023786	0.9995510465	0.9997864708	0.9998469395
0.1	0.9996750705	0.9998461780	0.9994958829	0.9997325281	0.9997945695
0.2	0.9995163359	0.9996897213	0.9993419152	0.9995811780	0.9996462104
0.3	0.9992559792	0.9994330397	0.9990891736	0.9993324500	0.9994018908
0.4	0.9988940535	0.9990761849	0.9987377083	0.9989863927	0.9990616575
0.5	0.9984306322	0.9986192283	0.9982875887	0.9985430734	0.9986255759
0.6	0.9978658096	0.9980622616	0.9977389038	0.9980025785	0.9980937297
0.7	0.9971997007	0.9974053964	0.9970917620	0.9973650133	0.9974662211
0.8	0.9964324409	0.9966487646	0.9963462914	0.9966305022	0.9967431706
0.9	0.9955641863	0.9957925179	0.9955026393	0.9957991883	0.9959247169
1.0	0.9945951134	0.9948368280	0.9945609725	0.9948712334	0.9950110173
1.1	0.9935254194	0.9937818865	0.9935214772	0.9938468186	0.9940022473
1.2	0.9923553218	0.9926279051	0.9923843590	0.9927261434	0.9928986005
1.3	0.9910850586	0.9913751151	0.9911498426	0.9915094262	0.9917002888
1.4	0.9897148881	0.9900237679	0.9898181722	0.9901969042	0.9904075424
1.5	0.9882450891	0.9885741344	0.9883896110	0.9887888330	0.9890206096
1.6	0.9866759605	0.9870265053	0.9868644415	0.9872854872	0.9875397566
1.7	0.9850078214	0.9853811911	0.9852429652	0.9856871596	0.9859652678
1.8	0.9832410111	0.9836385218	0.9835255028	0.9839941618	0.9842974456
1.9	0.9813758889	0.9817988467	0.9817123938	0.9822068236	0.9825366102
2.0	0.9794128342	0.9798625350	0.9798039966	0.9803254935	0.9806830998
2.1	0.9773522463	0.9778299749	0.9778006888	0.9783505379	0.9787372703
2.2	0.9751945442	0.9757015740	0.9757028662	0.9762823419	0.9766994953
2.3	0.9729401668	0.9734777592	0.9735109437	0.9741213084	0.9745701661
2.4	0.9705895726	0.9711589765	0.9712253547	0.9718678585	0.9723496917
2.5	0.9681432397	0.9687456910	0.9688465511	0.9695224315	0.9700384985
