	1.530	1.540	1.550	1.560	1.570
0.0	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
0.1	0.0000238953	0.0000268638	0.0000301888	0.0000339115	0.0000380771
0.2	0.0000955788	0.0001074522	0.0001207517	0.0001356413	0.0001523027
0.3	0.0002150437	0.0002417567	0.0002716776	0.0003051757	0.0003426594
0.4	0.0003822787	0.0004297627	0.0004829484	0.0005424917	0.0006091181
0.5	0.0005972676	0.0006714501	0.0007545385	0.0008475571	0.0009516383
0.6	0.0008599900	0.0009667929	0.0010864152	0.0012203304	0.0013701678
0.7	0.0011704207	0.0013157593	0.0014785384	0.0016607612	0.0018646429
0.8	0.0015285301	0.0017183119	0.0019308606	0.0021687897	0.0024349883
0.9	0.0019342840	0.0021744075	0.0024433274	0.0027443470	0.0030811170
1.0	0.0023876435	0.0026839969	0.0030158768	0.0033873549	0.0038029307
1.1	0.0028885653	0.0032470255	0.0036484397	0.0040977264	0.0046003195
1.2	0.0034370016	0.0038634327	0.0043409396	0.0048753649	0.0054731618
1.3	0.0040328999	0.0045331523	0.0050932931	0.0057201651	0.0064213248
1.4	0.0046762033	0.0052561124	0.0059054091	0.0066320124	0.0074446640
1.5	0.0053668503	0.0060322352	0.0067771898	0.0076107830	0.0085430237
1.6	0.0061047748	0.0068614374	0.0077085297	0.0086563442	0.0097162363
1.7	0.0068899064	0.0077436298	0.0086993164	0.0097685542	0.0109641234
1.8	0.0077221700	0.0086787177	0.0097494303	0.0109472621	0.0122864948
1.9	0.0086014861	0.0096666006	0.0108587445	0.0121923079	0.0136831492
2.0	0.0095277705	0.0107071723	0.0120271252	0.0135035230	0.0151538737
2.1	0.0105009348	0.0118003210	0.0132544312	0.0148807292	0.0166984444
2.2	0.0115208860	0.0129459292	0.0145405143	0.0163237400	0.0183166261
2.3	0.0125875265	0.0141438739	0.0158852192	0.0178323594	0.0200081723
2.4	0.0137007545	0.0153940263	0.0172883836	0.0194063830	0.0217728253
2.5	0.0148604634	0.0166962521	0.0187498379	0.0210455971	0.0236103163
2.6	0.0160665425	0.0180504114	0.0202694058	0.0227497794	0.0255203656
2.7	0.0173188765	0.0194563586	0.0218469037	0.0245186987	0.0275026822
2.8	0.0186173457	0.0209139427	0.0234821412	0.0263521152	0.0295569641
2.9	0.0199618260	0.0224230070	0.0251749207	0.0282497801	0.0316828985
3.0	0.0213521888	0.0239833894	0.0269250378	0.0302114359	0.0338801616
3.1	0.0227883013	0.0255949222	0.0287322813	0.0322368167	0.0361484187
3.2	0.0242700263	0.0272574322	0.0305964329	0.0343256476	0.0384873244
3.3	0.0257972220	0.0289707409	0.0325172675	0.0364776454	0.0408965224
3.4	0.0273697425	0.0307346640	0.0344945531	0.0386925181	0.0433756457
3.5	0.0289874375	0.0325490121	0.0365280509	0.0409699653	0.0459243168
3.6	0.0306501525	0.0344135902	0.0386175155	0.0433096780	0.0485421476
3.7	0.0323577284	0.0363281980	0.0407626944	0.0457113390	0.0512287391
3.8	0.0341100020	0.0382926296	0.0429633287	0.0481746223	0.0539836824
3.9	0.0359068059	0.0403066740	0.0452191526	0.0506991939	0.0568065578
4.0	0.0377479684	0.0423701149	0.0475298937	0.0532847113	0.0596969353
4.1	0.0396333134	0.0444827304	0.0498952730	0.0559308238	0.0626543747
4.2	0.0415626608	0.0466442936	0.0523150049	0.0586371725	0.0656784256
4.3	0.0435358261	0.0488545721	0.0547887971	0.0614033903	0.0687686273
4.4	0.0455526207	0.0511133285	0.0573163509	0.0642291019	0.0719245093
4.5	0.0476128519	0.0534203201	0.0598973611	0.0671139241	0.0751455908
4.6	0.0497163228	0.0557752990	0.0625315161	0.0700574655	0.0784313812
4.7	0.0518628323	0.0581780120	0.0652184977	0.0730593269	0.0817813802
4.8	0.0540521752	0.0606282011	0.0679579814	0.0761191010	0.0851950774
4.9	0.0562841422	0.0631256030	0.0707496366	0.0792363729	0.0886719529
5.0	0.0585585202	0.0656699492	0.0735931260	0.0824107196	0.0922114772
5.1	0.0608750916	0.0682609664	0.0764881064	0.0856417106	0.0958131111
5.2	0.0632336350	0.0708983761	0.0794342280	0.0889289076	0.0994763062
5.3	0.0656339250	0.0735818951	0.0824311352	0.0922718647	0.1032005044
5.4	0.0680757322	0.0763112348	0.0854784661	0.0956701285	0.1069851386
5.5	0.0705588232	0.0790861020	0.0885758526	0.0991232380	0.1108296323
5.6	0.0730829606	0.0819061986	0.0917229209	0.1026307249	0.1147333999
5.7	0.0756479033	0.0847712215	0.0949192907	0.1061921132	0.1186958469
5.8	0.0782534060	0.0876808629	0.0981645762	0.1098069199	0.1227163698
5.9	0.0808992196	0.0906348100	0.1014583855	0.1134746548	0.1267943562
6.0	0.0835850914	0.0936327455	0.1048003207	0.1171948203	0.1309291850
6.1	0.0863107646	0.0966743473	0.1081899785	0.1209669117	0.1351202265
6.2	0.0890759786	0.0997592885	0.1116269494	0.1247904174	0.1393668422
6.3	0.0918804692	0.1028872375	0.1151108184	0.1286648188	0.1436683854
6.4	0.0947239683	0.1060578584	0.1186411648	0.1325895902	0.1480242010
6.5	0.0976062042	0.1092708103	0.1222175624	0.1365641994	0.1524336255
6.6	0.1005269012	0.1125257481	0.1258395792	0.1405881072	0.1568959873
6.7	0.1034857804	0.1158223220	0.1295067778	0.1446607678	0.1614106068
6.8	0.1064825588	0.1191601778	0.1332187155	0.1487816287	0.1659767963
6.9	0.1095169500	0.1225389567	0.1369749439	0.1529501309	0.1705938604
7.0	0.1125886640	0.1259582957	0.1407750096	0.1571657090	0.1752610958
7.1	0.1156974072	0.1294178274	0.1446184536	0.1614277912	0.1799777918
