	1.530	1.540	1.550	1.560	1.570
0.0	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
0.1	0.0000255741	0.0000287718	0.0000323544	0.0000363660	0.0000408554
0.2	0.0001022886	0.0001150782	0.0001294070	0.0001454516	0.0001634069
0.3	0.0002301200	0.0002588918	0.0002911260	0.0003272196	0.0003676111
0.4	0.0004090293	0.0004601673	0.0005174586	0.0005816083	0.0006533954
0.5	0.0006389618	0.0007188413	0.0008083307	0.0009085310	0.0010206581
0.6	0.0009198471	0.0010348319	0.0011636472	0.0013078765	0.0014692688
0.7	0.0012515995	0.0014080396	0.0015832918	0.0017795089	0.0019990680
0.8	0.0016341176	0.0018383465	0.0020671272	0.0023232677	0.0026098675
0.9	0.0020672844	0.0023256168	0.0026149953	0.0029389678	0.0033014500
1.0	0.0025509674	0.0028696966	0.0032267167	0.0036263996	0.0040735698
1.1	0.0030850190	0.0034704144	0.0039020914	0.0043853293	0.0049259525
1.2	0.0036692758	0.0041275804	0.0046408984	0.0052154985	0.0058582952
1.3	0.0043035592	0.0048409874	0.0054428961	0.0061166248	0.0068702664
1.4	0.0049876755	0.0056104100	0.0063078221	0.0070884015	0.0079615064
1.5	0.0057214153	0.0064356054	0.0072353935	0.0081304977	0.0091316275
1.6	0.0065045546	0.0073163133	0.0082253068	0.0092425590	0.0103802137
1.7	0.0073368539	0.0082522556	0.0092772383	0.0104242068	0.0117068213
1.8	0.0082180589	0.0092431369	0.0103908438	0.0116750391	0.0131109787
1.9	0.0091479001	0.0102886445	0.0115657591	0.0129946300	0.0145921869
2.0	0.0101260933	0.0113884485	0.0128015998	0.0143825305	0.0161499195
2.1	0.0111523396	0.0125422016	0.0140979616	0.0158382684	0.0177836227
2.2	0.0122263253	0.0137495397	0.0154544206	0.0173613481	0.0194927159
2.3	0.0133477221	0.0150100818	0.0168705329	0.0189512514	0.0212765917
2.4	0.0145161872	0.0163234300	0.0183458353	0.0206074372	0.0231346160
