step	position_z	abs(a)	abs(b)
0	0.0000000000	0.0000000000	1.0000000000
1	0.1000000000	0.0000177777	0.9999822223
2	0.2000000000	0.0000711060	0.9999288940
3	0.3000000000	0.0001599700	0.9998400300
4	0.4000000000	0.0002843452	0.9997156548
5	0.5000000000	0.0004441972	0.9995558028
6	0.6000000000	0.0006394816	0.9993605184
7	0.7000000000	0.0008701446	0.9991298554
8	0.8000000000	0.0011361221	0.9988638779
9	0.9000000000	0.0014373407	0.9985626593
10	1.0000000000	0.0017737169	0.9982262831
11	1.1000000000	0.0021451577	0.9978548423
12	1.2000000000	0.0025515603	0.9974484397
13	1.3000000000	0.0029928121	0.9970071879
14	1.4000000000	0.0034687911	0.9965312089
15	1.5000000000	0.0039793656	0.9960206344
16	1.6000000000	0.0045243941	0.9954756059
17	1.7000000000	0.0051037260	0.9948962740
18	1.8000000000	0.0057172008	0.9942827992
19	1.9000000000	0.0063646488	0.9936353512
20	2.0000000000	0.0070458907	0.9929541093
21	2.1000000000	0.0077607382	0.9922392618
22	2.2000000000	0.0085089932	0.9914910068
23	2.3000000000	0.0092904487	0.9907095513
24	2.4000000000	0.0101048885	0.9898951115
25	2.5000000000	0.0109520871	0.9890479129
26	2.6000000000	0.0118318101	0.9881681899
27	2.7000000000	0.0127438140	0.9872561860
28	2.8000000000	0.0136878465	0.9863121535
29	2.9000000000	0.0146636461	0.9853363539
30	3.0000000000	0.0156709429	0.9843290571
31	3.1000000000	0.0167094581	0.9832905419
32	3.2000000000	0.0177789043	0.9822210957
33	3.3000000000	0.0188789855	0.9811210145
34	3.4000000000	0.0200093973	0.9799906027
35	3.5000000000	0.0211698267	0.9788301733
36	3.6000000000	0.0223599527	0.9776400473
37	3.7000000000	0.0235794459	0.9764205541
38	3.8000000000	0.0248279687	0.9751720313
39	3.9000000000	0.0261051756	0.9738948244
40	4.0000000000	0.0274107132	0.9725892868
41	4.1000000000	0.0287442201	0.9712557799
42	4.2000000000	0.0301053272	0.9698946728
43	4.3000000000	0.0314936580	0.9685063420
44	4.4000000000	0.0329088281	0.9670911719
45	4.5000000000	0.0343504458	0.9656495542
46	4.6000000000	0.0358181123	0.9641818877
47	4.7000000000	0.0373114213	0.9626885787
48	4.8000000000	0.0388299595	0.9611700405
49	4.9000000000	0.0403733067	0.9596266933
50	5.0000000000	0.0419410357	0.9580589643
51	5.1000000000	0.0435327126	0.9564672874
52	5.2000000000	0.0451478970	0.9548521030
53	5.3000000000	0.0467861419	0.9532138581
54	5.4000000000	0.0484469937	0.9515530063
55	5.5000000000	0.0501299930	0.9498700070
56	5.6000000000	0.0518346738	0.9481653262
57	5.7000000000	0.0535605644	0.9464394356
58	5.8000000000	0.0553071872	0.9446928128
59	5.9000000000	0.0570740588	0.9429259412
60	6.0000000000	0.0588606902	0.9411393098
61	6.1000000000	0.0606665868	0.9393334132
62	6.2000000000	0.0624912490	0.9375087510
63	6.3000000000	0.0643341717	0.9356658283
64	6.4000000000	0.0661948448	0.9338051552
65	6.5000000000	0.0680727535	0.9319272465
66	6.6000000000	0.0699673780	0.9300326220
67	6.7000000000	0.0718781940	0.9281218060
68	6.8000000000	0.0738046725	0.9261953275
69	6.9000000000	0.0757462805	0.9242537195
70	7.0000000000	0.0777024806	0.9222975194
71	7.1000000000	0.0796727314	0.9203272686
72	7.2000000000	0.0816564877	0.9183435123
73	7.3000000000	0.0836532003	0.9163467997
74	7.4000000000	0.0856623167	0.9143376833
75	7.5000000000	0.0876832809	0.9123167191
76	7.6000000000	0.0897155335	0.9102844665
77	7.7000000000	0.0917585121	0.9082414879
78	7.8000000000	0.0938116513	0.9061883487
79	7.9000000000	0.0958743829	0.9041256171
80	8.0000000000	0.0979461359	0.9020538641
81	8.1000000000	0.1000263371	0.8999736629
82	8.2000000000	0.1021144107	0.8978855893
83	8.3000000000	0.1042097788	0.8957902212
84	8.4000000000	0.1063118615	0.8936881385
85	8.5000000000	0.1084200770	0.8915799230
86	8.6000000000	0.1105338419	0.8894661581
87	8.7000000000	0.1126525712	0.8873474288
88	8.8000000000	0.1147756785	0.8852243215
89	8.9000000000	0.1169025762	0.8830974238
90	9.0000000000	0.1190326756	0.8809673244
91	9.1000000000	0.1211653874	0.8788346126
92	9.2000000000	0.1233001211	0.8766998789
93	9.3000000000	0.1254362861	0.8745637139
94	9.4000000000	0.1275732910	0.8724267090
